t,mode,px,py,pz,ref_px,ref_py,ref_pz,pos_error,yaw
23.992,HOVER,2.29105418519518e-05,3.7198817480339394e-11,0.508223689698739,0.0,0.0,0.5,0.008223721612145789,-1.6784445468912945e-07
24.0,HOVER,2.2389086299052982e-05,3.6606137352701415e-11,0.5082184215300227,0.0,0.0,0.5,0.00821845202677039,-1.67844603283272e-07
24.008,HOVER,2.1878529234043525e-05,3.6021978043762675e-11,0.5082131627040218,0.0,0.0,0.5,0.008213191844391359,-1.6784462212079215e-07
24.016000000000002,HOVER,2.1378658664932828e-05,3.5446234278465133e-11,0.5082079131598284,0.0,0.0,0.5,0.008207941001635568,-1.6784469138730258e-07
24.024,HOVER,2.0889266442648983e-05,3.487880171086214e-11,0.508202672836301,0.0,0.0,0.5,0.008202699434993558,-1.678445403647418e-07
24.032,HOVER,2.0410148197046444e-05,3.431957695924111e-11,0.5081974416720889,0.0,0.0,0.5,0.008197467080839623,-1.6784465331298017e-07
24.04,HOVER,1.9941103274866514e-05,3.37684575541812e-11,0.5081922196056547,0.0,0.0,0.5,0.008192243875451578,-1.6784444075450864e-07
24.048000000000002,HOVER,1.948193467628723e-05,3.322534202876457e-11,0.5081870065752976,0.0,0.0,0.5,0.008187029755029879,-1.6784442561386686e-07
24.056,HOVER,1.9032448994524137e-05,3.2690129812238024e-11,0.5081818025191751,0.0,0.0,0.5,0.008181824655716772,-1.6784471226093757e-07
24.064,HOVER,1.8592456354421995e-05,3.21627213268651e-11,0.5081766073753249,0.0,0.0,0.5,0.008176628513614313,-1.678444880754017e-07
24.072,HOVER,1.816177035118555e-05,3.164301801321792e-11,0.5081714210816857,0.0,0.0,0.5,0.008171441264802634,-1.6784455754034766e-07
24.080000000000002,HOVER,1.77402079937667e-05,3.113092216480631e-11,0.5081662435761175,0.0,0.0,0.5,0.008166262845357115,-1.6784449048625926e-07
24.088,HOVER,1.732758964639848e-05,3.0626337063037386e-11,0.5081610747964219,0.0,0.0,0.5,0.008161093191365727,-1.6784445304402274e-07
24.096,HOVER,1.692373897196214e-05,3.0129166928188284e-11,0.5081559146803609,0.0,0.0,0.5,0.008155932238945318,-1.6784446968599275e-07
24.104,HOVER,1.652848287579178e-05,2.963931691691516e-11,0.5081507631656763,0.0,0.0,0.5,0.008150779924258285,-1.678443922704466e-07
24.112000000000002,HOVER,1.6141651450135047e-05,2.915669313308207e-11,0.5081456201901074,0.0,0.0,0.5,0.00814563618352782,-1.6784482962070516e-07
24.12,HOVER,1.5763077920076412e-05,2.868120260843512e-11,0.5081404856914095,0.0,0.0,0.5,0.008140500953053667,-1.6784482977939066e-07
24.128,HOVER,1.539259858820896e-05,2.8212753398446676e-11,0.5081353596073703,0.0,0.0,0.5,0.008135374169226883,-1.678446034528555e-07
24.136,HOVER,1.5030052783561937e-05,2.7751254424136033e-11,0.5081302418758278,0.0,0.0,0.5,0.008130255768544451,-1.6784477285315808e-07
24.144000000000002,HOVER,1.4675282811180173e-05,2.729661544568316e-11,0.5081251324346857,0.0,0.0,0.5,0.008125145687623537,-1.678448010550254e-07
