# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.135	-0.251	-0.177	0.009	-0.27	-2.67	-1.92
0.236	-0.253	-0.176	0.009	-0.30	-2.55	-1.90
0.336	-0.258	-0.180	0.008	-0.19	-2.42	-1.88
0.433	-0.258	-0.184	0.008	-0.02	-2.52	-1.88
0.532	-0.264	-0.188	0.008	0.07	-2.38	-1.86
0.636	-0.265	-0.188	0.008	-0.14	-2.50	-1.84
0.735	-0.265	-0.188	0.007	-0.20	-2.59	-1.82
0.834	-0.265	-0.185	0.008	-0.39	-2.65	-1.80
0.933	-0.262	-0.167	0.009	-0.98	-2.84	-1.75
1.033	-0.259	-0.162	0.010	-0.82	-2.88	-1.73
1.136	-0.263	-0.164	0.008	-0.49	-2.71	-1.72
1.234	-0.262	-0.163	0.007	-0.35	-2.70	-1.69
1.333	-0.261	-0.162	0.007	-0.30	-2.75	-1.67
1.431	-0.000	-0.000	0.011	0.00	-0.07	-0.00
1.535	-0.002	-0.000	0.010	0.22	-0.53	0.00
1.632	-0.010	-0.000	0.010	0.05	0.09	0.00
1.731	-0.013	-0.002	0.009	0.15	-1.15	0.00
1.833	0.004	0.002	0.007	-0.45	-3.47	-0.03
1.932	0.011	-0.000	0.006	-0.22	-3.47	-0.02
2.031	0.015	-0.004	0.008	-0.07	-3.24	-0.00
2.134	0.014	-0.003	0.008	-0.21	-2.87	-0.03
2.233	0.014	-0.004	0.006	-0.25	-2.73	-0.03
2.330	0.015	-0.005	0.007	-0.22	-2.68	-0.02
2.434	0.027	-0.004	0.009	-0.28	-3.00	-0.02
2.533	0.026	-0.004	0.009	-0.27	-2.77	-0.02
2.631	0.023	-0.011	0.008	-0.00	-2.53	-0.00
2.734	0.022	-0.014	0.007	-0.00	-2.50	-0.00
2.832	0.021	-0.011	0.009	-0.23	-2.46	-0.01
2.934	0.026	-0.012	0.009	-0.22	-2.62	-0.01
3.030	0.026	-0.012	0.008	-0.29	-2.60	-0.01
3.131	0.027	-0.013	0.009	-0.26	-2.68	-0.01
3.232	0.027	-0.012	0.009	-0.30	-2.64	-0.01
3.331	0.027	-0.013	0.010	-0.28	-2.62	-0.00
3.434	0.034	-0.009	0.010	-0.44	-2.91	-0.01
3.533	0.033	-0.008	0.009	-0.40	-2.70	-0.00
3.632	0.033	-0.007	0.008	-0.35	-2.51	0.02
3.730	0.034	-0.008	0.008	-0.25	-2.24	0.24
3.829	0.039	-0.008	0.006	-0.11	-2.31	0.39
3.932	0.056	-0.004	0.002	-0.19	-0.70	0.30
4.029	0.074	-0.010	0.002	0.23	5.67	0.64
4.133	0.075	-0.015	0.001	-1.47	7.80	0.61
4.231	0.070	-0.012	0.001	-0.60	4.37	0.23
4.329	0.063	-0.014	0.008	-1.15	1.64	-0.44
4.434	0.055	0.000	0.017	-0.80	-2.30	-1.13
4.534	0.036	0.005	0.040	0.49	-0.79	-2.30
4.631	0.023	0.005	0.064	1.41	-2.37	-2.97
4.733	0.015	0.001	0.077	0.58	-1.94	-3.44
4.835	0.011	-0.004	0.083	-0.31	-1.67	-3.47
4.934	0.010	-0.010	0.087	-0.67	-0.74	-3.29
5.031	0.010	-0.013	0.091	-0.82	-0.31	-3.20
5.132	0.016	-0.012	0.106	-0.84	0.15	-3.18
5.232	0.017	-0.018	0.128	0.11	0.57	-3.13
5.332	0.019	-0.023	0.153	-0.18	0.47	-3.17
5.430	0.016	-0.024	0.173	-0.13	0.52	-3.32
5.531	0.013	-0.018	0.206	-0.17	-0.17	-3.31
5.631	0.018	-0.010	0.245	0.31	-0.60	-3.17
5.732	0.023	-0.009	0.283	0.79	-0.37	-2.95
5.833	0.029	-0.009	0.319	0.87	0.09	-2.68
5.932	0.036	-0.011	0.353	0.44	0.26	-2.27
6.032	0.040	-0.014	0.382	0.11	0.55	-1.82
6.130	0.041	-0.021	0.411	-0.13	0.49	-1.42
6.232	0.044	-0.025	0.434	-0.49	0.34	-1.06
6.330	0.047	-0.027	0.457	-0.48	0.36	-0.96
6.433	0.049	-0.028	0.480	-0.15	0.21	-1.11
6.530	0.051	-0.040	0.502	0.07	0.20	-1.44
6.630	0.054	-0.046	0.519	-0.26	0.08	-1.75
6.732	0.058	-0.049	0.530	-0.34	0.15	-2.01
6.831	0.057	-0.050	0.536	-0.27	0.15	-2.25
6.934	0.059	-0.050	0.542	-0.15	0.09	-2.50
7.032	0.060	-0.051	0.545	-0.01	0.02	-2.85
7.133	0.062	-0.052	0.546	-0.07	0.04	-3.29
7.232	0.064	-0.051	0.547	-0.05	0.03	-3.72
7.334	0.056	-0.072	0.547	0.09	0.07	-4.17
7.432	0.057	-0.081	0.550	-0.25	-0.02	-4.62
7.532	0.061	-0.083	0.548	-0.59	0.10	-5.04
7.628	0.063	-0.080	0.545	-0.57	0.18	-5.41
7.731	0.067	-0.081	0.548	-0.48	0.30	-5.66
7.828	0.074	-0.075	0.545	-0.28	0.30	-5.77
7.931	0.069	-0.068	0.559	0.00	0.21	-5.68
8.030	0.073	-0.062	0.565	0.37	-0.06	-5.51
8.128	0.074	-0.064	0.566	-8.15	-0.31	-5.27
8.231	0.060	-0.053	0.577	-10.75	1.45	-4.47
8.330	0.070	-0.025	0.570	-9.66	2.08	-3.93
8.432	0.057	0.016	0.555	-6.80	4.03	-3.27
8.529	0.062	0.059	0.536	-3.24	4.04	-2.69
8.631	0.048	0.112	0.532	0.08	4.99	-1.90
8.731	0.030	0.150	0.538	2.28	4.80	-1.01
8.829	0.003	0.193	0.546	3.35	4.80	-0.14
8.928	-0.033	0.245	0.549	3.64	4.63	0.79
9.030	-0.073	0.282	0.548	4.13	3.90	1.57
9.131	-0.125	0.312	0.543	4.32	3.03	2.11
9.227	-0.188	0.339	0.540	4.27	2.14	2.47
9.330	-0.232	0.348	0.536	4.39	1.43	2.82
9.429	-0.276	0.345	0.537	4.60	1.07	3.11
