# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.130	0.044	-0.415	0.007	-0.12	-2.74	-2.79
0.232	0.038	-0.416	0.008	-0.05	-2.49	-2.76
0.329	0.039	-0.414	0.007	-0.13	-2.58	-2.74
0.430	0.032	-0.417	0.006	0.00	-2.32	-2.71
0.533	0.021	-0.413	0.007	-0.15	-2.09	-2.67
0.632	0.027	-0.411	0.007	-0.22	-2.55	-2.64
0.730	0.027	-0.409	0.008	-0.21	-2.66	-2.61
0.828	0.029	-0.413	0.008	-0.01	-2.78	-2.59
0.931	0.029	-0.412	0.008	-0.10	-2.71	-2.56
1.029	0.029	-0.414	0.007	-0.05	-2.69	-2.53
1.127	0.038	-0.410	0.007	-0.22	-2.93	-2.52
1.229	0.044	-0.411	0.007	-0.21	-3.04	-2.49
1.327	-0.000	-0.001	0.008	0.41	0.01	0.00
1.430	-0.002	-0.004	0.008	0.25	-0.57	-0.00
1.529	0.005	0.001	0.008	-1.03	-2.86	-0.03
1.627	0.004	-0.001	0.009	-0.43	-2.45	-0.01
1.731	0.000	-0.002	0.008	-0.32	-2.08	-0.00
1.831	0.009	-0.001	0.009	-0.34	-2.87	-0.00
1.932	0.019	-0.004	0.007	-0.13	-3.15	0.02
2.031	0.027	-0.004	0.008	-0.16	-3.16	0.01
2.130	0.026	-0.005	0.008	-0.19	-2.76	0.02
2.228	0.026	-0.006	0.007	-0.14	-2.56	0.03
2.326	0.029	-0.005	0.006	-0.17	-2.61	0.02
2.430	0.026	-0.007	0.007	-0.11	-2.41	0.03
2.528	0.028	-0.008	0.007	-0.09	-2.47	0.03
2.633	0.029	-0.012	0.007	-0.04	-2.47	0.03
2.730	0.030	-0.002	0.008	-0.36	-2.44	0.02
2.829	0.030	-0.003	0.007	-0.27	-2.49	0.02
2.927	0.032	-0.002	0.007	-0.23	-2.52	0.02
3.031	0.055	0.007	0.008	-0.44	-3.21	0.02
3.131	0.067	0.013	0.006	-0.46	-3.29	0.02
3.228	0.068	0.014	0.010	-0.29	-2.92	0.03
3.329	0.066	0.008	0.009	-0.01	-2.60	0.05
3.430	0.059	0.015	0.009	-0.19	-2.28	0.04
3.528	0.064	0.022	0.009	-0.29	-2.36	0.05
3.632	0.049	0.016	0.010	-0.01	-1.47	-0.05
3.731	0.051	0.020	0.007	0.01	-1.67	-0.08
3.829	0.057	0.031	0.002	-0.21	-1.14	-0.03
3.927	0.054	0.028	0.001	0.19	2.93	0.33
4.027	0.059	0.020	0.001	0.73	5.20	0.18
4.128	0.078	0.004	0.002	-1.23	2.28	0.09
4.229	0.087	-0.013	0.012	-2.02	3.59	-0.07
4.328	0.085	-0.018	0.024	-2.18	1.04	-0.13
4.428	0.079	-0.011	0.040	-2.05	0.83	-0.01
4.528	0.071	-0.004	0.052	-1.08	0.48	-0.25
4.638	0.064	0.005	0.053	0.70	-1.71	-0.03
4.728	0.059	0.014	0.062	1.65	-1.92	0.11
4.829	0.059	0.018	0.072	1.63	-0.84	0.08
4.928	0.058	0.018	0.104	1.41	-0.22	-0.42
5.030	0.061	0.015	0.129	0.41	-0.14	-1.05
5.130	0.064	0.011	0.142	-0.09	0.04	-1.52
5.229	0.064	0.008	0.168	-0.33	0.32	-1.71
5.327	0.066	0.001	0.195	-0.31	0.13	-1.76
5.429	0.072	-0.003	0.226	-0.62	0.07	-1.70
5.529	0.075	-0.009	0.256	-0.50	0.40	-1.37
5.626	0.083	-0.012	0.280	-0.49	0.34	-0.96
5.729	0.090	-0.014	0.307	-0.29	0.59	-0.51
5.828	0.092	-0.017	0.339	-0.22	0.69	-0.20
5.928	0.092	-0.015	0.366	-0.07	0.45	-0.11
6.025	0.095	-0.019	0.397	0.14	-0.01	-0.27
6.124	0.097	-0.004	0.428	0.08	0.03	-0.54
6.230	0.096	-0.007	0.456	0.74	0.39	-0.79
6.328	0.093	-0.008	0.485	0.15	0.26	-1.20
6.427	0.089	-0.019	0.512	0.46	0.08	-1.54
6.529	0.088	-0.028	0.532	-0.39	-0.18	-1.76
6.629	0.087	-0.037	0.540	-0.67	-0.26	-2.02
6.727	0.087	-0.047	0.546	-1.07	-0.21	-2.23
6.829	0.089	-0.050	0.555	-1.03	0.03	-2.21
6.928	0.092	-0.058	0.556	-0.84	0.11	-2.06
7.029	0.093	-0.057	0.554	-0.60	0.12	-1.74
7.128	0.092	-0.053	0.550	-0.32	0.02	-1.26
7.227	0.088	-0.054	0.543	0.03	0.04	-0.73
7.326	0.088	-0.054	0.536	0.24	-0.00	-0.17
7.428	0.081	-0.054	0.533	0.17	-0.06	0.39
7.528	0.074	-0.056	0.531	0.15	-0.29	0.82
7.627	0.073	-0.053	0.533	0.06	-0.47	1.10
7.725	0.074	-0.054	0.537	0.19	-0.50	1.18
7.826	0.074	-0.059	0.542	0.16	-0.37	1.09
7.928	0.073	-0.058	0.546	-0.09	-0.09	0.91
8.027	0.071	-0.060	0.551	-9.91	0.07	0.68
8.128	0.067	-0.056	0.568	-10.49	1.33	0.85
8.228	0.055	-0.012	0.570	-9.88	2.32	0.90
8.325	0.044	0.018	0.561	-6.02	3.44	1.02
8.423	0.044	0.068	0.542	-2.48	3.89	1.06
8.526	0.034	0.116	0.529	0.51	4.70	0.73
8.625	0.013	0.162	0.530	2.24	4.88	0.01
8.724	-0.012	0.199	0.540	3.03	4.39	-0.85
8.828	-0.052	0.225	0.551	3.25	3.65	-1.41
8.926	-0.089	0.255	0.555	3.10	2.83	-1.47
9.028	-0.129	0.280	0.556	2.95	2.52	-1.30
9.127	-0.181	0.307	0.554	3.38	2.06	-0.84
9.226	-0.237	0.324	0.552	3.89	1.84	-0.55
9.325	-0.304	0.330	0.550	4.18	1.04	-0.39
9.424	-0.354	0.328	0.548	4.46	0.16	-0.48
9.525	-0.406	0.329	0.546	3.94	-0.05	-0.83
9.623	-0.456	0.325	0.545	4.19	-0.51	-1.12
9.726	-0.493	0.312	0.544	4.09	-0.92	-1.22
9.825	-0.545	0.286	0.546	3.93	-1.19	-1.12
9.926	-0.588	0.261	0.545	4.02	-1.37	-0.90
10.027	-0.635	0.225	0.543	3.63	-2.18	-0.41
10.126	-0.675	0.196	0.542	3.50	-2.66	-0.01
10.225	-0.696	0.160	0.544	3.28	-3.54	0.23
10.326	-0.717	0.119	0.543	3.18	-3.42	0.37
10.422	-0.741	0.067	0.541	2.50	-3.51	0.66
10.525	-0.754	0.021	0.542	2.21	-3.72	1.08
10.626	-0.759	-0.030	0.543	1.38	-4.28	1.43
10.726	-0.761	-0.091	0.542	1.18	-4.37	1.71
10.825	-0.760	-0.138	0.540	0.36	-4.37	1.83
10.922	-0.755	-0.179	0.539	-0.34	-4.61	1.85
11.026	-0.742	-0.237	0.537	-0.92	-4.75	1.90
11.126	-0.724	-0.283	0.536	-1.65	-4.69	1.73
11.223	-0.704	-0.325	0.534	-2.16	-4.25	1.39
11.322	-0.676	-0.363	0.529	-2.55	-4.18	0.97
11.424	-0.644	-0.396	0.526	-2.80	-3.96	0.57
11.524	-0.610	-0.420	0.527	-3.21	-3.58	0.45
11.625	-0.558	-0.444	0.528	-3.31	-3.06	0.41
11.726	-0.508	-0.465	0.529	-3.39	-2.26	0.17
11.822	-0.463	-0.471	0.531	-3.80	-1.36	0.15
11.925	-0.426	-0.472	0.530	-4.06	-0.86	0.30
12.026	-0.352	-0.470	0.531	-4.33	-0.89	0.72
12.126	-0.315	-0.464	0.531	-4.65	0.26	0.52
12.226	-0.268	-0.451	0.529	-4.30	0.46	-0.10
12.327	-0.234	-0.432	0.526	-4.33	0.99	-0.67
12.425	-0.200	-0.410	0.524	-3.92	1.07	-1.04
12.524	-0.160	-0.378	0.526	-4.01	1.45	-1.19
12.622	-0.131	-0.347	0.531	-3.57	1.95	-1.25
12.722	-0.109	-0.309	0.536	-3.32	2.17	-1.13
12.823	-0.079	-0.253	0.535	-2.93	2.41	-0.83
12.927	-0.061	-0.202	0.532	-2.10	3.39	-0.82
13.024	-0.052	-0.172	0.531	3.93	3.64	-0.98
13.124	-0.044	-0.131	0.524	9.98	2.88	-1.06
13.224	-0.038	-0.106	0.516	8.98	1.80	-1.44
13.325	-0.037	-0.101	0.510	6.76	0.51	-1.86
13.424	-0.036	-0.114	0.509	3.50	-0.07	-2.50
13.522	-0.034	-0.129	0.512	0.60	-0.06	-3.24
13.624	-0.029	-0.150	0.517	-1.23	-0.01	-3.80
13.723	-0.025	-0.167	0.520	-2.07	0.37	-4.07
13.825	-0.019	-0.176	0.520	-1.99	0.45	-3.96
13.925	-0.013	-0.180	0.518	-1.62	0.61	-3.44
14.024	-0.006	-0.176	0.514	-0.98	0.59	-2.78
14.125	-0.003	-0.177	0.510	-0.25	0.58	-2.04
14.222	0.002	-0.169	0.508	0.00	0.64	-0.95
14.322	0.005	-0.165	0.508	0.45	0.58	0.28
14.425	0.009	-0.156	0.509	0.51	0.30	1.46
14.525	0.014	-0.151	0.508	0.45	0.60	2.63
14.625	0.016	-0.157	0.508	0.06	0.34	3.45
14.721	0.015	-0.157	0.509	-0.22	0.17	3.65
14.823	0.017	-0.164	0.508	-0.36	0.05	3.51
14.922	0.019	-0.159	0.503	-0.21	-0.03	3.44
15.024	0.025	-0.160	0.495	0.20	0.06	3.38
15.124	0.021	-0.168	0.485	0.34	0.04	3.19
15.225	0.041	-0.161	0.468	0.31	-0.08	2.99
15.319	0.048	-0.165	0.450	0.23	0.18	2.71
15.423	0.054	-0.169	0.429	-0.08	0.47	2.67
15.522	0.052	-0.196	0.408	-0.45	0.41	2.78
15.623	0.051	-0.216	0.385	-0.83	0.21	2.77
15.722	0.048	-0.216	0.361	-1.16	-0.10	2.82
15.819	0.059	-0.188	0.337	-0.81	-0.33	2.91
15.924	0.063	-0.185	0.314	-0.13	-0.07	3.13
16.024	0.057	-0.207	0.293	0.56	0.35	3.44
16.124	0.069	-0.207	0.271	-0.15	-0.15	3.67
16.220	0.068	-0.229	0.251	-0.07	0.28	3.90
16.322	0.078	-0.207	0.228	-1.18	0.01	4.11
16.419	0.069	-0.228	0.206	0.42	0.79	4.29
16.521	0.073	-0.225	0.185	-0.57	0.07	4.43
16.624	0.071	-0.239	0.162	-0.95	-0.54	4.44
16.724	0.073	-0.244	0.139	-1.65	-0.62	4.17
16.822	0.076	-0.239	0.121	-1.43	-0.12	3.68
16.919	0.080	-0.232	0.102	0.47	0.62	3.02
