# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.134	0.085	-0.210	0.006	0.52	-2.45	0.02
0.234	0.093	-0.208	0.007	0.32	-2.92	0.03
0.335	0.087	-0.206	0.006	0.20	-2.80	0.11
0.434	0.086	-0.205	0.005	0.19	-2.88	0.11
0.531	0.085	-0.205	0.006	0.17	-2.93	0.12
0.635	0.086	-0.204	0.006	0.14	-3.02	0.14
0.735	0.077	-0.207	0.005	0.27	-2.71	0.08
0.832	0.077	-0.208	0.005	0.28	-2.86	0.09
0.935	0.072	-0.215	0.004	0.49	-2.77	0.01
1.034	0.078	-0.218	0.004	0.44	-3.09	0.01
1.133	0.079	-0.216	0.005	0.23	-3.13	0.04
1.231	0.078	-0.221	0.004	0.33	-3.07	0.03
1.330	0.083	-0.227	0.006	0.44	-3.19	0.02
1.434	-0.000	-0.000	0.005	-0.01	0.01	0.00
1.533	-0.009	-0.003	0.006	0.95	0.18	-0.00
1.630	-0.015	-0.005	0.007	0.88	-0.92	0.01
1.729	-0.007	-0.007	0.007	0.57	-3.16	0.01
1.834	-0.006	-0.007	0.006	0.31	-3.40	-0.01
1.934	-0.007	-0.006	0.006	0.11	-3.32	-0.02
2.030	-0.008	-0.006	0.005	0.11	-3.22	-0.02
2.134	-0.008	-0.005	0.005	0.03	-3.18	-0.03
2.234	-0.015	-0.003	0.004	-0.04	-2.78	-0.04
2.331	-0.012	-0.003	0.005	0.04	-3.11	-0.03
2.430	-0.012	-0.004	0.005	0.13	-3.12	-0.02
2.534	-0.013	-0.002	0.005	0.06	-3.10	-0.02
2.634	-0.012	-0.004	0.005	0.14	-3.15	-0.02
2.732	-0.021	-0.007	0.006	0.30	-2.77	-0.01
2.830	-0.021	-0.006	0.007	0.24	-2.91	-0.01
2.934	-0.025	-0.007	0.005	0.25	-2.85	-0.01
3.034	-0.029	-0.013	0.004	0.43	-2.78	0.00
3.132	-0.027	-0.017	0.005	0.46	-2.96	-0.00
3.234	-0.017	-0.017	0.005	0.32	-3.35	-0.02
3.334	-0.017	-0.017	0.006	0.21	-3.24	-0.02
3.433	-0.018	-0.018	0.006	0.21	-3.14	-0.02
3.529	-0.017	-0.018	0.005	0.20	-3.12	-0.01
3.631	-0.018	-0.016	0.004	0.08	-3.00	-0.01
3.734	-0.016	-0.020	0.004	0.22	-2.68	-0.04
3.831	-0.014	-0.023	0.006	0.30	-2.51	-0.33
3.930	-0.015	-0.022	0.005	0.16	1.11	-0.02
4.030	0.003	-0.026	0.002	-0.72	6.42	0.32
4.133	0.010	-0.035	0.001	-3.02	5.11	0.26
4.228	0.002	-0.043	0.001	-1.58	3.58	-0.12
4.332	-0.022	-0.040	0.003	-2.52	2.36	-0.29
4.432	-0.035	-0.038	0.017	-0.59	-1.94	-0.62
4.531	-0.045	-0.020	0.037	-0.11	-2.63	-1.13
4.630	-0.049	-0.011	0.059	2.44	-2.49	-1.85
4.733	-0.045	-0.008	0.076	1.22	-2.17	-2.40
4.830	-0.040	-0.014	0.085	0.89	-0.65	-2.56
4.938	-0.033	-0.018	0.094	-0.11	0.43	-2.49
5.033	-0.027	-0.022	0.105	-0.59	2.03	-2.30
5.132	-0.024	-0.025	0.121	-0.74	0.88	-2.09
5.229	-0.022	-0.026	0.134	-0.82	0.79	-1.86
5.332	-0.019	-0.025	0.148	-0.42	0.29	-1.56
5.431	-0.026	-0.025	0.175	-0.01	0.35	-1.30
5.528	-0.030	-0.022	0.207	0.19	-0.38	-1.04
5.631	-0.034	-0.020	0.245	0.37	-0.49	-0.89
5.730	-0.033	-0.022	0.273	0.50	-0.82	-0.83
5.830	-0.031	-0.028	0.301	0.24	-0.61	-0.81
5.932	-0.029	-0.034	0.329	-0.08	-0.31	-0.76
6.037	-0.028	-0.042	0.355	-0.50	0.07	-0.66
6.129	-0.024	-0.045	0.385	-0.78	0.03	-0.50
6.230	-0.024	-0.047	0.418	-0.88	0.33	-0.30
6.330	-0.021	-0.052	0.454	-0.61	0.10	-0.10
6.431	-0.018	-0.052	0.485	-0.35	0.26	-0.16
6.530	-0.010	-0.037	0.507	-0.12	-0.04	-0.43
6.629	-0.005	-0.031	0.525	0.40	0.32	-0.78
6.729	0.001	-0.020	0.537	0.88	0.18	-1.06
6.830	0.006	-0.013	0.546	1.01	0.58	-1.28
6.930	0.010	-0.013	0.551	0.85	0.36	-1.40
7.031	0.011	-0.013	0.550	0.58	0.52	-1.50
7.132	0.010	-0.014	0.546	0.21	0.10	-1.54
7.231	0.011	-0.017	0.544	0.01	0.13	-1.59
7.332	0.011	-0.022	0.543	-0.14	-0.20	-1.59
7.429	0.012	-0.022	0.545	-0.22	0.07	-1.61
7.531	0.014	-0.018	0.546	-0.20	-0.10	-1.58
7.631	0.016	-0.012	0.550	0.00	0.10	-1.52
7.731	0.014	-0.012	0.553	0.04	-0.02	-1.47
7.830	0.014	-0.010	0.554	0.19	0.02	-1.39
7.928	0.012	-0.001	0.556	0.23	0.07	-1.37
8.031	0.013	0.001	0.557	0.30	-0.12	-1.40
8.130	0.018	0.000	0.559	-7.27	-0.28	-1.45
8.229	0.006	-0.006	0.571	-10.83	1.10	-1.29
8.327	-0.003	0.037	0.576	-9.60	2.21	-1.48
8.431	-0.016	0.076	0.569	-6.64	3.81	-1.61
8.530	-0.017	0.119	0.555	-2.63	3.80	-1.80
8.631	-0.026	0.177	0.544	0.18	4.32	-2.04
8.772	-0.036	0.214	0.537	1.99	4.26	-2.29
8.829	-0.062	0.264	0.532	2.88	4.30	-2.25
8.931	-0.084	0.303	0.531	3.59	3.80	-1.88
9.029	-0.125	0.343	0.533	3.80	3.63	-1.45
9.127	-0.173	0.371	0.535	3.77	3.18	-1.11
9.226	-0.215	0.390	0.536	3.67	2.52	-0.91
9.330	-0.263	0.404	0.537	3.65	2.11	-0.84
9.428	-0.311	0.404	0.539	3.68	1.54	-0.66
9.530	-0.368	0.404	0.540	3.70	0.64	-0.25
9.630	-0.414	0.402	0.542	3.78	0.10	0.15
9.730	-0.468	0.396	0.546	4.28	-0.07	0.59
9.830	-0.520	0.387	0.547	4.41	-0.74	1.06
9.929	-0.570	0.368	0.549	4.70	-1.06	1.42
10.027	-0.615	0.341	0.548	4.78	-1.87	1.83
10.128	-0.660	0.309	0.547	4.33	-2.38	2.10
10.230	-0.698	0.276	0.545	3.79	-2.78	2.22
10.327	-0.726	0.238	0.546	3.39	-3.00	2.19
10.430	-0.750	0.192	0.544	2.87	-3.60	2.07
10.530	-0.769	0.149	0.541	2.39	-3.62	1.77
10.631	-0.785	0.097	0.537	1.81	-3.99	1.47
10.726	-0.793	0.051	0.536	1.37	-3.99	1.03
10.829	-0.799	0.002	0.536	0.93	-4.32	0.68
10.929	-0.799	-0.047	0.538	0.46	-4.05	0.45
11.030	-0.796	-0.091	0.537	0.22	-4.30	0.36
11.127	-0.789	-0.138	0.537	-0.26	-4.52	0.43
11.230	-0.775	-0.186	0.534	-1.15	-4.67	0.57
11.325	-0.754	-0.229	0.533	-1.51	-4.63	0.78
11.429	-0.726	-0.277	0.533	-2.27	-4.58	0.99
11.528	-0.698	-0.310	0.533	-3.11	-4.13	1.07
11.629	-0.660	-0.339	0.530	-3.73	-3.65	1.08
11.729	-0.609	-0.363	0.529	-3.75	-3.18	0.98
11.825	-0.557	-0.389	0.530	-4.09	-2.43	0.76
11.931	-0.515	-0.397	0.528	-4.14	-1.62	0.53
12.028	-0.466	-0.397	0.531	-4.19	-1.02	0.35
12.128	-0.429	-0.397	0.530	-3.99	-0.56	0.21
12.228	-0.381	-0.395	0.530	-4.17	-0.43	0.12
12.328	-0.344	-0.387	0.529	-4.31	-0.07	0.01
12.425	-0.300	-0.362	0.531	-4.39	0.35	-0.05
12.527	-0.264	-0.333	0.529	-4.09	1.03	-0.04
12.629	-0.226	-0.304	0.524	-3.71	1.38	0.07
12.729	-0.196	-0.278	0.524	-3.62	2.05	0.13
12.825	-0.163	-0.246	0.525	-3.48	2.45	0.19
12.923	-0.142	-0.203	0.525	-3.20	3.11	0.18
13.027	-0.125	-0.159	0.522	-2.64	3.37	0.09
13.129	-0.115	-0.122	0.513	1.83	3.69	0.02
13.227	-0.109	-0.085	0.510	9.69	3.00	0.09
13.326	-0.105	-0.058	0.517	8.35	1.94	-0.01
13.429	-0.103	-0.048	0.525	6.65	0.54	-0.06
13.528	-0.103	-0.052	0.524	3.19	0.11	-0.27
13.626	-0.099	-0.061	0.519	1.21	-0.20	-0.39
13.729	-0.100	-0.070	0.514	-0.64	-0.20	-0.34
13.827	-0.094	-0.082	0.513	-1.53	-0.28	-0.25
13.925	-0.087	-0.090	0.517	-1.55	0.11	-0.04
14.027	-0.077	-0.088	0.520	-1.40	0.15	0.20
14.126	-0.069	-0.083	0.519	-0.67	0.57	0.45
14.226	-0.063	-0.074	0.520	-0.15	0.59	0.63
14.324	-0.054	-0.067	0.518	0.37	0.70	0.67
14.427	-0.051	-0.056	0.518	0.71	0.68	0.82
14.526	-0.044	-0.050	0.516	0.96	0.57	0.97
14.625	-0.041	-0.047	0.515	0.91	0.46	0.98
14.722	-0.040	-0.044	0.509	0.46	0.24	0.89
14.828	-0.035	-0.046	0.508	0.45	0.29	0.65
14.931	-0.032	-0.053	0.506	0.06	0.14	0.46
15.028	-0.022	-0.055	0.497	-0.04	0.24	0.29
15.125	-0.021	-0.053	0.486	-0.32	0.08	0.15
15.226	-0.020	-0.052	0.476	-0.44	-0.01	0.10
15.328	-0.015	-0.046	0.468	-0.22	0.10	0.10
15.426	-0.013	-0.040	0.456	0.20	0.26	0.08
15.525	-0.015	-0.037	0.438	0.49	0.43	-0.09
15.627	-0.015	-0.021	0.419	0.56	0.23	-0.41
15.725	-0.017	-0.020	0.401	0.66	0.07	-0.81
15.824	-0.002	-0.041	0.382	0.83	-0.42	-1.20
15.923	-0.021	0.003	0.359	0.15	-0.16	-1.46
16.028	-0.013	0.002	0.332	0.98	-0.20	-1.64
16.126	-0.031	0.004	0.302	0.67	0.17	-1.74
16.223	-0.021	0.034	0.275	0.22	-0.06	-1.71
16.327	-0.017	0.020	0.248	0.71	0.05	-1.64
16.425	-0.013	0.001	0.219	0.45	0.05	-1.75
16.524	-0.007	-0.013	0.198	-0.37	0.29	-2.08
16.627	-0.003	-0.023	0.179	-0.97	0.52	-2.41
16.726	0.001	-0.031	0.159	-1.25	0.60	-2.70
16.826	0.005	-0.035	0.139	-1.21	0.45	-2.75
16.924	0.008	-0.036	0.117	-0.95	0.70	-2.55
17.023	0.011	-0.031	0.098	-0.08	0.64	-2.26
