# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.129	-0.104	-0.323	0.003	-0.45	-3.27	1.75
0.233	-0.105	-0.324	0.004	-0.45	-3.18	1.74
0.330	-0.103	-0.323	0.004	-0.53	-3.23	1.72
0.431	-0.105	-0.323	0.002	-0.54	-3.16	1.71
0.528	-0.104	-0.322	0.002	-0.59	-3.17	1.69
0.632	-0.105	-0.323	0.003	-0.54	-3.14	1.67
0.730	-0.105	-0.323	0.002	-0.50	-3.14	1.66
0.831	-0.104	-0.324	0.002	-0.48	-3.18	1.64
0.931	-0.104	-0.323	0.004	-0.50	-3.15	1.63
1.031	-0.106	-0.333	0.003	-0.20	-3.12	1.60
1.133	-0.105	-0.332	0.003	-0.38	-3.19	1.59
1.229	-0.107	-0.327	0.004	-0.64	-3.14	1.58
1.333	-0.108	-0.325	0.003	-0.67	-3.10	1.57
1.431	-0.001	-0.000	0.005	-0.11	-0.16	-0.00
1.529	-0.004	0.000	0.003	-0.38	-0.96	-0.01
1.632	-0.006	0.001	0.003	-0.51	-1.83	-0.01
1.730	-0.003	-0.001	0.003	-0.26	-2.81	-0.00
1.827	-0.003	-0.000	0.003	-0.37	-2.93	-0.01
1.931	-0.003	-0.000	0.002	-0.40	-3.03	-0.01
2.032	-0.004	0.001	0.004	-0.51	-3.01	-0.02
2.130	-0.003	0.000	0.003	-0.44	-3.14	-0.01
2.228	-0.002	-0.001	0.003	-0.38	-3.20	-0.00
2.329	-0.000	0.003	0.002	-0.48	-3.23	-0.01
2.428	-0.001	0.004	0.002	-0.52	-3.16	-0.02
2.531	0.002	0.009	0.003	-0.68	-3.28	-0.03
2.629	0.004	0.008	0.003	-0.51	-3.28	-0.01
2.726	0.007	0.005	0.003	-0.34	-3.35	0.01
2.828	0.007	0.005	0.003	-0.37	-3.24	0.00
2.927	0.014	0.015	0.004	-0.71	-3.41	-0.02
3.026	0.013	0.015	0.005	-0.58	-3.24	-0.01
3.130	0.013	0.014	0.004	-0.45	-3.15	-0.00
3.231	0.014	0.016	0.004	-0.47	-3.13	-0.00
3.329	0.014	0.015	0.004	-0.41	-3.09	0.00
3.430	0.014	0.014	0.003	-0.35	-3.16	0.00
3.529	0.010	0.010	0.003	-0.27	-3.06	0.01
3.630	0.012	0.005	0.003	-0.07	-2.93	0.05
3.728	0.039	-0.002	0.002	0.22	-3.50	-0.07
3.826	0.050	-0.003	0.006	0.13	-0.73	0.20
3.929	0.065	-0.004	0.003	-0.35	5.71	1.42
4.029	0.071	-0.009	0.002	-2.77	8.90	1.25
4.130	0.025	-0.011	-0.005	-0.79	5.12	0.17
4.227	0.034	-0.003	0.003	-2.55	-1.00	-0.64
4.330	0.039	-0.006	0.008	0.28	-3.33	-1.94
4.429	0.027	0.002	0.027	-0.03	-1.75	-2.91
4.531	0.015	0.006	0.042	0.60	-0.90	-3.67
4.625	0.008	0.006	0.061	0.31	-0.60	-3.94
4.729	0.005	0.002	0.064	0.39	-0.70	-3.56
4.827	0.004	-0.001	0.082	-0.15	-0.20	-2.95
4.929	0.004	-0.006	0.101	-0.24	-0.07	-2.36
5.030	0.004	-0.009	0.109	-0.37	0.18	-1.72
5.127	0.004	-0.013	0.124	-0.16	0.12	-1.09
5.228	0.000	-0.014	0.139	-0.33	0.43	-0.77
5.329	-0.000	-0.015	0.158	-0.36	-0.02	-0.72
5.431	-0.001	-0.021	0.186	0.09	0.05	-0.59
5.531	-0.000	-0.028	0.222	0.08	-0.19	-0.27
5.629	0.005	-0.029	0.254	-0.51	-0.11	0.13
5.729	0.011	-0.032	0.291	-0.42	0.08	0.49
5.830	0.017	-0.035	0.329	-0.48	0.31	0.57
5.926	0.022	-0.036	0.360	-0.44	0.50	0.30
6.029	0.030	-0.036	0.393	-0.43	0.61	-0.21
6.127	0.032	-0.035	0.425	-0.35	0.71	-0.84
6.229	0.035	-0.033	0.452	-0.13	0.41	-1.44
6.327	0.036	-0.051	0.472	0.31	0.08	-1.93
6.428	0.035	-0.054	0.488	-0.41	0.01	-2.24
6.526	0.034	-0.054	0.501	-0.37	-0.07	-2.39
6.624	0.035	-0.054	0.512	-0.37	-0.04	-2.53
6.727	0.044	-0.057	0.530	-0.17	-0.04	-2.77
6.825	0.045	-0.045	0.541	-0.06	0.19	-3.09
6.929	0.047	-0.049	0.548	0.29	0.16	-3.43
7.027	0.060	-0.042	0.553	0.08	0.31	-3.79
7.129	0.066	-0.037	0.555	0.25	0.39	-4.11
7.228	0.066	-0.036	0.561	0.24	0.50	-4.33
7.323	0.064	-0.031	0.559	0.28	0.25	-4.40
7.428	0.061	-0.029	0.559	0.24	0.13	-4.29
7.525	0.055	-0.027	0.556	0.23	-0.13	-4.10
7.623	0.052	-0.033	0.552	0.25	-0.42	-3.92
7.726	0.051	-0.025	0.542	0.16	-0.33	-3.81
7.828	0.049	-0.032	0.535	0.11	-0.33	-3.74
7.926	0.050	-0.030	0.538	-0.18	-0.06	-3.75
8.029	0.056	-0.018	0.540	-1.14	-0.08	-3.80
8.126	0.045	-0.028	0.552	-11.21	0.64	-3.68
8.225	0.046	-0.006	0.571	-9.99	1.65	-3.38
8.326	0.034	0.022	0.568	-8.85	2.90	-3.06
8.440	0.034	0.067	0.557	-4.95	3.48	-2.75
8.528	0.023	0.120	0.548	-1.81	4.68	-2.34
8.627	0.016	0.174	0.552	1.22	4.80	-1.69
8.725	-0.005	0.225	0.553	2.99	4.97	-0.88
8.823	-0.030	0.267	0.551	3.63	4.63	-0.20
8.926	-0.062	0.307	0.544	3.82	4.14	0.40
9.025	-0.094	0.328	0.538	4.08	3.73	0.76
9.128	-0.145	0.353	0.534	3.51	3.17	1.07
9.223	-0.197	0.376	0.530	3.75	2.59	1.45
9.328	-0.249	0.383	0.530	3.93	1.51	1.65
9.426	-0.303	0.382	0.534	4.04	0.57	1.56
9.524	-0.349	0.381	0.538	4.07	0.04	1.54
9.631	-0.405	0.375	0.541	3.83	0.07	1.75
9.722	-0.465	0.368	0.545	4.07	-0.48	2.04
9.825	-0.523	0.354	0.547	4.35	-1.15	2.54
9.935	-0.567	0.333	0.550	4.71	-1.98	2.99
10.022	-0.614	0.301	0.549	4.57	-2.36	3.38
10.127	-0.659	0.254	0.547	4.46	-2.61	3.62
10.224	-0.678	0.216	0.545	3.19	-3.15	3.54
10.326	-0.701	0.173	0.541	2.72	-3.37	3.26
10.427	-0.718	0.134	0.540	2.07	-3.35	2.89
10.525	-0.733	0.081	0.540	2.10	-3.23	2.40
10.625	-0.741	0.036	0.535	2.09	-3.69	1.68
10.727	-0.741	-0.024	0.533	1.27	-3.89	1.06
10.821	-0.741	-0.073	0.538	0.29	-3.65	0.90
10.925	-0.736	-0.123	0.541	-0.52	-4.02	1.02
11.023	-0.730	-0.173	0.540	-0.50	-4.15	1.05
11.126	-0.715	-0.228	0.540	-0.94	-4.74	0.92
11.227	-0.695	-0.266	0.538	-1.37	-4.34	0.64
11.327	-0.674	-0.306	0.533	-2.09	-4.58	0.19
11.420	-0.645	-0.342	0.530	-2.08	-4.22	-0.13
11.524	-0.613	-0.371	0.528	-3.07	-3.60	-0.11
11.621	-0.564	-0.398	0.527	-3.63	-3.02	0.01
11.726	-0.518	-0.420	0.527	-3.76	-2.36	-0.18
11.824	-0.474	-0.432	0.530	-3.57	-1.92	-0.61
11.924	-0.428	-0.436	0.528	-3.60	-1.33	-0.72
12.026	-0.381	-0.434	0.529	-3.77	-1.16	-0.34
12.124	-0.338	-0.430	0.531	-4.00	-0.56	0.24
12.224	-0.293	-0.428	0.533	-4.27	-0.47	0.67
12.327	-0.252	-0.425	0.533	-4.62	0.23	0.74
12.426	-0.217	-0.405	0.530	-4.74	0.76	0.71
12.524	-0.178	-0.376	0.527	-4.81	1.23	0.66
12.626	-0.148	-0.357	0.527	-4.22	1.64	0.40
12.725	-0.118	-0.326	0.524	-4.09	2.25	0.15
12.824	-0.090	-0.273	0.523	-3.69	2.37	-0.05
12.924	-0.070	-0.229	0.522	-2.91	2.99	-0.38
13.022	-0.053	-0.179	0.521	-1.97	3.35	-0.98
13.120	-0.044	-0.147	0.516	7.62	3.71	-1.59
