# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.116	-0.528	-0.155	0.004	-0.52	-3.03	0.19
0.217	-0.532	-0.152	0.004	-0.60	-2.97	0.20
0.317	-0.529	-0.156	0.003	-0.43	-3.17	0.18
0.418	-0.524	-0.154	0.004	-0.51	-3.35	0.17
0.518	-0.525	-0.152	0.002	-0.57	-3.22	0.17
0.620	-0.523	-0.153	0.003	-0.48	-3.28	0.16
0.717	-0.526	-0.151	0.003	-0.57	-3.10	0.17
0.816	-0.528	-0.157	0.004	-0.33	-3.04	0.17
0.917	-0.534	-0.158	0.005	-0.36	-2.87	0.18
1.021	-0.534	-0.156	0.003	-0.48	-2.98	0.18
1.120	-0.534	-0.156	0.003	-0.50	-3.06	0.17
1.222	-0.535	-0.156	0.003	-0.53	-3.08	0.17
1.316	-0.001	-0.000	0.004	0.01	-0.09	-0.00
1.419	-0.003	-0.000	0.005	-0.26	-0.86	0.00
1.517	-0.003	-0.001	0.004	-0.32	-1.88	-0.00
1.616	-0.001	0.002	0.004	-0.75	-2.61	-0.02
1.720	-0.002	0.004	0.006	-0.78	-2.73	-0.02
1.818	-0.003	0.004	0.005	-0.65	-2.84	-0.00
1.919	-0.003	0.003	0.005	-0.54	-2.92	0.01
2.020	-0.002	0.003	0.004	-0.52	-3.00	0.01
2.120	-0.005	0.003	0.003	-0.51	-2.94	0.02
2.220	-0.010	-0.001	0.004	-0.36	-2.84	0.03
2.316	-0.008	0.002	0.004	-0.55	-3.08	0.02
2.416	-0.007	0.006	0.005	-0.67	-3.12	0.00
2.517	-0.006	0.004	0.005	-0.54	-3.15	0.01
2.620	-0.006	0.006	0.004	-0.60	-3.13	0.01
2.719	-0.005	0.004	0.004	-0.50	-3.15	0.02
2.817	-0.005	-0.001	0.003	-0.34	-3.14	0.03
2.917	-0.005	-0.003	0.004	-0.35	-3.12	0.04
3.015	0.001	0.006	0.003	-0.72	-3.34	0.01
3.115	0.002	0.006	0.003	-0.61	-3.24	0.01
3.219	0.002	0.006	0.004	-0.58	-3.17	0.02
3.319	0.010	0.001	0.004	-0.34	-3.40	0.03
3.416	0.016	-0.005	0.005	-0.22	-3.39	0.05
3.519	0.013	0.003	0.005	-0.54	-2.99	0.09
3.618	0.013	0.003	0.006	-0.40	-2.66	-0.19
3.716	0.025	0.001	0.006	-0.32	-1.50	-0.33
3.819	0.018	0.000	0.003	-0.46	4.68	-0.30
3.919	0.038	-0.001	0.002	-2.13	5.87	-0.24
4.046	0.028	0.006	-0.000	0.32	4.61	-0.69
4.118	0.022	0.002	0.002	-1.23	2.28	-1.02
4.219	-0.007	0.004	0.003	-0.19	1.14	-1.23
4.317	-0.016	0.011	0.017	-0.86	-2.31	-1.17
4.418	-0.016	0.012	0.042	1.12	-3.66	-0.61
4.517	-0.010	0.008	0.070	0.97	-1.59	-0.36
4.619	-0.007	0.007	0.087	0.01	0.71	-1.00
4.721	-0.006	0.004	0.093	-0.22	0.95	-1.96
4.819	-0.003	0.001	0.095	-0.45	0.86	-2.75
4.918	-0.001	-0.000	0.108	-0.34	0.02	-3.23
5.018	-0.000	0.004	0.122	-0.41	0.42	-3.55
5.118	-0.005	0.004	0.136	-0.01	-0.19	-3.73
5.219	-0.001	0.007	0.162	0.07	-0.51	-3.82
5.318	0.008	0.010	0.191	0.53	-0.24	-3.86
5.414	0.005	0.012	0.225	0.77	0.63	-3.63
5.519	0.007	0.015	0.258	0.48	0.40	-2.92
5.616	0.007	0.014	0.283	0.41	0.25	-2.06
5.715	0.020	0.011	0.311	0.10	0.01	-1.46
5.818	0.022	0.004	0.337	-0.01	0.54	-1.08
5.916	0.023	-0.003	0.363	-0.57	0.36	-0.81
6.015	0.023	-0.013	0.397	-0.65	0.27	-0.51
6.117	0.020	-0.022	0.428	-0.65	0.30	-0.19
6.214	0.019	-0.028	0.454	-0.78	-0.18	-0.05
6.318	0.011	-0.029	0.477	-0.42	-0.28	-0.06
6.416	0.008	-0.027	0.496	-0.27	-0.27	-0.24
6.515	0.007	-0.037	0.512	0.01	-0.52	-0.66
6.613	0.008	-0.039	0.532	0.03	-0.43	-1.12
6.718	0.005	-0.050	0.549	-0.05	-0.52	-1.31
6.816	0.009	-0.059	0.558	-0.85	-0.17	-0.75
6.917	0.006	-0.068	0.566	-1.51	0.19	0.12
7.016	0.007	-0.067	0.562	-0.96	0.32	0.19
7.117	0.005	-0.060	0.563	-0.89	0.17	-0.39
7.217	0.001	-0.049	0.558	-0.41	-0.29	-0.72
7.318	-0.009	-0.041	0.549	-0.39	-0.33	-0.63
7.415	-0.012	-0.029	0.544	0.10	-0.24	-0.31
7.516	-0.017	-0.015	0.542	0.80	-0.20	0.29
7.618	-0.021	-0.000	0.542	1.12	0.01	0.86
