# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.137	0.117	-0.249	0.002	1.00	-3.98	0.81
0.242	0.123	-0.243	0.003	0.78	-4.27	0.81
0.342	0.124	-0.244	0.003	0.95	-4.17	0.79
0.435	0.119	-0.242	0.002	0.86	-3.89	0.79
0.536	0.120	-0.238	0.003	0.79	-3.99	0.79
0.637	0.120	-0.239	0.003	0.92	-3.96	0.78
0.736	0.120	-0.238	0.004	0.97	-3.98	0.77
0.837	0.125	-0.244	0.002	1.18	-4.25	0.74
0.935	0.126	-0.243	0.001	1.09	-4.19	0.74
1.034	0.126	-0.242	0.002	0.97	-4.06	0.74
1.138	0.126	-0.242	0.003	0.95	-4.00	0.73
1.236	0.120	-0.247	0.003	1.10	-3.86	0.72
1.334	0.125	-0.240	0.003	0.76	-4.16	0.74
1.438	-0.001	0.000	1.722	0.01	0.00	0.00
1.535	-0.007	0.002	0.003	-0.26	-0.48	0.00
1.636	-0.008	0.001	0.003	0.61	-2.58	0.02
1.732	-0.008	0.001	0.002	0.75	-3.44	0.03
1.836	-0.008	0.000	0.002	0.94	-3.94	0.05
1.936	-0.007	0.009	0.002	0.25	-4.12	-0.03
2.033	-0.012	0.009	0.003	0.54	-3.89	0.01
2.136	-0.013	0.008	0.003	0.80	-4.01	0.04
2.237	-0.008	0.001	0.002	1.17	-4.24	0.10
2.337	-0.008	0.001	0.002	1.06	-4.22	0.09
2.435	-0.007	0.001	0.003	1.05	-4.22	0.08
2.534	0.003	0.001	0.003	1.03	-4.52	0.07
2.636	0.004	0.003	0.003	0.89	-4.35	0.05
2.736	0.004	0.001	0.003	0.96	-4.21	0.07
2.834	0.003	0.002	0.002	0.92	-4.11	0.07
2.933	0.003	0.002	0.003	0.91	-4.04	0.07
3.036	0.007	-0.000	0.003	0.97	-4.14	0.07
3.137	0.002	0.001	0.002	0.91	-3.94	0.07
3.232	-0.000	0.001	0.002	0.92	-3.86	0.07
3.337	0.005	0.003	0.003	0.83	-4.10	0.07
3.436	0.001	-0.002	0.003	1.04	-3.96	0.07
3.532	0.002	-0.002	0.002	0.99	-4.01	0.07
3.635	0.002	-0.001	0.002	0.88	-3.99	0.06
3.734	0.002	-0.002	0.002	0.81	-3.76	0.02
3.832	0.004	-0.008	0.002	0.95	-3.18	-0.04
3.936	0.055	-0.037	-0.010	1.67	-0.84	0.04
4.035	0.130	-0.073	-0.017	-1.96	4.36	0.13
4.135	0.150	-0.085	0.008	-8.94	15.37	0.38
4.234	0.164	-0.093	0.018	-4.46	9.24	-1.61
4.338	0.184	-0.091	0.019	-3.17	6.48	-1.99
4.486	0.206	-0.084	0.006	-1.53	1.76	-2.09
4.534	0.219	-0.032	0.029	-2.11	0.80	-1.84
4.636	0.158	0.015	0.048	4.29	5.27	-2.13
4.732	0.061	0.037	0.049	6.43	-0.88	-0.79
4.835	-0.028	0.042	0.071	5.51	-10.05	1.09
4.934	-0.072	0.031	0.094	2.89	-13.46	1.27
