# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.123	-0.037	-0.025	0.010	-0.76	-1.65	-1.78
0.226	-0.036	-0.025	0.010	-0.65	-1.70	-1.77
0.328	-0.036	-0.026	0.008	-0.57	-1.68	-1.77
0.426	-0.054	-0.019	0.008	-0.78	-1.09	-1.73
0.526	-0.059	-0.012	0.008	-0.82	-1.24	-1.70
0.625	-0.058	-0.013	0.009	-0.62	-1.55	-1.71
0.724	-0.056	-0.015	0.010	-0.48	-1.78	-1.72
0.823	-0.062	-0.016	0.008	-0.43	-1.67	-1.72
0.928	-0.057	-0.015	0.009	-0.45	-1.92	-1.72
1.027	-0.053	-0.010	0.008	-0.61	-2.02	-1.72
1.127	-0.051	-0.012	0.009	-0.45	-2.02	-1.68
1.224	-0.052	-0.010	0.008	-0.48	-1.89	-1.66
1.321	-0.001	-0.000	0.008	-0.07	0.02	-0.00
1.426	-0.002	-0.001	0.008	-0.10	-0.59	-0.00
1.525	-0.003	0.002	0.008	-0.74	-0.96	-0.01
1.625	-0.001	-0.002	0.009	-0.25	-1.60	-0.00
1.723	-0.003	0.001	0.009	-0.52	-1.53	-0.01
1.824	-0.003	0.001	0.008	-0.55	-1.62	-0.01
1.927	0.014	-0.001	0.007	-0.47	-2.74	0.01
2.026	0.014	0.002	0.009	-0.60	-2.30	-0.01
2.123	0.014	0.001	0.009	-0.55	-2.05	-0.00
2.222	0.006	0.001	0.009	-0.54	-1.57	-0.01
2.337	0.005	-0.001	0.009	-0.45	-1.63	-0.01
2.425	0.001	0.000	0.008	-0.49	-1.55	-0.00
2.526	0.008	-0.002	0.009	-0.40	-1.95	0.00
2.625	0.008	-0.000	0.008	-0.51	-1.88	-0.00
2.723	0.002	-0.007	0.007	-0.23	-1.58	0.01
2.822	0.003	-0.008	0.008	-0.32	-1.70	0.00
2.926	0.003	-0.007	0.008	-0.42	-1.75	0.00
3.026	0.002	-0.007	0.008	-0.50	-1.77	-0.00
3.122	-0.003	-0.015	0.010	-0.26	-1.61	0.01
3.221	-0.003	-0.015	0.010	-0.39	-1.74	0.00
3.326	-0.009	-0.015	0.008	-0.45	-1.58	0.00
3.424	-0.006	-0.014	0.008	-0.53	-1.84	0.01
3.525	-0.015	-0.017	0.007	-0.46	-1.41	0.10
3.626	-0.010	-0.022	0.007	-0.24	-1.51	0.05
3.725	-0.012	-0.020	0.006	-0.31	-1.50	0.27
3.823	-0.012	-0.013	0.005	-0.52	0.17	0.18
3.922	0.015	-0.011	0.003	-1.01	4.19	0.23
4.021	0.030	-0.006	0.002	-0.64	5.60	0.07
4.124	0.038	-0.010	0.003	-0.34	2.86	-0.42
4.223	0.018	-0.001	0.010	-0.86	3.26	-0.58
4.325	0.012	0.009	0.018	0.43	-2.10	-0.88
4.425	-0.007	0.007	0.046	0.99	-1.22	-1.23
4.524	-0.015	0.005	0.068	1.32	-2.89	-1.24
4.621	-0.019	-0.003	0.087	0.34	-1.76	-1.63
4.720	-0.019	-0.012	0.101	-0.81	-1.26	-2.07
4.824	-0.016	-0.015	0.102	-1.23	-0.26	-2.65
4.927	-0.011	-0.018	0.106	-1.01	0.20	-3.14
5.021	-0.007	-0.020	0.114	-0.61	0.74	-3.62
5.120	-0.009	-0.022	0.132	-0.23	0.84	-3.92
5.220	-0.008	-0.026	0.155	0.01	0.20	-3.95
5.325	-0.005	-0.022	0.186	-0.15	0.03	-3.68
5.421	-0.006	-0.017	0.219	0.23	-0.03	-3.12
5.522	-0.009	-0.013	0.250	0.43	-0.15	-2.61
5.626	-0.011	-0.009	0.281	0.58	-0.35	-2.23
5.724	-0.014	-0.009	0.312	0.58	-0.32	-2.03
5.823	-0.016	-0.004	0.347	0.43	-0.27	-1.86
5.925	-0.017	-0.001	0.377	0.54	-0.29	-1.61
6.024	-0.016	-0.002	0.409	0.52	-0.23	-1.39
6.122	-0.015	-0.011	0.440	0.34	-0.10	-1.34
6.224	-0.011	-0.019	0.465	-0.22	-0.00	-1.40
6.320	-0.008	-0.026	0.483	-0.46	0.18	-1.46
6.423	-0.008	-0.034	0.502	-0.60	0.18	-1.51
6.523	-0.007	-0.040	0.508	-0.63	0.19	-1.55
6.621	-0.005	-0.044	0.513	-0.50	0.12	-1.47
6.719	-0.004	-0.044	0.525	-0.54	0.02	-1.41
6.824	-0.003	-0.048	0.535	-0.31	0.11	-1.39
6.922	0.000	-0.048	0.549	-0.28	0.06	-1.40
7.021	-0.008	-0.048	0.559	-0.08	0.10	-1.41
7.124	-0.011	-0.049	0.564	0.06	-0.13	-1.42
7.223	-0.014	-0.055	0.564	0.08	-0.33	-1.45
7.321	-0.012	-0.050	0.561	-0.09	-0.47	-1.45
7.420	-0.017	-0.070	0.554	-0.10	-0.21	-1.43
7.523	-0.019	-0.077	0.545	-0.40	-0.23	-1.48
7.623	-0.019	-0.080	0.535	-0.46	-0.16	-1.51
7.720	-0.022	-0.083	0.541	-0.37	0.04	-1.54
7.823	-0.022	-0.094	0.549	-0.45	-0.03	-1.62
7.924	-0.021	-0.084	0.553	-1.30	-0.03	-1.65
8.020	-0.031	-0.080	0.570	-11.46	0.18	-1.70
8.123	-0.030	-0.063	0.579	-9.98	1.46	-1.56
8.223	-0.044	-0.028	0.569	-9.02	2.86	-1.59
8.319	-0.040	0.010	0.548	-4.97	3.42	-1.49
8.423	-0.046	0.056	0.528	-1.79	4.15	-1.46
8.523	-0.061	0.106	0.529	0.92	4.32	-1.53
8.619	-0.079	0.155	0.543	2.60	4.25	-1.48
8.722	-0.106	0.198	0.554	3.34	4.14	-1.33
8.823	-0.141	0.236	0.558	3.46	3.75	-0.89
8.922	-0.178	0.267	0.559	3.73	3.59	-0.33
9.022	-0.215	0.289	0.554	3.84	3.04	0.12
9.119	-0.273	0.312	0.549	3.71	2.82	0.60
9.222	-0.315	0.323	0.546	4.12	1.77	1.47
9.320	-0.362	0.318	0.543	4.53	1.34	2.32
9.424	-0.409	0.314	0.543	4.71	1.00	3.18
9.523	-0.457	0.305	0.545	5.34	0.72	3.58
9.623	-0.502	0.285	0.548	4.96	0.19	3.24
9.723	-0.555	0.253	0.549	4.12	-0.68	2.22
9.823	-0.601	0.218	0.550	2.32	-1.41	1.09
9.920	-0.643	0.178	0.547	2.40	-2.15	0.52
10.019	-0.678	0.143	0.547	1.89	-2.45	0.34
10.119	-0.706	0.102	0.546	2.48	-2.49	0.24
10.221	-0.733	0.060	0.547	2.42	-2.50	-0.00
10.321	-0.757	0.011	0.545	2.13	-2.88	-0.13
10.422	-0.778	-0.037	0.542	1.83	-3.17	0.01
10.522	-0.804	-0.103	0.542	1.55	-3.98	0.30
10.620	-0.811	-0.147	0.542	0.71	-4.92	0.42
10.719	-0.812	-0.194	0.538	0.51	-5.07	0.50
10.822	-0.812	-0.242	0.534	-0.06	-5.13	0.63
10.919	-0.808	-0.284	0.531	-0.49	-4.80	0.77
11.019	-0.798	-0.328	0.529	-0.40	-4.42	0.69
11.142	-0.776	-0.369	0.530	-1.31	-4.97	0.14
11.219	-0.756	-0.416	0.531	-2.24	-4.19	-0.24
11.322	-0.720	-0.457	0.532	-2.11	-4.22	-0.85
11.421	-0.681	-0.479	0.534	-2.07	-3.39	-0.99
11.522	-0.634	-0.516	0.533	-2.67	-2.51	-0.09
11.621	-0.592	-0.530	0.533	-3.88	-2.39	0.83
11.720	-0.544	-0.555	0.533	-4.53	-2.20	1.85
11.821	-0.506	-0.564	0.533	-5.16	-1.69	2.50
11.919	-0.461	-0.568	0.533	-5.09	-1.42	2.58
12.018	-0.426	-0.567	0.531	-4.85	-1.06	2.09
12.121	-0.380	-0.556	0.530	-4.66	-0.74	1.53
12.221	-0.343	-0.531	0.529	-4.18	-0.12	1.03
12.321	-0.308	-0.499	0.524	-3.88	0.44	0.58
12.419	-0.271	-0.478	0.520	-3.46	0.98	0.28
12.521	-0.241	-0.452	0.518	-3.41	1.67	-0.05
12.618	-0.209	-0.422	0.521	-3.30	2.06	-0.22
12.720	-0.180	-0.376	0.528	-3.31	2.48	-0.09
12.816	-0.157	-0.333	0.530	-2.91	3.14	0.26
12.920	-0.135	-0.279	0.530	-2.61	3.69	0.60
13.016	-0.129	-0.245	0.529	7.86	4.21	0.74
13.121	-0.122	-0.215	0.531	8.82	2.99	0.86
13.217	-0.125	-0.188	0.528	8.67	1.68	0.89
13.320	-0.125	-0.194	0.521	5.38	0.34	0.82
13.418	-0.125	-0.210	0.511	2.34	-0.37	0.66
13.516	-0.120	-0.229	0.506	-0.32	-0.39	0.53
13.619	-0.120	-0.258	0.505	-1.84	-0.24	0.44
13.720	-0.114	-0.270	0.508	-2.75	0.06	0.40
13.817	-0.110	-0.273	0.515	-2.29	0.27	0.37
13.915	-0.100	-0.281	0.516	-1.54	0.37	0.35
14.017	-0.096	-0.269	0.517	-0.90	0.65	0.42
14.118	-0.091	-0.260	0.516	0.03	0.52	0.53
14.219	-0.087	-0.250	0.513	0.67	0.51	0.57
14.319	-0.083	-0.246	0.511	0.69	0.38	0.53
14.420	-0.078	-0.235	0.510	0.65	0.31	0.46
14.520	-0.076	-0.233	0.509	0.63	0.25	0.35
14.617	-0.072	-0.237	0.509	0.46	0.15	0.12
14.716	-0.069	-0.242	0.509	0.00	0.13	-0.25
14.820	-0.068	-0.240	0.506	-0.22	0.04	-0.59
14.917	-0.058	-0.244	0.501	-0.17	0.09	-0.81
15.015	-0.052	-0.241	0.490	-0.23	0.30	-0.95
15.118	-0.048	-0.234	0.475	-0.19	0.48	-1.24
15.219	-0.050	-0.231	0.456	0.22	0.32	-1.70
15.317	-0.060	-0.222	0.436	0.33	0.06	-2.27
15.415	-0.063	-0.214	0.414	0.62	-0.33	-2.81
15.517	-0.046	-0.216	0.395	0.70	-0.62	-3.17
15.618	-0.052	-0.237	0.374	0.58	-0.12	-3.33
15.719	-0.054	-0.250	0.352	-0.12	0.22	-3.42
15.817	-0.066	-0.272	0.329	-0.48	0.34	-3.42
15.918	-0.065	-0.252	0.308	-1.24	-0.01	-3.38
16.017	-0.054	-0.284	0.287	-0.45	-0.07	-3.23
16.119	-0.081	-0.283	0.265	-0.94	0.30	-3.14
16.217	-0.075	-0.263	0.243	-0.42	-0.61	-3.12
16.315	-0.069	-0.251	0.218	0.26	-0.53	-3.29
16.418	-0.064	-0.242	0.196	1.00	-0.24	-3.53
16.519	-0.057	-0.237	0.172	1.29	0.12	-3.56
16.615	-0.052	-0.235	0.151	1.01	0.63	-3.26
16.719	-0.049	-0.235	0.132	0.51	0.77	-2.75
16.819	-0.047	-0.237	0.118	-0.03	0.75	-2.01
