sim_time,px,py,pz,vx,vy,vz,phi,theta,psi,p,q,r,ref_px,ref_py,ref_pz,ref_vx,ref_vy,ref_vz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,vel_error,att_error,err_x,err_y,err_z,solve_time_ms
9.272,0.0,0.0,0.5023061370664496,0.0,0.0,2.4656449093419586e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012989590594324474,0.0,0.0,0.0,40.68701040940568,40.68701040940568,40.68701040940568,40.68701040940568,0.002306137066449554,2.4656449093419586e-05,0.0,0.0,0.0,0.002306137066449554,0.09384900113218464
9.28,0.0,0.0,0.5023063237442789,0.0,0.0,2.4392105007381553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012988679974209605,0.0,0.0,0.0,40.687011320025796,40.687011320025796,40.687011320025796,40.687011320025796,0.0023063237442788598,2.4392105007381553e-05,0.0,0.0,0.0,0.0023063237442788598,0.044027001422364265
9.288,0.0,0.0,0.502306508403127,0.0,0.0,2.4130155208439008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012987771165632322,0.0,0.0,0.0,40.68701222883437,40.68701222883437,40.68701222883437,40.68701222883437,0.002306508403126961,2.4130155208439008e-05,0.0,0.0,0.0,0.002306508403126961,0.036007000744575635
9.296,0.0,0.0,0.5023066911017681,0.0,0.0,2.3871590194367976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.001298688245305657,0.0,0.0,0.0,40.68701311754695,40.68701311754695,40.68701311754695,40.68701311754695,0.002306691101768066,2.3871590194367976e-05,0.0,0.0,0.0,0.002306691101768066,0.027049998607253656
9.304,0.0,0.0,0.5023068718427491,0.0,0.0,2.3615796682258145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012986003279085168,0.0,0.0,0.0,40.68701399672092,40.68701399672092,40.68701399672092,40.68701399672092,0.0023068718427491364,2.3615796682258145e-05,0.0,0.0,0.0,0.0023068718427491364,0.02315500023541972
9.312,0.0,0.0,0.5023070506831739,0.0,0.0,2.3363647965873286e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012985149868254275,0.0,0.0,0.0,40.687014850131746,40.687014850131746,40.687014850131746,40.687014850131746,0.002307050683173939,2.3363647965873286e-05,0.0,0.0,0.0,0.002307050683173939,0.021417003154056147
9.32,0.0,0.0,0.5023072276255119,0.0,0.0,2.3114476822793258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012984310728706427,0.0,0.0,0.0,40.6870156892713,40.6870156892713,40.6870156892713,40.6870156892713,0.002307227625511943,2.3114476822793258e-05,0.0,0.0,0.0,0.002307227625511943,0.021150000975467265
9.328,0.0,0.0,0.5023074027244645,0.0,0.0,2.2869055272222987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012983500286209981,0.0,0.0,0.0,40.68701649971379,40.68701649971379,40.68701649971379,40.68701649971379,0.0023074027244645023,2.2869055272222987e-05,0.0,0.0,0.0,0.0023074027244645023,0.035105000279145315
9.336,0.0,0.0,0.5023075759824268,0.0,0.0,2.262669327553741e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012982706652818754,0.0,0.0,0.0,40.68701729334718,40.68701729334718,40.68701729334718,40.68701729334718,0.0023075759824268127,2.262669327553741e-05,0.0,0.0,0.0,0.0023075759824268127,0.02479999966453761
9.344,0.0,0.0,0.5023077474512956,0.0,0.0,2.2388076339690323e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012981942702976479,0.0,0.0,0.0,40.687018057297024,40.687018057297024,40.687018057297024,40.687018057297024,0.002307747451295583,2.2388076339690323e-05,0.0,0.0,0.0,0.002307747451295583,0.02058199970633723
9.352,0.0,0.0,0.5023079171333955,0.0,0.0,2.2152513569911906e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.001298119653254659,0.0,0.0,0.0,40.68701880346745,40.68701880346745,40.68701880346745,40.68701880346745,0.0023079171333955095,2.2152513569911906e-05,0.0,0.0,0.0,0.0023079171333955095,0.03134699727525003
9.36,0.0,0.0,0.5023080850776531,0.0,0.0,2.192061729622767e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012980479692044078,0.0,0.0,0.0,40.687019520307956,40.687019520307956,40.687019520307956,40.687019520307956,0.0023080850776531214,2.192061729622767e-05,0.0,0.0,0.0,0.0023080850776531214,0.025868001102935523
9.368,0.0,0.0,0.5023082512863265,0.0,0.0,2.169171067148216e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012983646405912985,0.0,0.0,0.0,40.68701635359409,40.68701635359409,40.68701635359409,40.68701635359409,0.0023082512863265015,2.169171067148216e-05,0.0,0.0,0.0,0.0023082512863265015,0.04140699820709415
9.376,0.0,0.0,0.5023084156860631,0.0,0.0,2.146336195223299e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012982921402091563,0.0,0.0,0.0,40.68701707859791,40.68701707859791,40.68701707859791,40.68701707859791,0.0023084156860631033,2.146336195223299e-05,0.0,0.0,0.0,0.0023084156860631033,0.02941599814221263
9.384,0.0,0.0,0.5023085782792132,0.0,0.0,2.1235518313157092e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012982169699929935,0.0,0.0,0.0,40.68701783030007,40.68701783030007,40.68701783030007,40.68701783030007,0.002308578279213158,2.1235518313157092e-05,0.0,0.0,0.0,0.002308578279213158,0.030475002859020606
9.392,0.0,0.0,0.502308739113698,0.0,0.0,2.1009276771560814e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012981411213388583,0.0,0.0,0.0,40.687018588786614,40.687018588786614,40.687018588786614,40.687018588786614,0.0023087391136979996,2.1009276771560814e-05,0.0,0.0,0.0,0.0023087391136979996,0.02580699947429821
9.4,0.0,0.0,0.5023088981918026,0.0,0.0,2.0784374031696623e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012980641433314455,0.0,0.0,0.0,40.68701935856669,40.68701935856669,40.68701935856669,40.68701935856669,0.0023088981918025775,2.0784374031696623e-05,0.0,0.0,0.0,0.0023088981918025775,0.022043997887521982
9.408,0.0,0.0,0.5023090555629741,0.0,0.0,2.0561778513822193e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012979878079382168,0.0,0.0,0.0,40.68702012192062,40.68702012192062,40.68702012192062,40.68702012192062,0.002309055562974116,2.0561778513822193e-05,0.0,0.0,0.0,0.002309055562974116,0.01961599991773255
9.416,0.0,0.0,0.5023092112294305,0.0,0.0,2.0341084220851234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012979114172957384,0.0,0.0,0.0,40.687020885827046,40.687020885827046,40.687020885827046,40.687020885827046,0.002309211229430508,2.0341084220851234e-05,0.0,0.0,0.0,0.002309211229430508,0.02058900281554088
9.424,0.0,0.0,0.5023093652405207,0.0,0.0,2.012314463203866e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012978365443765405,0.0,0.0,0.0,40.68702163455624,40.68702163455624,40.68702163455624,40.68702163455624,0.002309365240520722,2.012314463203866e-05,0.0,0.0,0.0,0.002309365240520722,0.01881700154626742
9.432,0.0,0.0,0.5023095175983957,0.0,0.0,1.9907462580203283e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.001297762333497543,0.0,0.0,0.0,40.68702237666503,40.68702237666503,40.68702237666503,40.68702237666503,0.002309517598395705,1.9907462580203283e-05,0.0,0.0,0.0,0.002309517598395705,0.025591998564777896
9.44,0.0,0.0,0.5023096683512134,0.0,0.0,1.9694790506003726e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012976901805388241,0.0,0.0,0.0,40.687023098194615,40.687023098194615,40.687023098194615,40.687023098194615,0.0023096683512133787,1.9694790506003726e-05,0.0,0.0,0.0,0.0023096683512133787,0.05238000085228123
9.448,0.0,0.0,0.5023098175010593,0.0,0.0,1.948457855275994e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012976191385573044,0.0,0.0,0.0,40.68702380861443,40.68702380861443,40.68702380861443,40.68702380861443,0.002309817501059297,1.948457855275994e-05,0.0,0.0,0.0,0.002309817501059297,0.06416500036721118
9.456,0.0,0.0,0.5023099650942088,0.0,0.0,1.9277491579205217e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0012975504482583,0.0,0.0,0.0,40.68702449551742,40.68702449551742,40.68702449551742,40.68702449551742,0.002309965094208777,1.9277491579205217e-05,0.0,0.0,0.0,0.002309965094208777,0.06137799937278032
