sim_time,px,py,pz,vx,vy,vz,phi,theta,psi,p,q,r,ref_px,ref_py,ref_pz,ref_vx,ref_vy,ref_vz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,vel_error,att_error,err_x,err_y,err_z,solve_time_ms
0.464,0.0,0.0,0.019990403947032054,0.0,0.0,8.968594624708551e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.48000959605296795,8.968594624708551e-06,0.0,0.0,0.0,-0.48000959605296795,0.052871999969283934
0.47200000000000003,0.0,0.0,0.019990445142106888,0.0,0.0,8.20475257061669e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.4800095548578931,8.20475257061669e-06,0.0,0.0,0.0,-0.4800095548578931,0.08699700003944599
0.48,0.0,0.0,0.019990486601062268,0.0,0.0,7.600275940990372e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.4800095133989377,7.600275940990372e-06,0.0,0.0,0.0,-0.4800095133989377,0.03166499993767502
0.488,0.0,0.0,0.0199905284186576,0.0,0.0,7.125660636066066e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.4800094715813424,7.125660636066066e-06,0.0,0.0,0.0,-0.4800094715813424,0.07561799998256902
0.496,0.0,0.0,0.019990570670684497,0.0,0.0,6.756829181304346e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.4800094293293155,6.756829181304346e-06,0.0,0.0,0.0,-0.4800094293293155,0.04675299999234994
0.504,0.0,0.0,0.019990613417763516,0.0,0.0,6.4741403205155865e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.48000938658223646,6.4741403205155865e-06,0.0,0.0,0.0,-0.48000938658223646,0.041655000018181454
0.512,0.0,0.0,0.01999065670838092,0.0,0.0,6.261577691495576e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.4800093432916191,6.261577691495576e-06,0.0,0.0,0.0,-0.4800093432916191,0.02786799996101763
0.52,0.0,0.0,0.01999070058131757,0.0,0.0,6.106085569488986e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.4800092994186824,6.106085569488986e-06,0.0,0.0,0.0,-0.4800092994186824,0.03247500001180015
0.528,0.0,0.0,0.019990745067591652,0.0,0.0,5.997025307620111e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.48000925493240837,5.997025307620111e-06,0.0,0.0,0.0,-0.48000925493240837,0.07735299993782974
0.536,0.0,0.0,0.019990790192012498,0.0,0.0,5.9257307672399545e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,57.041666666666664,57.041666666666664,57.041666666666664,57.041666666666664,0.4800092098079875,5.9257307672399545e-06,0.0,0.0,0.0,-0.4800092098079875,0.02642100002958614
