t,px,py,pz,vx,vy,vz,roll,pitch,yaw,phi,theta,psi,p,q,r,ref_px,ref_py,ref_pz,ref_vx,ref_vy,ref_vz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,vel_error,att_error,err_x,err_y,err_z,solve_time_ms,mode
15.896,0.0,0.0,0.5300347597491479,0.0,0.0,-1.2966188060761037e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.04027738699946798,0.0,0.0,0.0,40.68706757256015,40.68706757256015,40.68706757256015,40.68706757256015,0.030034759749147932,1.2966188060761037e-08,0.0,0.0,0.0,0.030034759749147932,0.02730199992129201,MPC
16.056,0.0,0.0,0.5300347573990624,0.0,0.0,-1.2961042275562272e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.04027738465344094,0.0,0.0,0.0,40.687067997565045,40.687067997565045,40.687067997565045,40.687067997565045,0.030034757399062362,1.2961042275562272e-08,0.0,0.0,0.0,0.030034757399062362,0.027910999961022753,MPC
16.216,0.0,0.0,0.5300347556305828,0.0,0.0,-1.3462000435146883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.040277382453965116,0.0,0.0,0.0,40.68706839602081,40.68706839602081,40.68706839602081,40.68706839602081,0.030034755630582777,1.3462000435146883e-08,0.0,0.0,0.0,0.030034755630582777,0.05751100002271414,MPC
16.376,0.0,0.0,0.530034754131844,0.0,0.0,-5.305399796239896e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0402773879679898,0.0,0.0,0.0,40.6870673971033,40.6870673971033,40.6870673971033,40.6870673971033,0.030034754131843977,5.305399796239896e-09,0.0,0.0,0.0,0.030034754131843977,0.03637200006778585,MPC
16.536,0.0,0.0,0.5300347526920253,0.0,0.0,-1.1920739525932519e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.04027738084011717,0.0,0.0,0.0,40.68706868838457,40.68706868838457,40.68706868838457,40.68706868838457,0.03003475269202527,1.1920739525932519e-08,0.0,0.0,0.0,0.03003475269202527,0.021116999960213434,MPC
16.696,0.0,0.0,0.5300347517831099,0.0,0.0,-3.1817837913227167e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.04027738744476245,0.0,0.0,0.0,40.687067491890865,40.687067491890865,40.687067491890865,40.687067491890865,0.03003475178310988,3.1817837913227167e-09,0.0,0.0,0.0,0.03003475178310988,0.028127999939897563,MPC
16.856,0.0,0.0,0.5300347507674816,0.0,0.0,-6.2238256548705055e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.04027738381344664,0.0,0.0,0.0,40.687068149737925,40.687068149737925,40.687068149737925,40.687068149737925,0.030034750767481633,6.2238256548705055e-09,0.0,0.0,0.0,0.030034750767481633,0.06571200003691047,MPC
17.016000000000002,0.0,0.0,0.5300347502412771,0.0,0.0,-3.37934965407443e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.040277385732823745,0.0,0.0,0.0,40.687067802024686,40.687067802024686,40.687067802024686,40.687067802024686,0.03003475024127711,3.37934965407443e-09,0.0,0.0,0.0,0.03003475024127711,0.05702500004645117,MPC
17.176000000000002,0.0,0.0,0.530034749549926,0.0,0.0,-7.145892096220729e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.040277381802914236,0.0,0.0,0.0,40.68706851396481,40.68706851396481,40.68706851396481,40.68706851396481,0.03003474954992602,7.145892096220729e-09,0.0,0.0,0.0,0.03003474954992602,0.02102799999192939,MPC
17.336000000000002,0.0,0.0,0.5300347490545497,0.0,0.0,-2.4772391969328306e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.04027738532154085,0.0,0.0,0.0,40.68706787653245,40.68706787653245,40.68706787653245,40.68706787653245,0.030034749054549725,2.4772391969328306e-09,0.0,0.0,0.0,0.030034749054549725,0.047592999976586725,MPC
