sim_time,px,py,pz,vx,vy,vz,phi,theta,psi,p,q,r,ref_px,ref_py,ref_pz,ref_vx,ref_vy,ref_vz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,vel_error,att_error,err_x,err_y,err_z,solve_time_ms
1.232,0.0,0.0,0.019997505445092125,0.0,0.0,1.3240317985118678e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.4800024945549079,1.3240317985118678e-05,0.0,0.0,0.0,-0.4800024945549079,0.07031900167930871
1.24,0.0,0.0,0.01999761505403596,0.0,0.0,1.3332477983956593e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.48000238494596403,1.3332477983956593e-05,0.0,0.0,0.0,-0.48000238494596403,0.11862599785672501
1.248,0.0,0.0,0.019997725400259795,0.0,0.0,1.342463798305042e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.4800022745997402,1.342463798305042e-05,0.0,0.0,0.0,-0.4800022745997402,0.07837299926904961
1.256,0.0,0.0,0.01999783648376363,0.0,0.0,1.3516797982348974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.48000216351623637,1.3516797982348974e-05,0.0,0.0,0.0,-0.48000216351623637,0.060411999584175646
1.264,0.0,0.0,0.019997948304547465,0.0,0.0,1.3608957981724574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.4800020516954525,1.3608957981724574e-05,0.0,0.0,0.0,-0.4800020516954525,0.10649199975887313
1.272,0.0,0.0,0.0199980608626113,0.0,0.0,1.370111798124855e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.4800019391373887,1.370111798124855e-05,0.0,0.0,0.0,-0.4800019391373887,0.07835299766156822
1.28,0.0,0.0,0.019998174157955136,0.0,0.0,1.3793277980891223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.48000182584204487,1.3793277980891223e-05,0.0,0.0,0.0,-0.48000182584204487,0.08298600005218759
1.288,0.0,0.0,0.01999828819057897,0.0,0.0,1.388543798054212e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.48000171180942103,1.388543798054212e-05,0.0,0.0,0.0,-0.48000171180942103,0.10228199971606955
1.296,0.0,0.0,0.019998402960482803,0.0,0.0,1.3977597980286329e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.48000159703951717,1.3977597980286329e-05,0.0,0.0,0.0,-0.48000159703951717,0.0846900002215989
1.304,0.0,0.0,0.019998518467666638,0.0,0.0,1.4069757980105192e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.48000148153233335,1.4069757980105192e-05,0.0,0.0,0.0,-0.48000148153233335,0.18270099826622754
1.312,0.0,0.0,0.019998634712130474,0.0,0.0,1.4161917979983775e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.4800013652878695,1.4161917979983775e-05,0.0,0.0,0.0,-0.4800013652878695,0.022091000573709607
1.32,0.0,0.0,0.019998751693874307,0.0,0.0,1.42540779798234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.48000124830612567,1.42540779798234e-05,0.0,0.0,0.0,-0.48000124830612567,0.03498699516057968
1.328,0.0,0.0,0.019998869412898142,0.0,0.0,1.4346237979718595e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.48000113058710187,1.4346237979718595e-05,0.0,0.0,0.0,-0.48000113058710187,0.02437300281599164
1.336,0.0,0.0,0.019998987869201977,0.0,0.0,1.4438397979658245e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.48000101213079804,1.4438397979658245e-05,0.0,0.0,0.0,-0.48000101213079804,0.05748900002799928
1.344,0.0,0.0,0.019999107062785813,0.0,0.0,1.4530557979633457e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.4800008929372142,1.4530557979633457e-05,0.0,0.0,0.0,-0.4800008929372142,0.0348920002579689
1.352,0.0,0.0,0.019999226993649647,0.0,0.0,1.4622717979550386e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.48000077300635036,1.4622717979550386e-05,0.0,0.0,0.0,-0.48000077300635036,0.028000999009236693
1.36,0.0,0.0,0.019999347661793482,0.0,0.0,1.471487797950742e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.48000065233820655,1.471487797950742e-05,0.0,0.0,0.0,-0.48000065233820655,0.0328070018440485
1.368,0.0,0.0,0.019999469067217317,0.0,0.0,1.4807037979496544e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.0,51.60688405797102,51.60688405797102,51.60688405797102,51.60688405797102,0.48000053093278267,1.4807037979496544e-05,0.0,0.0,0.0,-0.48000053093278267,0.02859000233002007
