t,px,py,pz,vx,vy,vz,roll,pitch,yaw,phi,theta,psi,p,q,r,ref_px,ref_py,ref_pz,ref_vx,ref_vy,ref_vz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,vel_error,att_error,err_x,err_y,err_z,solve_time_ms,mode
37.024,0.5581879633700194,6.16192059845756e-14,0.5295839121727867,5.928411826855181e-07,1.1933664140811917e-14,1.6591642901795346e-09,5.131811002275226e-14,-0.11278239202895898,-1.2992539592329615e-12,5.131811002275226e-14,-0.11278239202895898,-1.2992539592329615e-12,-2.520055306280141e-13,-4.821336882477435e-07,-3.0334347931598216e-12,0.0,0.0,0.5,0.0,0.0,0.0,-0.0395605274646193,1.2973193504637628e-14,4.6045497317792616e-08,0.0,40.81693337903227,40.81693348161288,40.81693348161291,40.81693337903231,0.5589713859497795,5.928435044040761e-07,0.11278239202895898,0.5581879633700194,6.16192059845756e-14,0.029583912172786664,0.037804999919899274,MPC
37.184,0.558188066325129,7.927896191211162e-14,0.5295839120919132,6.617186287054021e-07,1.8341275707021243e-13,-1.039449271838628e-09,7.159815523459465e-14,-0.11278246904014122,-1.8032731308329118e-12,7.159815523459465e-14,-0.11278246904014122,-1.8032731308329118e-12,-2.0992279332430385e-13,-7.001110346072792e-07,-3.1501708757489973e-12,0.0,0.0,0.5,0.0,0.0,0.0,-0.039560525063481455,1.6797511411383384e-14,4.0001626765671927e-07,0.0,40.81693341973126,40.81693431089136,40.816934310891405,40.8169334197313,0.5589714887563128,6.617194451053862e-07,0.11278246904014122,0.558188066325129,7.927896191211162e-14,0.029583912091913245,0.02107399996020831,MPC
37.344,0.5581881699568461,1.2901501021932753e-13,0.5295839120026786,6.315510370060317e-07,4.00886515922877e-13,1.2881273588031739e-09,1.0285509671229334e-13,-0.11278250358159585,-2.307552780344058e-12,1.0285509671229334e-13,-0.11278250358159585,-2.307552780344058e-12,-1.3148188990755632e-13,3.436895844667058e-07,-3.0675060418907032e-12,0.0,0.0,0.5,0.0,0.0,0.0,-0.03956052697546947,4.743055122998252e-15,-2.5198073447252334e-07,0.0,40.81693379961924,40.81693323825413,40.81693323825414,40.81693379961926,0.5589715922380628,6.315523506532513e-07,0.11278250358159585,0.5581881699568461,1.2901501021932753e-13,0.029583912002678625,0.04302999991523393,MPC
37.504,0.558188264280322,2.164408314549394e-13,0.5295839119425234,5.572039167827714e-07,6.459818036292015e-13,2.308818433883246e-09,1.4355623179764382e-13,-0.11278251406792103,-2.7947905584571555e-12,1.4355623179764382e-13,-0.11278251406792103,-2.7947905584571555e-12,-2.1828393073054148e-14,3.136035484551316e-08,-2.9945685714310515e-12,0.0,0.0,0.5,0.0,0.0,0.0,-0.039560527792889044,-1.91292396859059e-14,-2.7969803502794766e-08,0.0,40.816933402009155,40.816933339697755,40.81693333969771,40.81693340200911,0.5589716864261566,5.572087001483731e-07,0.11278251406792103,0.558188264280322,2.164408314549394e-13,0.02958391194252341,0.021877000108361244,MPC
37.664,0.5581883450177426,3.441584599730651e-13,0.5295839119089504,4.6877804701195116e-07,8.998537953037855e-13,4.400308824509513e-10,1.951540673570697e-13,-0.11278251219196958,-3.3008168047529215e-12,1.951540673570697e-13,-0.11278251219196958,-3.3008168047529215e-12,-3.295694109299252e-14,-2.856944382418968e-07,-3.399727939100615e-12,0.0,0.0,0.5,0.0,0.0,0.0,-0.03956052615253841,3.5510948873911235e-14,1.6611276701210265e-07,0.0,40.81693348298455,40.81693385305218,40.816933853052255,40.81693348298463,0.5589717670486435,4.687782535360683e-07,0.11278251219196958,0.5581883450177426,3.441584599730651e-13,0.029583911908950378,0.022507999801746337,MPC
37.824,0.558188411757464,5.125303810635156e-13,0.5295839116956624,3.7754495778705657e-07,1.1536126303673055e-12,-8.823445048367527e-10,2.637776158226445e-13,-0.11278255015850623,-3.925363116890128e-12,2.637776158226445e-13,-0.11278255015850623,-3.925363116890128e-12,2.7394266456076688e-14,-5.856121928479136e-07,-4.2465428964387575e-12,0.0,0.0,0.5,0.0,0.0,0.0,-0.039560524802246644,2.4564105598131405e-15,5.378213310657659e-07,0.0,40.8169333135547,40.816934511718244,40.81693451171826,40.816933313554706,0.5589718336835381,3.775459888326008e-07,0.11278255015850623,0.558188411757464,5.125303810635156e-13,0.029583911695662435,0.024660000008225325,MPC
37.984,0.5581884604038228,7.208448988767607e-13,0.5295839115598315,2.5897090548518566e-07,1.3994776063687505e-12,-4.281462933259369e-09,3.4157087459569374e-13,-0.11278253141716998,-4.6086881289562445e-12,3.4157087459569374e-13,-0.11278253141716998,-4.6086881289562445e-12,1.5148001857786917e-15,-5.851053456439655e-08,-4.288535746961299e-12,0.0,0.0,0.5,0.0,0.0,0.0,-0.03956052174385288,2.0761869021125776e-14,1.1692602993988721e-07,0.0,40.816934336448824,40.81693459693776,40.81693459693781,40.81693433644888,0.558971882254528,2.5900629493242895e-07,0.11278253141716998,0.5581884604038228,7.208448988767607e-13,0.029583911559831533,0.019950000023527537,MPC
38.144,0.5581884924749657,9.682671799281469e-13,0.529583911616811,1.6462923308318886e-07,1.6474283980442474e-12,1.7544622497983473e-09,4.122689753222114e-13,-0.11278251801348171,-5.2748643411275696e-12,4.122689753222114e-13,-0.11278251801348171,-5.2748643411275696e-12,-3.481944421958678e-13,2.8876452417915885e-07,-4.109009641761225e-12,0.0,0.0,0.5,0.0,0.0,0.0,-0.03956052699049378,3.3304183850663434e-13,-1.5499080121758602e-07,0.0,40.81693368885952,40.816933343569524,40.81693334357027,40.81693368886027,0.5589719142837376,1.6463858152346587e-07,0.11278251801348171,0.5581884924749657,9.682671799281469e-13,0.029583911616810954,0.026668999907997204,MPC
38.304,0.5581885116347136,1.2584734015134268e-12,0.5295839114600479,8.864022719697866e-08,1.930026811404165e-12,-1.6313246475973287e-09,5.345354902430596e-13,-0.1127825159209712,-6.7628802364642246e-12,5.345354902430596e-13,-0.1127825159209712,-6.7628802364642246e-12,-1.1959342052283275e-12,-1.867135854167153e-08,-1.0992906985185462e-11,0.0,0.0,0.5,0.0,0.0,0.0,-0.03956052392262682,8.265228542473734e-13,7.98451791315935e-08,0.0,40.81693398304704,40.816934160926905,40.816934160928746,40.816933983048884,0.5589719334083356,8.865523730362948e-08,0.1127825159209712,0.5581885116347136,1.2584734015134268e-12,0.029583911460047907,0.06936999989193282,MPC
38.464,0.5581885196884867,1.5979230659802833e-12,0.5295839115913645,2.831717368952117e-08,2.253575324599889e-12,3.891545101372091e-09,7.134768088448876e-13,-0.11278249811345863,-7.427901596594023e-12,7.134768088448876e-13,-0.11278249811345863,-7.427901596594023e-12,1.8600090032370317e-12,2.1871247998315318e-07,6.523575996197173e-12,0.0,0.0,0.5,0.0,0.0,0.0,-0.039560528802494443,-1.5815459138918468e-12,-1.3395827951762085e-07,0.0,40.81693333717244,40.81693303873889,40.81693303873537,40.81693333716892,0.5589719414577711,2.8583324756177767e-08,0.11278249811345863,0.5581885196884867,1.5979230659802833e-12,0.02958391159136453,0.02402600011919276,MPC
