sim_time,px,py,pz,vx,vy,vz,phi,theta,psi,p,q,r,ref_px,ref_py,ref_pz,ref_vx,ref_vy,ref_vz,u_thrust,u_roll,u_pitch,u_yaw,m1,m2,m3,m4,pos_error,vel_error,att_error,err_x,err_y,err_z,solve_time_ms
5.456,0.0,0.0,0.49649841112859255,0.0,0.0,0.005808654542700732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0024809169979586043,0.0,0.0,0.0,40.67519083002042,40.67519083002042,40.67519083002042,40.67519083002042,0.003501588871407446,0.005808654542700732,0.0,0.0,0.0,-0.003501588871407446,0.1786680004443042
5.464,0.0,0.0,0.49654267289991083,0.0,0.0,0.005753467917117508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0024696324951666293,0.0,0.0,0.0,40.67530367504833,40.67530367504833,40.67530367504833,40.67530367504833,0.003457327100089169,0.005753467917117508,0.0,0.0,0.0,-0.003457327100089169,0.07007699969108216
5.472,0.0,0.0,0.49658651414567456,0.0,0.0,0.005698805477787295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.002458454815127742,0.0,0.0,0.0,40.67541545184873,40.67541545184873,40.67541545184873,40.67541545184873,0.0034134858543254376,0.005698805477787295,0.0,0.0,0.0,-0.0034134858543254376,0.053424000725499354
5.48,0.0,0.0,0.49662993886092655,0.0,0.0,0.0056446622635294074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.002447382996419445,0.0,0.0,0.0,40.67552617003581,40.67552617003581,40.67552617003581,40.67552617003581,0.0033700611390734547,0.0056446622635294074,0.0,0.0,0.0,-0.0033700611390734547,0.04290200013201684
5.488,0.0,0.0,0.4966729510028667,0.0,0.0,0.005591033359326906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0024364160844200233,0.0,0.0,0.0,40.6756358391558,40.6756358391558,40.6756358391558,40.6756358391558,0.0033270489971333195,0.005591033359326906,0.0,0.0,0.0,-0.0033270489971333195,0.04512699888437055
5.496,0.0,0.0,0.4967155544911955,0.0,0.0,0.00553791389568143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.002425553130584013,0.0,0.0,0.0,40.67574446869416,40.67574446869416,40.67574446869416,40.67574446869416,0.0032844455088045232,0.00553791389568143,0.0,0.0,0.0,-0.0032844455088045232,0.036910001654177904
5.5040000000000004,0.0,0.0,0.4967577532084551,0.0,0.0,0.00548529904803599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0024147931919059618,0.0,0.0,0.0,40.67585206808094,40.67585206808094,40.67585206808094,40.67585206808094,0.0032422467915448894,0.00548529904803599,0.0,0.0,0.0,-0.0032422467915448894,0.03867299892590381
5.5120000000000005,0.0,0.0,0.49679955100036843,0.0,0.0,0.0054331840362618605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0024041353305620516,0.0,0.0,0.0,40.67595864669438,40.67595864669438,40.67595864669438,40.67595864669438,0.0032004489996315666,0.0054331840362618605,0.0,0.0,0.0,-0.0032004489996315666,0.034296999729122035
5.5200000000000005,0.0,0.0,0.4968409516761759,0.0,0.0,0.005381564124196745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0023935786136911608,0.0,0.0,0.0,40.67606421386309,40.67606421386309,40.67606421386309,40.67606421386309,0.0031590483238240763,0.005381564124196745,0.0,0.0,0.0,-0.0031590483238240763,0.029933999030617997
5.5280000000000005,0.0,0.0,0.4968819590089706,0.0,0.0,0.005330434619223958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.0023831221133003844,0.0,0.0,0.0,40.676168778867,40.676168778867,40.676168778867,40.676168778867,0.003118040991029414,0.005330434619223958,0.0,0.0,0.0,-0.003118040991029414,0.029041000743745826
