# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.118	0.053	-0.069	0.002	0.89	5.54	-0.11
0.219	0.053	-0.070	0.002	0.84	5.51	-0.11
0.319	0.052	-0.060	0.001	0.49	5.58	-0.12
0.418	0.055	-0.054	0.001	0.40	5.43	-0.11
0.519	0.059	-0.055	0.002	0.61	5.31	-0.10
0.618	0.060	-0.047	0.001	0.49	5.39	-0.12
0.718	0.050	-0.051	0.001	0.84	5.81	-0.14
0.818	0.053	-0.052	0.000	0.94	5.61	-0.14
0.917	0.053	-0.052	0.001	0.93	5.55	-0.14
1.020	0.054	-0.053	0.002	0.92	5.53	-0.14
1.119	0.054	-0.055	0.001	1.03	5.53	-0.14
1.218	0.000	-0.000	0.001	-0.03	0.04	-0.00
1.316	0.002	0.001	0.001	-0.31	1.59	-0.00
1.419	0.005	-0.002	0.001	0.70	2.96	-0.03
1.518	0.009	0.005	0.000	-0.38	3.49	0.04
1.617	0.005	-0.003	0.001	0.92	4.79	-0.08
1.718	0.004	-0.002	0.001	0.78	5.11	-0.06
1.817	0.005	-0.002	0.000	0.76	5.24	-0.06
1.917	0.004	0.007	0.001	0.31	5.38	0.04
2.017	-0.004	0.002	0.002	0.79	5.74	-0.06
2.118	-0.004	0.002	0.001	0.81	5.62	-0.07
2.218	-0.002	0.001	0.001	0.83	5.44	-0.08
2.316	-0.004	0.014	0.001	0.32	5.48	0.03
2.418	0.002	0.025	0.002	0.19	5.19	0.05
2.517	0.002	0.030	0.001	0.36	5.29	0.02
2.617	0.003	0.029	0.001	0.63	5.35	-0.02
2.718	0.004	0.020	0.001	1.08	5.40	-0.08
2.815	0.004	0.020	0.000	1.05	5.46	-0.08
2.916	0.004	0.021	0.001	0.95	5.49	-0.07
3.016	0.005	0.028	0.002	0.75	5.48	-0.05
3.118	0.003	0.038	0.001	0.51	5.59	-0.02
3.217	0.006	0.036	0.001	0.80	5.51	-0.05
3.315	0.001	0.041	0.001	0.70	5.71	-0.04
3.417	-0.005	0.045	0.001	0.63	5.70	0.09
3.518	-0.014	0.040	0.001	0.82	5.47	0.47
3.616	-0.007	0.034	0.004	0.91	3.91	1.07
3.716	0.001	0.036	0.003	0.80	-0.53	0.60
3.815	-0.000	0.039	0.003	-2.20	-3.74	-0.73
3.914	0.007	0.033	0.002	-2.29	-4.24	-1.11
4.013	0.008	0.037	0.000	-1.86	-2.61	-1.44
4.116	-0.000	0.037	0.002	-0.85	-0.73	-1.46
4.216	-0.022	0.027	0.005	0.06	-0.78	-1.24
4.316	-0.039	0.019	0.012	-0.66	-1.36	-1.06
4.417	-0.045	0.014	0.027	-0.48	-2.77	-1.16
4.517	-0.043	0.010	0.054	-1.00	-1.97	-1.49
4.616	-0.037	0.011	0.077	-1.19	-0.29	-1.73
4.716	-0.031	0.012	0.100	-0.25	0.12	-1.89
4.816	-0.025	0.013	0.114	0.09	0.69	-1.89
4.911	-0.018	0.014	0.124	0.34	0.86	-1.89
5.014	-0.013	0.016	0.135	0.25	0.99	-1.93
5.117	-0.010	0.015	0.148	0.35	0.93	-1.94
5.214	-0.005	0.013	0.172	0.14	0.56	-1.86
5.316	-0.005	0.017	0.199	0.22	0.40	-1.67
5.415	0.002	0.024	0.235	0.37	-0.11	-1.38
5.516	0.010	0.022	0.266	0.61	0.12	-1.12
5.618	0.006	0.020	0.297	0.25	0.37	-0.78
5.718	0.003	0.018	0.335	0.30	0.24	-0.45
5.815	0.010	0.014	0.369	-0.15	-0.31	-0.20
5.914	0.012	0.009	0.403	-0.07	0.01	-0.09
6.016	0.010	0.008	0.431	-0.41	0.17	-0.12
6.115	0.013	-0.004	0.456	-0.33	0.06	-0.21
6.215	0.017	-0.003	0.481	-0.61	0.23	-0.45
6.315	0.019	-0.005	0.500	-0.30	0.08	-0.91
6.415	0.030	-0.004	0.511	-0.23	0.01	-1.40
6.515	0.033	-0.003	0.521	0.09	0.28	-1.72
6.614	0.036	-0.002	0.531	0.16	0.40	-1.93
6.715	0.034	-0.001	0.534	0.23	0.30	-2.12
6.815	0.031	-0.001	0.541	0.16	0.15	-2.32
6.934	0.026	-0.003	0.546	0.08	0.02	-2.44
7.025	0.031	-0.009	0.549	-0.25	-0.34	-2.51
7.116	0.028	-0.009	0.551	-0.25	-0.08	-2.54
7.216	0.027	-0.009	0.550	-0.18	-0.14	-2.47
7.314	0.026	-0.007	0.552	-0.13	-0.16	-2.39
7.414	0.023	-0.007	0.553	0.12	-0.11	-2.34
7.511	0.026	-0.003	0.552	0.09	-0.21	-2.23
7.630	0.023	-0.010	0.551	0.08	-0.15	-2.12
7.715	0.024	-0.008	0.549	0.03	-0.11	-1.97
7.814	0.026	-0.013	0.550	-0.13	0.05	-1.77
7.912	0.025	-0.019	0.554	-4.97	0.14	-1.51
8.014	0.031	-0.010	0.568	-5.76	0.03	-1.15
8.114	0.034	0.005	0.571	-5.25	0.60	-0.64
8.212	0.033	0.032	0.563	-3.50	0.88	-0.21
8.315	0.031	0.066	0.549	-1.71	1.41	0.07
8.414	0.029	0.096	0.541	-0.17	1.82	0.21
8.513	0.029	0.124	0.539	0.74	1.72	0.25
8.611	0.026	0.153	0.549	1.16	1.60	0.25
8.713	0.012	0.184	0.561	0.94	1.25	0.21
8.814	0.003	0.210	0.566	0.43	0.85	0.26
8.911	-0.005	0.233	0.563	0.50	0.91	0.35
9.012	-0.021	0.261	0.557	0.26	0.97	0.21
9.111	-0.030	0.283	0.550	0.48	1.29	-0.06
9.210	-0.040	0.301	0.545	0.43	1.23	-0.32
9.314	-0.056	0.323	0.542	0.25	1.27	-0.65
9.413	-0.080	0.342	0.543	0.80	1.33	-0.94
9.514	-0.102	0.361	0.542	0.45	0.89	-1.20
9.611	-0.120	0.383	0.540	0.71	0.78	-1.37
9.714	-0.143	0.400	0.544	0.84	0.79	-1.54
9.810	-0.168	0.417	0.545	0.69	0.53	-1.59
9.911	-0.188	0.429	0.544	1.00	0.71	-1.51
10.014	-0.220	0.446	0.543	0.84	0.69	-1.34
10.110	-0.239	0.459	0.544	1.04	0.50	-1.11
10.211	-0.268	0.473	0.544	1.27	0.65	-0.88
10.313	-0.295	0.486	0.545	1.32	0.58	-0.68
10.411	-0.327	0.495	0.546	1.63	0.25	-0.37
10.512	-0.347	0.501	0.545	1.46	0.20	-0.06
10.613	-0.373	0.501	0.542	1.58	0.25	0.22
10.714	-0.403	0.502	0.539	1.49	0.46	0.43
10.813	-0.424	0.503	0.538	1.44	0.35	0.56
10.911	-0.450	0.501	0.538	1.52	0.20	0.65
11.013	-0.478	0.500	0.539	1.26	0.14	0.80
11.111	-0.505	0.499	0.540	1.37	-0.06	0.91
11.213	-0.529	0.491	0.541	1.34	-0.20	0.89
11.312	-0.559	0.489	0.543	1.43	-0.25	0.75
11.420	-0.586	0.479	0.541	1.45	-0.33	0.48
11.509	-0.612	0.469	0.539	1.28	-0.41	0.28
11.613	-0.626	0.456	0.535	1.42	-0.58	0.06
11.710	-0.655	0.434	0.532	1.37	-0.16	-0.10
11.810	-0.678	0.424	0.529	0.98	-0.44	-0.23
11.913	-0.698	0.411	0.527	1.06	-0.47	-0.23
12.013	-0.716	0.396	0.527	1.08	-0.62	-0.11
12.111	-0.738	0.375	0.528	1.45	-0.85	0.06
12.212	-0.765	0.355	0.528	1.39	-0.81	0.21
12.312	-0.786	0.334	0.527	1.08	-1.41	0.30
12.413	-0.803	0.311	0.527	1.00	-1.63	0.36
12.511	-0.816	0.290	0.526	0.82	-1.47	0.31
12.612	-0.824	0.275	0.525	1.25	-1.31	0.27
12.712	-0.832	0.241	0.523	1.09	-1.02	-0.19
12.809	-0.837	0.223	0.521	0.87	-1.56	-0.97
12.912	-0.845	0.195	0.523	0.93	-1.32	-1.94
13.011	-0.846	0.173	0.527	0.39	-0.72	-2.87
13.111	-0.844	0.153	0.530	0.42	-0.66	-3.19
13.209	-0.848	0.124	0.531	0.03	-0.78	-3.06
13.312	-0.845	0.099	0.530	0.27	-0.64	-2.51
13.412	-0.844	0.073	0.528	-0.06	-0.95	-2.20
13.511	-0.842	0.049	0.527	0.27	-0.94	-1.32
13.611	-0.838	0.027	0.523	0.29	-1.35	-0.37
13.711	-0.833	0.005	0.522	0.21	-1.34	0.50
13.812	-0.826	-0.015	0.519	0.19	-1.69	1.30
13.908	-0.810	-0.038	0.516	0.07	-1.66	1.78
14.009	-0.797	-0.062	0.517	-0.03	-1.42	2.06
14.109	-0.785	-0.078	0.518	-0.26	-1.49	2.15
14.208	-0.772	-0.090	0.518	-0.29	-1.16	2.15
14.311	-0.757	-0.105	0.519	-0.23	-0.91	2.23
14.411	-0.735	-0.129	0.518	-0.39	-0.87	2.11
14.511	-0.718	-0.140	0.520	-0.47	-0.97	1.87
14.609	-0.696	-0.151	0.518	-0.67	-1.05	1.62
14.709	-0.675	-0.175	0.519	-0.33	-0.85	1.46
