t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.023	-0.067	-0.075	0.000	-0.03	1.03	10.21	-0.02	0.12	0.18	0	-0.067	-0.075	0.000	0.000	0.000	-0.000
0.028	-0.068	-0.076	0.000	-0.00	1.11	10.20	0.22	-0.20	-0.16	0	-0.067	-0.075	-0.001	-0.000	-0.000	0.000
0.041	-0.068	-0.077	0.000	0.02	1.11	10.19	0.22	-0.24	0.04	0	-0.067	-0.075	-0.002	-0.000	-0.000	0.000
0.053	-0.069	-0.077	0.000	0.00	1.12	10.18	-0.06	-0.20	-0.05	0	-0.067	-0.075	-0.004	-0.000	-0.000	0.001
0.064	-0.069	-0.075	0.000	-0.07	1.12	10.16	0.06	0.05	-0.14	0	-0.068	-0.075	-0.007	-0.000	-0.000	0.001
0.073	-0.068	-0.077	0.000	0.01	1.08	10.16	0.01	0.04	-0.16	0	-0.068	-0.076	-0.010	-0.000	-0.000	0.002
0.079	-0.068	-0.077	0.000	0.01	1.08	10.15	0.05	-0.15	0.08	0	-0.068	-0.076	-0.013	-0.000	-0.000	0.003
0.088	-0.069	-0.076	0.000	-0.02	1.13	10.14	-0.03	-0.20	-0.16	0	-0.068	-0.076	-0.016	-0.000	-0.000	0.004
0.103	-0.069	-0.077	0.000	-0.02	1.13	10.13	0.07	-0.22	0.14	0	-0.068	-0.076	-0.020	-0.000	-0.001	0.006
0.111	-0.068	-0.076	0.000	-0.03	1.10	10.11	-0.13	-0.27	0.08	0	-0.068	-0.076	-0.024	-0.000	-0.001	0.007
0.125	-0.069	-0.076	0.000	-0.07	1.13	10.10	0.11	-0.24	0.01	0	-0.068	-0.076	-0.028	-0.001	-0.001	0.010
0.135	-0.069	-0.077	0.000	-0.03	1.13	10.10	0.18	-0.04	-0.05	0	-0.068	-0.076	-0.032	-0.001	-0.001	0.012
0.138	-0.067	-0.077	0.000	-0.01	1.08	10.09	-0.05	-0.11	-0.03	0	-0.068	-0.076	-0.036	-0.001	-0.001	0.015
0.154	-0.069	-0.076	0.000	-0.07	1.13	10.07	0.01	0.03	0.20	0	-0.068	-0.076	-0.040	-0.001	-0.001	0.018
0.164	-0.068	-0.077	0.000	-0.02	1.10	10.06	-0.03	0.13	0.05	0	-0.068	-0.076	-0.045	-0.001	-0.001	0.021
0.174	-0.068	-0.076	0.000	-0.06	1.10	10.05	0.04	-0.15	-0.09	0	-0.068	-0.076	-0.049	-0.001	-0.001	0.025
0.179	-0.068	-0.076	0.000	-0.07	1.08	10.04	0.03	-0.20	0.05	0	-0.068	-0.076	-0.053	-0.001	-0.001	0.029
0.188	-0.068	-0.075	0.000	-0.11	1.09	10.03	0.21	0.02	0.04	0	-0.068	-0.076	-0.058	-0.000	-0.001	0.033
0.203	-0.068	-0.076	0.000	-0.07	1.09	10.02	0.26	0.10	-0.12	0	-0.068	-0.076	-0.062	-0.000	-0.001	0.038
0.212	-0.068	-0.076	0.000	-0.08	1.11	10.01	-0.14	0.05	-0.08	0	-0.068	-0.076	-0.066	-0.000	-0.001	0.043
0.221	-0.068	-0.077	0.000	-0.04	1.12	10.00	0.24	-0.13	0.18	0	-0.068	-0.076	-0.071	-0.000	-0.001	0.048
0.231	-0.067	-0.076	0.000	-0.06	1.05	9.99	0.14	-0.01	-0.07	0	-0.068	-0.076	-0.075	-0.000	-0.001	0.054
0.242	-0.067	-0.074	0.000	-0.17	1.04	9.97	0.15	-0.34	0.11	0	-0.068	-0.076	-0.079	-0.000	-0.000	0.060
0.254	-0.068	-0.077	0.000	-0.04	1.11	9.97	-0.08	0.05	0.02	0	-0.068	-0.076	-0.083	-0.000	-0.001	0.066
0.263	-0.068	-0.076	0.000	-0.06	1.11	9.96	0.00	-0.29	-0.13	0	-0.068	-0.076	-0.087	-0.000	-0.001	0.073
0.272	-0.068	-0.077	0.000	-0.05	1.12	9.95	0.14	-0.08	0.00	0	-0.068	-0.076	-0.091	-0.000	-0.001	0.080
0.281	-0.069	-0.075	0.000	-0.14	1.14	9.93	0.10	-0.06	0.14	0	-0.068	-0.076	-0.096	-0.000	-0.000	0.087
0.291	-0.068	-0.077	0.000	-0.07	1.14	9.93	0.08	-0.08	-0.22	0	-0.068	-0.076	-0.100	-0.000	-0.001	0.095
0.303	-0.068	-0.077	0.000	-0.05	1.13	9.92	0.27	-0.20	0.19	0	-0.068	-0.076	-0.104	-0.000	-0.001	0.103
0.313	-0.068	-0.077	0.000	-0.06	1.14	9.91	-0.01	-0.21	0.10	0	-0.068	-0.076	-0.108	-0.000	-0.001	0.111
0.324	-0.067	-0.076	0.000	-0.09	1.07	9.90	-0.01	0.18	0.14	0	-0.068	-0.076	-0.111	-0.000	-0.001	0.119
0.331	-0.068	-0.076	0.000	-0.08	1.11	9.89	0.23	-0.02	-0.25	0	-0.068	-0.076	-0.115	-0.000	-0.001	0.128
0.340	-0.069	-0.076	0.000	-0.08	1.15	9.88	0.09	0.03	-0.04	0	-0.068	-0.076	-0.119	-0.000	-0.001	0.137
0.350	-0.068	-0.077	0.000	-0.05	1.12	9.87	0.16	-0.22	-0.07	0	-0.068	-0.076	-0.123	-0.000	-0.001	0.147
