t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.021	-0.017	0.133	0.000	0.71	2.08	-0.04	-0.42	-0.28	-0.10	0	-0.017	0.133	0.000	-0.000	0.000	0.000
0.029	-0.019	0.134	0.000	0.64	2.15	-0.04	0.11	-0.02	-0.06	0	-0.017	0.133	-0.001	-0.000	0.000	0.000
0.044	-0.017	0.132	0.000	0.69	2.07	-0.04	0.17	0.14	-0.01	0	-0.017	0.133	-0.002	-0.000	0.000	0.000
0.055	-0.017	0.133	0.000	0.65	2.07	-0.04	-0.08	0.34	-0.04	0	-0.017	0.133	-0.004	-0.000	-0.000	0.001
0.064	-0.018	0.134	0.000	0.59	2.11	-0.04	-0.09	-0.26	-0.17	0	-0.017	0.133	-0.007	-0.000	0.000	0.001
0.076	-0.018	0.133	0.000	0.62	2.14	-0.04	0.04	0.18	-0.16	0	-0.017	0.133	-0.010	-0.000	-0.000	0.002
0.081	-0.017	0.133	0.000	0.58	2.08	-0.04	-0.12	-0.09	0.11	0	-0.017	0.133	-0.013	-0.000	-0.000	0.003
0.094	-0.017	0.133	0.000	0.57	2.07	-0.04	0.04	-0.04	0.04	0	-0.017	0.133	-0.016	-0.000	-0.000	0.004
0.101	-0.017	0.132	0.000	0.57	2.07	-0.04	-0.08	0.24	-0.01	0	-0.017	0.133	-0.020	-0.000	-0.000	0.006
0.112	-0.017	0.133	0.000	0.50	2.09	-0.04	0.20	-0.03	0.05	0	-0.017	0.133	-0.024	-0.000	-0.000	0.007
0.122	-0.014	0.135	0.000	0.43	1.93	-0.05	-0.07	0.02	-0.03	0	-0.017	0.133	-0.028	0.000	0.000	0.010
0.132	-0.016	0.130	0.000	0.62	2.04	-0.05	-0.00	-0.11	0.14	0	-0.017	0.133	-0.032	0.000	-0.000	0.012
0.143	-0.017	0.131	0.000	0.56	2.08	-0.04	0.12	-0.11	0.01	0	-0.017	0.133	-0.036	0.000	-0.000	0.015
0.153	-0.017	0.131	0.000	0.54	2.06	-0.04	-0.12	0.10	0.03	0	-0.017	0.132	-0.040	0.000	-0.000	0.018
0.164	-0.018	0.128	0.000	0.65	2.13	-0.04	0.06	-0.22	-0.10	0	-0.017	0.132	-0.045	0.000	-0.000	0.021
0.169	-0.018	0.129	0.000	0.58	2.12	-0.04	-0.01	-0.32	-0.03	0	-0.017	0.132	-0.049	-0.000	-0.001	0.025
0.184	-0.019	0.129	0.000	0.55	2.15	-0.03	-0.17	-0.44	0.01	0	-0.017	0.131	-0.053	-0.000	-0.001	0.029
0.195	-0.018	0.129	0.000	0.56	2.13	-0.04	-0.01	-0.18	-0.02	0	-0.017	0.131	-0.058	-0.000	-0.001	0.033
0.200	-0.018	0.129	0.000	0.52	2.13	-0.04	-0.21	0.15	0.19	0	-0.018	0.131	-0.062	-0.000	-0.001	0.038
0.212	-0.019	0.130	0.000	0.47	2.14	-0.03	-0.05	-0.37	0.11	0	-0.018	0.131	-0.066	-0.000	-0.001	0.043
0.221	-0.019	0.130	0.000	0.46	2.15	-0.03	-0.05	0.22	0.00	0	-0.018	0.131	-0.070	-0.000	-0.001	0.049
0.231	-0.019	0.131	0.000	0.40	2.14	-0.03	-0.03	-0.04	0.25	0	-0.018	0.131	-0.075	-0.000	-0.001	0.054
0.241	-0.019	0.130	0.000	0.44	2.14	-0.03	0.01	-0.09	0.05	0	-0.018	0.130	-0.079	-0.000	-0.001	0.060
0.252	-0.019	0.129	0.000	0.44	2.14	-0.03	-0.05	-0.13	-0.09	0	-0.018	0.130	-0.083	-0.000	-0.001	0.067
0.262	-0.019	0.130	0.000	0.39	2.13	-0.03	0.02	-0.22	-0.17	0	-0.018	0.130	-0.087	-0.000	-0.001	0.073
0.275	-0.019	0.129	0.000	0.43	2.12	-0.03	0.11	-0.03	0.20	0	-0.018	0.130	-0.091	-0.000	-0.001	0.080
0.283	-0.019	0.129	0.000	0.38	2.10	-0.03	-0.19	-0.00	-0.09	0	-0.018	0.130	-0.096	-0.000	-0.001	0.087
0.293	-0.019	0.129	0.000	0.38	2.10	-0.03	0.02	-0.12	0.03	0	-0.018	0.130	-0.100	-0.000	-0.001	0.095
0.304	-0.019	0.129	0.000	0.38	2.10	-0.03	0.02	-0.05	-0.05	0	-0.018	0.130	-0.104	-0.000	-0.001	0.103
0.309	-0.017	0.128	0.000	0.42	2.05	-0.03	-0.12	0.05	0.03	0	-0.018	0.129	-0.108	-0.000	-0.001	0.111
0.320	-0.017	0.127	-0.000	0.42	2.05	-0.03	0.02	-0.04	-0.10	0	-0.018	0.129	-0.111	-0.000	-0.001	0.119
0.332	-0.018	0.128	0.000	0.36	2.08	-0.03	0.07	0.03	0.03	0	-0.018	0.129	-0.115	-0.000	-0.001	0.128
0.346	-0.014	0.133	0.000	0.12	1.87	-0.04	-0.03	-0.07	-0.04	0	-0.018	0.130	-0.119	-0.000	-0.001	0.137
0.352	-0.014	0.133	0.000	0.15	1.91	-0.04	0.11	0.06	0.09	0	-0.017	0.130	-0.123	-0.000	-0.001	0.147
0.362	-0.015	0.131	0.000	0.20	1.94	-0.03	0.26	-0.24	-0.06	0	-0.017	0.130	-0.127	0.000	-0.001	0.156
0.372	-0.015	0.127	0.000	0.39	1.97	-0.04	-0.10	-0.04	-0.15	0	-0.017	0.130	-0.130	0.000	-0.001	0.166
0.383	-0.015	0.126	0.000	0.42	1.98	-0.04	-0.10	-0.15	0.06	0	-0.017	0.129	-0.134	0.000	-0.001	0.176
0.392	-0.015	0.126	0.000	0.41	1.98	-0.04	0.20	0.08	-0.10	0	-0.016	0.129	-0.138	0.000	-0.001	0.187
0.404	-0.015	0.127	0.000	0.36	1.99	-0.04	0.02	0.15	-0.01	0	-0.016	0.129	-0.141	0.000	-0.002	0.197
0.414	-0.015	0.127	0.000	0.34	1.99	-0.04	0.02	-0.04	-0.11	0	-0.016	0.128	-0.145	0.000	-0.002	0.208
0.425	-0.015	0.127	0.000	0.34	1.99	-0.04	0.14	-0.31	0.08	0	-0.016	0.128	-0.148	0.000	-0.002	0.220
0.429	-0.015	0.126	0.000	0.36	2.00	-0.04	0.17	-0.09	0.12	0	-0.016	0.128	-0.151	0.000	-0.002	0.231
0.445	-0.015	0.125	0.000	0.36	2.00	-0.03	0.08	-0.22	-0.05	0	-0.016	0.127	-0.155	0.000	-0.002	0.243
0.455	-0.017	0.125	0.000	0.35	2.09	-0.03	0.04	-0.43	-0.11	0	-0.016	0.127	-0.158	0.000	-0.002	0.255
0.463	-0.015	0.125	0.000	0.33	2.00	-0.04	0.02	0.12	0.19	0	-0.016	0.127	-0.161	0.000	-0.002	0.267
0.476	-0.015	0.127	0.000	0.25	2.01	-0.03	-0.14	-0.04	-0.10	0	-0.016	0.127	-0.165	0.000	-0.002	0.280
0.481	-0.015	0.126	0.000	0.30	1.99	-0.04	-0.03	-0.00	-0.04	0	-0.016	0.127	-0.168	0.001	-0.002	0.292
0.492	-0.015	0.126	0.000	0.25	2.00	-0.03	0.06	0.01	0.09	0	-0.016	0.127	-0.171	0.001	-0.002	0.305
0.503	-0.015	0.126	0.000	0.27	2.00	-0.03	-0.05	0.01	-0.05	0	-0.016	0.126	-0.174	0.001	-0.002	0.319
0.512	-0.018	0.128	0.000	0.16	2.11	-0.03	0.04	-0.06	0.04	0	-0.016	0.127	-0.177	0.000	-0.002	0.332
0.523	-0.015	0.127	0.000	0.21	2.01	-0.03	0.00	-0.27	0.07	0	-0.016	0.127	-0.180	0.000	-0.002	0.346
0.533	-0.015	0.126	0.000	0.24	2.02	-0.03	0.26	0.02	-0.12	0	-0.016	0.127	-0.183	0.001	-0.002	0.360
0.544	-0.015	0.126	0.000	0.24	2.01	-0.03	-0.24	-0.34	-0.10	0	-0.016	0.126	-0.186	0.001	-0.002	0.374
0.549	-0.018	0.126	0.000	0.23	2.11	-0.03	0.19	0.12	0.14	0	-0.016	0.126	-0.189	0.000	-0.002	0.388
0.564	-0.018	0.128	0.000	0.12	2.13	-0.03	0.13	0.04	0.17	0	-0.016	0.127	-0.192	0.000	-0.002	0.403
0.572	-0.016	0.126	0.000	0.20	2.01	-0.03	-0.02	-0.17	-0.01	0	-0.016	0.126	-0.195	0.000	-0.002	0.417
0.582	-0.016	0.126	0.000	0.20	2.01	-0.03	-0.17	-0.24	-0.20	0	-0.016	0.126	-0.198	0.000	-0.002	0.433
0.593	-0.015	0.126	0.000	0.20	2.01	-0.03	0.13	-0.01	-0.01	0	-0.016	0.126	-0.200	0.000	-0.002	0.448
0.603	-0.019	0.128	0.000	0.10	2.15	-0.03	0.11	-0.03	-0.04	0	-0.016	0.126	-0.203	0.000	-0.002	0.463
0.614	-0.015	0.127	0.000	0.13	2.00	-0.03	-0.04	-0.15	-0.18	0	-0.016	0.127	-0.206	0.000	-0.002	0.479
0.623	-0.015	0.127	0.000	0.13	2.00	-0.03	-0.25	-0.21	0.07	0	-0.016	0.127	-0.208	0.000	-0.002	0.495
0.632	-0.015	0.126	0.000	0.19	2.00	-0.03	-0.02	0.08	-0.20	0	-0.016	0.126	-0.211	0.000	-0.002	0.511
0.642	-0.016	0.127	0.000	0.13	2.03	-0.03	0.09	0.04	0.07	0	-0.016	0.127	-0.213	0.000	-0.002	0.527
0.652	-0.015	0.127	0.000	0.13	2.01	-0.03	0.01	0.00	0.18	0	-0.016	0.127	-0.216	0.000	-0.002	0.543
0.662	-0.015	0.126	0.000	0.15	2.01	-0.03	0.03	-0.05	0.01	0	-0.016	0.127	-0.218	0.000	-0.002	0.560
0.673	-0.016	0.126	0.000	0.16	2.02	-0.03	0.08	0.01	0.04	0	-0.016	0.126	-0.221	0.000	-0.002	0.577
0.683	-0.015	0.125	0.000	0.18	2.01	-0.03	-0.15	-0.19	0.00	0	-0.016	0.126	-0.223	0.000	-0.002	0.593
0.693	-0.016	0.122	0.000	0.30	2.02	-0.03	-0.23	-0.06	-0.04	0	-0.016	0.126	-0.226	0.000	-0.002	0.611
0.699	-0.016	0.126	0.000	0.14	2.02	-0.03	-0.07	-0.19	-0.16	0	-0.016	0.126	-0.228	0.000	-0.002	0.628
0.709	-0.014	0.117	0.000	0.48	1.95	-0.03	0.03	0.00	-0.02	0	-0.016	0.125	-0.230	0.001	-0.003	0.645
0.725	-0.014	0.118	0.000	0.44	1.94	-0.03	-0.06	0.14	-0.07	0	-0.015	0.124	-0.233	0.001	-0.003	0.663
0.730	-0.011	0.121	0.000	0.30	1.85	-0.03	0.10	0.09	-0.08	0	-0.015	0.123	-0.235	0.001	-0.003	0.681
0.746	-0.014	0.118	0.000	0.39	1.97	-0.03	0.08	-0.03	0.04	0	-0.015	0.123	-0.237	0.001	-0.003	0.699
0.753	-0.014	0.118	0.000	0.39	1.96	-0.03	0.11	-0.10	0.05	0	-0.015	0.122	-0.239	0.001	-0.004	0.717
0.761	-0.015	0.118	0.000	0.36	2.00	-0.03	-0.03	-0.13	0.06	0	-0.015	0.121	-0.241	0.001	-0.004	0.735
0.774	-0.015	0.119	0.000	0.31	2.03	-0.03	0.08	0.10	-0.14	0	-0.015	0.121	-0.243	0.001	-0.004	0.754
0.783	-0.016	0.125	0.000	0.05	2.05	-0.04	-0.03	-0.25	0.13	0	-0.015	0.121	-0.245	0.001	-0.004	0.772
0.793	-0.013	0.120	0.001	0.23	1.92	-0.03	-0.02	-0.04	-0.12	0	-0.014	0.121	-0.247	0.001	-0.004	0.791
0.802	-0.012	0.119	0.000	0.27	1.92	-0.03	0.02	-0.21	-0.17	0	-0.014	0.121	-0.249	0.001	-0.004	0.810
0.813	-0.012	0.120	0.000	0.24	1.89	-0.03	-0.04	-0.10	0.03	0	-0.014	0.121	-0.251	0.001	-0.004	0.829
0.825	-0.015	0.121	0.000	0.16	2.04	-0.04	-0.07	0.02	0.11	0	-0.014	0.121	-0.253	0.001	-0.004	0.849
0.828	-0.012	0.121	0.000	0.15	1.94	-0.03	0.06	-0.03	0.13	0	-0.014	0.121	-0.255	0.001	-0.004	0.868
0.844	-0.012	0.119	0.000	0.23	1.94	-0.03	0.06	-0.30	-0.05	0	-0.014	0.120	-0.257	0.001	-0.004	0.887
0.851	-0.012	0.120	0.000	0.17	1.91	-0.03	0.06	0.06	0.21	0	-0.013	0.120	-0.259	0.001	-0.004	0.907
