t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.029	0.097	0.182	0.017	0.51	1.13	2.64	22.06	13.02	-0.39	0	0.097	0.182	0.017	0.000	-0.000	-0.000
0.032	0.090	0.185	0.018	0.72	0.93	2.27	-8.29	-5.07	0.57	0	0.096	0.182	0.016	-0.000	0.000	0.000
0.045	0.093	0.190	0.012	0.39	0.84	2.24	-26.07	-9.75	0.39	0	0.096	0.183	0.014	-0.001	0.001	0.000
0.054	0.094	0.190	0.013	0.12	0.88	2.33	6.39	0.86	0.12	0	0.096	0.184	0.011	-0.001	0.001	0.000
0.068	0.088	0.192	0.014	0.23	0.81	2.00	4.10	1.59	0.25	0	0.095	0.185	0.009	-0.001	0.002	0.001
0.077	0.087	0.192	0.016	0.26	0.81	2.00	-2.05	0.70	0.28	0	0.094	0.186	0.006	-0.002	0.002	0.001
0.084	0.087	0.191	0.017	0.24	0.80	2.00	2.39	0.87	-0.14	0	0.093	0.187	0.003	-0.002	0.002	0.002
0.095	0.081	0.196	0.011	0.22	0.67	1.64	-0.91	-0.60	-0.09	0	0.091	0.188	-0.002	-0.003	0.003	0.003
0.107	0.088	0.192	0.012	0.11	0.71	2.01	1.00	0.48	-0.25	0	0.091	0.188	-0.006	-0.003	0.003	0.005
0.115	0.092	0.191	0.013	0.03	0.70	2.18	-0.12	-0.09	-0.05	0	0.091	0.189	-0.010	-0.003	0.003	0.006
0.125	0.089	0.191	0.013	0.07	0.70	2.10	0.14	-0.26	-0.03	0	0.090	0.189	-0.014	-0.003	0.003	0.009
0.136	0.086	0.195	0.009	0.02	0.60	1.84	0.40	0.24	-0.21	0	0.090	0.190	-0.019	-0.003	0.004	0.011
0.143	0.094	0.190	0.009	-0.05	0.67	2.31	0.33	-0.20	-0.04	0	0.090	0.190	-0.024	-0.003	0.004	0.013
0.151	0.089	0.192	0.009	-0.03	0.62	2.04	0.55	0.08	-0.01	0	0.090	0.190	-0.029	-0.003	0.004	0.016
0.165	0.087	0.194	0.010	-0.06	0.56	1.90	0.10	0.03	0.02	0	0.089	0.191	-0.033	-0.003	0.004	0.019
0.176	0.087	0.194	0.010	-0.06	0.56	1.90	0.32	-0.12	0.21	0	0.089	0.192	-0.038	-0.004	0.004	0.023
0.183	0.085	0.195	0.007	-0.05	0.52	1.77	0.32	0.01	-0.03	0	0.088	0.192	-0.043	-0.004	0.004	0.027
0.193	0.088	0.193	0.007	-0.09	0.55	1.95	0.18	0.04	-0.02	0	0.088	0.192	-0.048	-0.004	0.005	0.031
0.201	0.101	0.186	0.007	-0.24	0.65	2.64	0.22	0.04	-0.03	0	0.090	0.192	-0.053	-0.003	0.004	0.035
0.215	0.090	0.192	0.008	-0.14	0.54	2.05	0.13	-0.26	-0.05	0	0.090	0.192	-0.057	-0.003	0.004	0.040
0.223	0.090	0.192	0.005	-0.15	0.53	2.02	0.19	0.04	0.01	0	0.090	0.192	-0.062	-0.003	0.004	0.045
0.236	0.088	0.195	0.005	-0.21	0.45	1.87	0.14	0.01	0.10	0	0.089	0.192	-0.067	-0.003	0.004	0.051
0.244	0.091	0.191	0.005	-0.20	0.51	2.08	0.13	-0.04	0.05	0	0.089	0.192	-0.072	-0.003	0.004	0.057
0.253	0.095	0.190	0.005	-0.25	0.52	2.22	0.21	-0.02	0.15	0	0.090	0.192	-0.077	-0.002	0.004	0.063
0.265	0.094	0.190	0.003	-0.25	0.52	2.21	0.23	-0.19	0.10	0	0.090	0.192	-0.081	-0.002	0.004	0.069
0.278	0.097	0.185	0.003	-0.18	0.64	2.45	0.15	0.06	0.03	0	0.091	0.191	-0.086	-0.002	0.003	0.076
0.286	0.097	0.188	0.003	-0.29	0.54	2.36	0.22	0.04	-0.05	0	0.092	0.191	-0.091	-0.001	0.003	0.083
0.294	0.100	0.187	0.003	-0.30	0.57	2.49	0.16	-0.11	0.09	0	0.093	0.191	-0.095	-0.001	0.003	0.091
0.303	0.105	0.183	0.003	-0.32	0.65	2.79	0.15	0.00	0.17	0	0.094	0.190	-0.099	-0.000	0.002	0.099
0.310	0.098	0.187	0.002	-0.28	0.56	2.42	0.21	-0.10	-0.11	0	0.095	0.190	-0.104	0.000	0.002	0.107
0.324	0.117	0.179	0.002	-0.53	0.69	3.39	0.09	-0.20	-0.13	0	0.097	0.188	-0.108	0.002	0.001	0.115
0.335	0.114	0.182	0.002	-0.52	0.63	3.19	0.11	-0.25	0.02	0	0.099	0.188	-0.112	0.003	0.001	0.124
0.345	0.094	0.197	0.002	-0.46	0.29	1.94	0.16	-0.16	-0.08	0	0.099	0.189	-0.116	0.002	0.002	0.133
0.358	0.091	0.199	0.001	-0.41	0.26	1.74	0.17	0.06	0.15	0	0.098	0.190	-0.121	0.002	0.002	0.142
0.366	0.092	0.199	0.001	-0.41	0.26	1.74	0.15	-0.02	-0.03	0	0.097	0.191	-0.125	0.001	0.003	0.151
0.375	0.100	0.193	0.001	-0.45	0.39	2.22	0.39	-0.22	0.23	0	0.097	0.192	-0.129	0.002	0.003	0.161
0.386	0.100	0.194	0.001	-0.45	0.38	2.20	0.42	-0.08	0.02	0	0.098	0.192	-0.133	0.002	0.003	0.171
0.398	0.101	0.193	0.001	-0.43	0.38	2.18	0.24	-0.03	-0.21	0	0.098	0.192	-0.136	0.002	0.003	0.182
0.407	0.105	0.192	0.000	-0.48	0.42	2.42	0.03	-0.11	-0.09	0	0.099	0.193	-0.140	0.003	0.003	0.192
0.416	0.103	0.193	0.000	-0.45	0.40	2.28	0.06	0.01	-0.20	0	0.099	0.193	-0.144	0.003	0.003	0.203
0.426	0.103	0.192	0.000	-0.41	0.43	2.28	0.27	0.03	0.03	0	0.100	0.193	-0.148	0.003	0.003	0.215
