t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.023	0.183	0.371	0.001	0.58	2.34	-0.05	0.20	-0.23	0.17	0	0.183	0.371	0.001	-0.000	-0.000	0.000
0.033	0.184	0.372	0.001	0.53	2.30	-0.05	0.15	-0.25	0.03	0	0.183	0.371	-0.000	0.000	0.000	0.000
0.039	0.183	0.372	0.001	0.51	2.30	-0.05	0.01	-0.15	0.03	0	0.183	0.371	-0.002	0.000	0.000	0.000
0.049	0.183	0.374	0.000	0.42	2.32	-0.04	-0.07	-0.21	-0.14	0	0.183	0.371	-0.004	0.000	0.000	0.001
0.059	0.183	0.372	0.000	0.51	2.31	-0.05	0.08	-0.20	0.19	0	0.183	0.371	-0.006	-0.000	0.000	0.001
0.070	0.183	0.372	0.000	0.51	2.31	-0.05	0.06	-0.04	0.07	0	0.183	0.372	-0.009	-0.000	0.000	0.002
0.083	0.183	0.372	0.001	0.51	2.28	-0.05	-0.13	-0.41	-0.10	0	0.183	0.372	-0.013	-0.000	0.000	0.003
0.090	0.183	0.372	0.000	0.52	2.27	-0.05	-0.05	-0.36	-0.05	0	0.183	0.372	-0.016	-0.000	0.000	0.004
0.100	0.183	0.372	0.000	0.51	2.24	-0.05	-0.11	-0.23	-0.02	0	0.183	0.372	-0.020	-0.000	0.000	0.006
0.111	0.183	0.373	0.000	0.48	2.24	-0.05	0.05	-0.11	0.06	0	0.183	0.372	-0.024	-0.000	0.000	0.007
0.121	0.183	0.372	0.000	0.50	2.23	-0.05	0.00	-0.24	0.30	0	0.183	0.372	-0.028	0.000	0.000	0.010
0.132	0.183	0.373	0.000	0.47	2.23	-0.05	-0.11	-0.25	-0.06	0	0.183	0.372	-0.032	0.000	0.000	0.012
0.142	0.184	0.369	0.000	0.63	2.18	-0.04	0.13	0.17	-0.02	0	0.183	0.372	-0.036	0.000	0.000	0.015
0.152	0.183	0.369	0.000	0.63	2.21	-0.04	-0.04	-0.33	0.08	0	0.183	0.371	-0.040	0.000	0.000	0.018
0.164	0.185	0.368	0.000	0.66	2.15	-0.04	0.15	-0.18	0.16	0	0.183	0.371	-0.044	0.000	-0.000	0.021
0.173	0.184	0.369	0.000	0.58	2.16	-0.05	0.06	-0.19	-0.27	0	0.184	0.371	-0.049	0.000	-0.000	0.025
0.184	0.184	0.369	0.000	0.58	2.16	-0.05	0.11	-0.20	-0.23	0	0.184	0.370	-0.053	0.000	-0.000	0.029
0.188	0.185	0.367	0.000	0.64	2.13	-0.04	-0.09	-0.27	0.04	0	0.184	0.370	-0.057	0.000	-0.000	0.033
0.204	0.183	0.368	0.000	0.62	2.19	-0.04	0.01	-0.02	0.11	0	0.184	0.370	-0.062	0.000	-0.000	0.038
0.210	0.183	0.369	0.000	0.57	2.20	-0.05	0.05	-0.10	0.03	0	0.184	0.370	-0.066	0.000	-0.000	0.043
0.222	0.185	0.367	0.000	0.62	2.12	-0.04	0.05	-0.22	-0.06	0	0.184	0.369	-0.070	0.000	-0.001	0.048
0.231	0.185	0.369	0.000	0.53	2.12	-0.06	0.09	-0.25	0.03	0	0.184	0.369	-0.075	0.000	-0.001	0.054
0.243	0.184	0.370	0.000	0.51	2.15	-0.06	0.06	-0.38	-0.03	0	0.184	0.369	-0.079	0.000	-0.001	0.060
0.252	0.183	0.366	0.000	0.64	2.22	-0.03	0.02	-0.11	0.02	0	0.184	0.369	-0.083	0.000	-0.001	0.066
0.263	0.185	0.367	0.000	0.59	2.10	-0.05	0.01	-0.20	0.03	0	0.184	0.369	-0.087	0.000	-0.001	0.073
0.273	0.184	0.369	0.000	0.49	2.16	-0.07	0.02	-0.41	-0.04	0	0.184	0.369	-0.091	0.000	-0.001	0.080
0.283	0.184	0.369	0.000	0.52	2.18	-0.06	0.02	-0.45	-0.16	0	0.184	0.369	-0.095	0.000	-0.001	0.087
0.294	0.185	0.368	0.000	0.56	2.11	-0.06	-0.23	-0.25	0.12	0	0.184	0.369	-0.099	0.000	-0.001	0.095
0.304	0.184	0.368	0.000	0.55	2.15	-0.06	0.13	-0.25	-0.02	0	0.184	0.369	-0.103	0.000	-0.001	0.103
0.315	0.185	0.368	0.000	0.55	2.12	-0.06	0.08	-0.25	-0.04	0	0.184	0.368	-0.107	0.000	-0.001	0.111
0.325	0.185	0.368	0.000	0.54	2.13	-0.06	0.12	-0.34	0.03	0	0.184	0.368	-0.111	0.000	-0.001	0.119
0.331	0.185	0.368	0.000	0.53	2.13	-0.06	-0.00	-0.55	-0.03	0	0.184	0.368	-0.115	0.000	-0.001	0.128
0.343	0.184	0.369	0.000	0.45	2.14	-0.08	0.17	-0.14	0.05	0	0.184	0.368	-0.119	0.000	-0.001	0.137
0.352	0.184	0.369	0.000	0.47	2.14	-0.08	-0.04	-0.38	-0.14	0	0.184	0.368	-0.123	0.000	-0.001	0.147
0.362	0.185	0.369	0.000	0.45	2.12	-0.08	-0.01	-0.04	0.27	0	0.184	0.369	-0.126	0.000	-0.001	0.156
0.372	0.185	0.368	0.000	0.51	2.11	-0.06	0.10	-0.25	0.15	0	0.184	0.368	-0.130	0.001	-0.001	0.166
0.383	0.184	0.368	0.000	0.52	2.15	-0.06	-0.03	-0.28	-0.15	0	0.184	0.368	-0.134	0.001	-0.001	0.176
0.392	0.185	0.369	0.000	0.43	2.10	-0.09	0.13	-0.19	-0.08	0	0.185	0.368	-0.137	0.001	-0.001	0.187
0.404	0.185	0.368	0.000	0.50	2.10	-0.07	0.16	-0.17	0.13	0	0.185	0.368	-0.141	0.001	-0.001	0.197
0.409	0.185	0.369	0.000	0.46	2.11	-0.08	0.06	-0.27	-0.03	0	0.185	0.368	-0.144	0.001	-0.001	0.208
0.421	0.182	0.371	0.000	0.37	2.24	-0.10	0.02	-0.18	0.05	0	0.184	0.369	-0.148	0.001	-0.001	0.220
