t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.020	-0.092	-0.109	0.000	-0.55	0.15	0.15	-0.15	-0.06	0.01	0	-0.092	-0.109	0.000	-0.000	0.000	0.000
0.030	-0.092	-0.108	0.000	-0.59	0.19	0.15	0.15	-0.33	-0.01	0	-0.092	-0.109	-0.001	-0.000	0.000	0.000
0.042	-0.091	-0.108	0.000	-0.59	0.10	0.15	-0.06	-0.07	-0.02	0	-0.092	-0.109	-0.002	0.000	0.000	0.000
0.051	-0.091	-0.109	0.000	-0.55	0.15	0.15	0.07	-0.39	0.14	0	-0.092	-0.109	-0.004	0.000	0.000	0.001
0.060	-0.092	-0.109	0.000	-0.56	0.19	0.15	-0.00	0.11	0.02	0	-0.092	-0.109	-0.007	-0.000	0.000	0.001
0.068	-0.091	-0.109	0.000	-0.56	0.14	0.15	-0.10	-0.12	0.03	0	-0.092	-0.109	-0.010	0.000	0.000	0.002
0.077	-0.091	-0.108	0.000	-0.59	0.15	0.15	-0.11	0.28	-0.10	0	-0.092	-0.109	-0.013	0.000	0.000	0.003
0.091	-0.092	-0.108	0.000	-0.58	0.19	0.15	-0.04	-0.39	0.24	0	-0.092	-0.109	-0.016	-0.000	0.000	0.004
0.102	-0.092	-0.108	0.000	-0.56	0.19	0.15	-0.11	0.00	-0.05	0	-0.092	-0.109	-0.020	-0.000	0.000	0.006
0.110	-0.092	-0.109	0.000	-0.54	0.19	0.15	0.03	-0.34	0.20	0	-0.092	-0.109	-0.024	-0.000	0.000	0.007
0.119	-0.092	-0.108	0.000	-0.57	0.18	0.15	-0.12	0.35	0.06	0	-0.092	-0.109	-0.028	-0.000	0.000	0.010
0.128	-0.092	-0.108	0.000	-0.57	0.18	0.15	-0.07	-0.07	0.06	0	-0.092	-0.108	-0.032	-0.000	0.000	0.012
0.140	-0.092	-0.108	0.000	-0.58	0.17	0.15	0.02	-0.05	-0.10	0	-0.092	-0.108	-0.036	-0.000	0.000	0.015
0.151	-0.092	-0.108	0.000	-0.57	0.15	0.15	-0.05	-0.23	0.03	0	-0.092	-0.108	-0.041	-0.000	0.000	0.018
0.160	-0.092	-0.108	0.000	-0.57	0.15	0.15	0.06	0.19	0.07	0	-0.092	-0.108	-0.045	-0.000	0.000	0.021
0.171	-0.093	-0.110	0.000	-0.49	0.19	0.15	-0.03	-0.27	0.01	0	-0.092	-0.109	-0.049	-0.000	0.000	0.025
0.179	-0.092	-0.108	0.000	-0.56	0.15	0.15	0.14	0.19	-0.04	0	-0.092	-0.109	-0.053	-0.000	0.000	0.029
0.190	-0.092	-0.108	0.000	-0.57	0.18	0.15	-0.14	0.08	-0.07	0	-0.092	-0.108	-0.058	-0.000	0.000	0.033
0.201	-0.092	-0.109	0.000	-0.55	0.15	0.15	0.10	-0.06	0.08	0	-0.092	-0.108	-0.062	-0.000	0.000	0.038
0.212	-0.092	-0.109	0.000	-0.55	0.15	0.15	-0.18	0.17	-0.16	0	-0.092	-0.109	-0.066	-0.000	0.000	0.043
0.222	-0.092	-0.108	0.000	-0.57	0.15	0.15	0.00	-0.09	0.01	0	-0.092	-0.108	-0.071	-0.000	0.000	0.049
0.231	-0.092	-0.108	0.000	-0.58	0.18	0.15	-0.20	-0.18	-0.35	0	-0.092	-0.108	-0.075	-0.000	0.000	0.054
0.237	-0.097	-0.110	0.000	-0.48	0.39	0.16	0.12	-0.07	0.07	0	-0.093	-0.109	-0.079	-0.000	0.000	0.060
0.246	-0.098	-0.110	-0.000	-0.51	0.41	0.16	-0.09	-0.11	-0.27	0	-0.093	-0.109	-0.083	-0.001	0.000	0.066
0.261	-0.098	-0.110	0.000	-0.50	0.41	0.16	-0.09	-0.22	-0.00	0	-0.094	-0.109	-0.087	-0.001	-0.000	0.073
0.270	-0.097	-0.111	0.000	-0.48	0.32	0.15	-0.04	0.06	0.06	0	-0.094	-0.109	-0.092	-0.001	-0.000	0.080
0.280	-0.096	-0.110	0.000	-0.49	0.30	0.15	-0.14	-0.07	0.10	0	-0.095	-0.109	-0.096	-0.001	-0.000	0.087
0.291	-0.096	-0.110	0.000	-0.50	0.28	0.15	-0.01	-0.07	-0.09	0	-0.095	-0.109	-0.100	-0.002	-0.000	0.095
0.302	-0.096	-0.109	0.000	-0.54	0.27	0.15	0.13	0.14	0.15	0	-0.095	-0.109	-0.104	-0.002	-0.000	0.103
0.311	-0.096	-0.110	0.000	-0.53	0.26	0.15	-0.22	0.11	-0.12	0	-0.095	-0.109	-0.108	-0.002	-0.000	0.111
0.322	-0.097	-0.109	0.000	-0.55	0.30	0.16	0.03	0.13	0.10	0	-0.095	-0.109	-0.111	-0.002	-0.000	0.119
0.330	-0.098	-0.109	0.000	-0.55	0.33	0.16	-0.08	-0.04	0.09	0	-0.096	-0.109	-0.115	-0.002	-0.000	0.128
0.341	-0.098	-0.109	0.000	-0.54	0.33	0.16	0.22	-0.20	0.19	0	-0.096	-0.109	-0.119	-0.002	-0.000	0.137
0.351	-0.097	-0.110	0.000	-0.52	0.26	0.15	0.13	-0.21	-0.13	0	-0.096	-0.109	-0.123	-0.002	-0.000	0.147
0.362	-0.096	-0.109	0.000	-0.55	0.22	0.15	-0.18	-0.03	-0.07	0	-0.096	-0.109	-0.127	-0.002	-0.000	0.156
0.372	-0.097	-0.109	0.000	-0.55	0.27	0.15	-0.06	0.25	0.24	0	-0.097	-0.109	-0.130	-0.002	-0.000	0.166
0.382	-0.097	-0.109	0.000	-0.56	0.25	0.16	-0.02	-0.09	-0.10	0	-0.097	-0.109	-0.134	-0.002	-0.000	0.176
0.390	-0.097	-0.110	0.000	-0.53	0.25	0.15	-0.10	-0.03	0.02	0	-0.097	-0.109	-0.138	-0.002	-0.000	0.187
0.399	-0.097	-0.110	0.000	-0.54	0.21	0.15	-0.01	0.06	0.01	0	-0.097	-0.110	-0.141	-0.002	-0.000	0.197
0.411	-0.096	-0.110	0.000	-0.53	0.20	0.15	-0.09	0.04	0.06	0	-0.097	-0.110	-0.145	-0.002	-0.000	0.208
0.421	-0.096	-0.110	0.000	-0.54	0.18	0.15	-0.03	0.07	0.28	0	-0.097	-0.110	-0.148	-0.002	-0.000	0.220
0.431	-0.096	-0.110	0.000	-0.54	0.18	0.15	-0.11	0.13	-0.05	0	-0.097	-0.110	-0.151	-0.002	-0.000	0.231
0.441	-0.096	-0.110	0.000	-0.52	0.17	0.15	-0.06	-0.10	-0.08	0	-0.097	-0.110	-0.155	-0.002	-0.000	0.243
0.448	-0.096	-0.109	0.000	-0.56	0.17	0.15	-0.15	-0.04	-0.05	0	-0.097	-0.110	-0.158	-0.002	-0.000	0.255
0.461	-0.096	-0.111	0.000	-0.48	0.17	0.14	-0.05	-0.26	-0.09	0	-0.097	-0.110	-0.161	-0.002	-0.001	0.267
0.472	-0.096	-0.110	0.000	-0.53	0.16	0.15	-0.05	-0.16	-0.08	0	-0.097	-0.110	-0.165	-0.002	-0.001	0.280
0.481	-0.097	-0.109	0.000	-0.57	0.21	0.15	0.03	0.11	-0.04	0	-0.097	-0.110	-0.168	-0.002	-0.001	0.292
0.488	-0.096	-0.110	0.000	-0.54	0.15	0.14	0.16	-0.13	-0.06	0	-0.097	-0.110	-0.171	-0.002	-0.001	0.305
0.501	-0.098	-0.110	0.000	-0.54	0.24	0.15	-0.07	0.03	-0.07	0	-0.097	-0.110	-0.174	-0.002	-0.001	0.319
0.509	-0.098	-0.110	0.000	-0.57	0.23	0.15	-0.20	-0.19	-0.20	0	-0.097	-0.110	-0.177	-0.002	-0.001	0.332
0.520	-0.096	-0.110	0.000	-0.57	0.15	0.14	-0.01	0.05	0.13	0	-0.097	-0.110	-0.180	-0.002	-0.001	0.346
0.530	-0.096	-0.110	0.000	-0.53	0.15	0.14	0.18	0.10	0.12	0	-0.097	-0.110	-0.183	-0.002	-0.001	0.360
0.539	-0.091	-0.111	0.000	-0.50	-0.11	0.12	0.07	-0.06	-0.01	0	-0.096	-0.110	-0.186	-0.002	-0.001	0.374
0.550	-0.091	-0.110	0.000	-0.54	-0.07	0.13	0.10	-0.13	-0.05	0	-0.096	-0.110	-0.189	-0.001	-0.001	0.388
0.559	-0.091	-0.112	0.000	-0.47	-0.07	0.13	-0.01	0.05	0.09	0	-0.095	-0.110	-0.192	-0.001	-0.001	0.403
0.572	-0.090	-0.111	0.000	-0.51	-0.09	0.12	-0.01	-0.19	0.01	0	-0.095	-0.110	-0.195	-0.001	-0.001	0.417
0.583	-0.090	-0.111	0.000	-0.51	-0.07	0.13	0.22	0.10	0.11	0	-0.094	-0.111	-0.198	-0.000	-0.001	0.433
0.590	-0.090	-0.111	0.000	-0.51	-0.07	0.13	-0.12	0.17	-0.08	0	-0.094	-0.111	-0.200	-0.000	-0.001	0.448
0.603	-0.090	-0.110	0.000	-0.55	-0.06	0.12	0.10	-0.04	0.05	0	-0.093	-0.111	-0.203	0.000	-0.001	0.463
0.618	-0.091	-0.112	0.000	-0.46	-0.01	0.14	-0.04	-0.11	0.18	0	-0.093	-0.111	-0.206	0.000	-0.001	0.479
0.623	-0.090	-0.112	0.000	-0.47	-0.05	0.13	-0.10	-0.34	-0.01	0	-0.093	-0.111	-0.208	0.000	-0.001	0.495
