t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.021	-0.296	-0.132	0.000	-1.66	1.98	1.94	0.11	-0.29	0.13	0	-0.296	-0.132	0.000	-0.000	-0.000	0.000
0.028	-0.296	-0.132	0.000	-1.69	2.00	1.94	0.11	-0.05	-0.01	0	-0.296	-0.132	-0.001	-0.000	0.000	0.000
0.038	-0.296	-0.129	0.000	-1.79	1.98	1.93	-0.08	-0.08	0.07	0	-0.296	-0.132	-0.002	-0.000	0.000	0.000
0.047	-0.296	-0.132	0.000	-1.67	1.98	1.93	-0.07	-0.05	-0.11	0	-0.296	-0.132	-0.004	-0.000	0.000	0.001
0.056	-0.296	-0.132	0.000	-1.67	1.98	1.93	-0.14	-0.24	-0.09	0	-0.296	-0.132	-0.007	-0.000	0.000	0.001
0.070	-0.296	-0.131	0.000	-1.72	1.99	1.93	-0.15	-0.12	-0.09	0	-0.296	-0.132	-0.010	-0.000	0.000	0.002
0.080	-0.296	-0.131	0.000	-1.72	2.00	1.93	0.08	0.12	0.26	0	-0.296	-0.132	-0.013	-0.000	0.000	0.003
0.092	-0.295	-0.132	0.000	-1.65	1.98	1.93	-0.06	-0.02	0.17	0	-0.296	-0.132	-0.016	-0.000	0.000	0.004
0.101	-0.296	-0.131	0.000	-1.70	2.02	1.93	-0.02	-0.04	0.09	0	-0.296	-0.132	-0.020	-0.000	0.000	0.006
0.112	-0.296	-0.132	0.000	-1.67	2.02	1.93	0.02	0.11	0.08	0	-0.296	-0.132	-0.024	-0.000	0.000	0.007
0.120	-0.296	-0.132	0.000	-1.67	1.98	1.92	0.13	0.07	-0.13	0	-0.296	-0.132	-0.028	-0.000	0.000	0.010
0.130	-0.293	-0.132	0.000	-1.67	1.86	1.91	-0.14	-0.24	0.15	0	-0.295	-0.132	-0.032	0.000	0.000	0.012
0.140	-0.290	-0.135	0.000	-1.53	1.76	1.91	0.11	0.07	0.15	0	-0.295	-0.132	-0.036	0.000	0.000	0.015
0.148	-0.289	-0.135	0.000	-1.53	1.73	1.91	0.05	-0.09	-0.04	0	-0.294	-0.132	-0.040	0.001	0.000	0.018
0.157	-0.289	-0.135	0.000	-1.52	1.73	1.91	0.05	-0.09	0.05	0	-0.293	-0.133	-0.045	0.001	-0.000	0.021
0.170	-0.288	-0.136	0.000	-1.50	1.71	1.90	0.02	-0.16	0.07	0	-0.293	-0.133	-0.049	0.001	-0.000	0.025
0.179	-0.289	-0.135	0.000	-1.53	1.79	1.91	-0.03	0.02	0.26	0	-0.292	-0.133	-0.053	0.001	-0.000	0.029
0.190	-0.290	-0.134	0.000	-1.59	1.81	1.90	-0.05	-0.32	-0.12	0	-0.292	-0.133	-0.058	0.001	-0.000	0.033
0.201	-0.291	-0.134	0.000	-1.59	1.87	1.91	0.05	-0.01	-0.01	0	-0.292	-0.134	-0.062	0.001	-0.000	0.038
0.207	-0.291	-0.135	0.000	-1.57	1.89	1.91	0.19	0.00	0.04	0	-0.292	-0.134	-0.066	0.001	-0.000	0.043
0.215	-0.288	-0.130	0.000	-1.76	1.76	1.88	0.03	-0.17	-0.10	0	-0.291	-0.133	-0.070	0.002	-0.000	0.049
0.231	-0.292	-0.126	0.000	-1.94	1.95	1.88	-0.17	-0.27	0.00	0	-0.291	-0.132	-0.075	0.002	0.000	0.054
0.241	-0.292	-0.127	0.001	-1.89	1.97	1.88	-0.02	0.01	0.15	0	-0.291	-0.132	-0.079	0.001	0.000	0.060
0.249	-0.292	-0.128	0.000	-1.86	1.94	1.88	0.00	-0.29	0.09	0	-0.291	-0.131	-0.083	0.001	0.000	0.067
0.256	-0.297	-0.127	0.000	-1.89	2.17	1.90	-0.23	-0.13	0.14	0	-0.292	-0.131	-0.087	0.001	0.001	0.073
0.270	-0.294	-0.126	0.000	-1.92	2.03	1.88	0.01	-0.08	0.01	0	-0.292	-0.130	-0.091	0.001	0.001	0.080
0.280	-0.296	-0.126	0.001	-1.90	2.12	1.89	0.06	0.02	0.11	0	-0.293	-0.129	-0.095	0.001	0.001	0.087
0.291	-0.294	-0.128	0.001	-1.81	2.05	1.89	-0.24	-0.20	0.03	0	-0.293	-0.129	-0.099	0.001	0.001	0.095
0.300	-0.296	-0.127	0.000	-1.83	2.11	1.89	-0.08	0.01	-0.01	0	-0.293	-0.129	-0.103	0.001	0.001	0.103
0.308	-0.295	-0.126	0.000	-1.88	2.08	1.88	-0.03	-0.36	-0.16	0	-0.293	-0.128	-0.107	0.001	0.001	0.111
0.315	-0.296	-0.128	0.001	-1.78	2.13	1.89	-0.05	-0.04	0.23	0	-0.294	-0.128	-0.111	0.000	0.001	0.120
0.324	-0.296	-0.129	0.001	-1.74	2.12	1.89	0.13	-0.19	-0.21	0	-0.294	-0.128	-0.115	0.000	0.001	0.128
0.340	-0.296	-0.129	0.000	-1.73	2.12	1.89	0.15	-0.34	-0.02	0	-0.294	-0.128	-0.119	0.000	0.001	0.137
0.348	-0.295	-0.128	0.000	-1.77	2.05	1.88	-0.08	-0.06	-0.04	0	-0.294	-0.128	-0.123	0.000	0.001	0.147
0.359	-0.296	-0.128	0.000	-1.75	2.10	1.88	-0.13	-0.20	-0.06	0	-0.294	-0.128	-0.126	0.000	0.001	0.156
0.365	-0.296	-0.129	0.000	-1.71	2.10	1.88	-0.14	-0.18	0.02	0	-0.295	-0.128	-0.130	0.000	0.001	0.166
0.381	-0.295	-0.128	0.000	-1.74	2.05	1.88	-0.04	0.06	0.07	0	-0.295	-0.128	-0.134	0.000	0.001	0.176
0.391	-0.296	-0.128	0.000	-1.75	2.10	1.88	0.05	-0.02	-0.01	0	-0.295	-0.128	-0.137	0.000	0.001	0.187
0.399	-0.296	-0.128	0.000	-1.75	2.10	1.88	-0.19	-0.25	-0.24	0	-0.295	-0.128	-0.141	-0.000	0.001	0.197
0.408	-0.294	-0.128	0.000	-1.74	2.01	1.87	0.06	0.15	0.05	0	-0.295	-0.128	-0.144	0.000	0.001	0.208
0.417	-0.294	-0.127	0.000	-1.76	2.01	1.86	0.07	0.20	0.07	0	-0.295	-0.128	-0.148	0.000	0.001	0.220
0.426	-0.294	-0.129	0.000	-1.66	2.02	1.87	0.03	-0.03	0.09	0	-0.295	-0.128	-0.151	0.000	0.001	0.231
0.441	-0.295	-0.127	0.000	-1.77	2.05	1.87	0.04	-0.24	0.06	0	-0.295	-0.128	-0.155	0.000	0.001	0.243
0.449	-0.295	-0.127	0.000	-1.74	2.05	1.86	-0.01	-0.12	0.11	0	-0.295	-0.128	-0.158	0.000	0.001	0.255
0.458	-0.293	-0.128	0.000	-1.71	2.00	1.86	-0.05	-0.12	0.27	0	-0.294	-0.128	-0.161	0.000	0.001	0.267
