t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.022	-0.218	0.003	0.000	-0.45	0.75	-1.90	0.02	-0.15	0.20	0	-0.218	0.003	0.000	-0.000	-0.000	0.000
0.030	-0.218	0.002	-0.000	-0.42	0.75	-1.90	0.05	0.07	-0.14	0	-0.218	0.003	-0.001	-0.000	-0.000	0.000
0.042	-0.218	0.003	-0.000	-0.46	0.74	-1.89	0.02	-0.24	0.19	0	-0.218	0.003	-0.002	-0.000	-0.000	0.000
0.051	-0.218	0.003	-0.000	-0.46	0.74	-1.89	0.13	-0.09	-0.19	0	-0.218	0.003	-0.004	-0.000	0.000	0.001
0.060	-0.217	0.003	-0.000	-0.45	0.69	-1.89	-0.02	-0.14	0.08	0	-0.218	0.003	-0.007	0.000	0.000	0.001
0.070	-0.216	0.003	-0.000	-0.44	0.65	-1.89	-0.04	0.09	0.03	0	-0.218	0.003	-0.010	0.000	0.000	0.002
0.082	-0.218	0.003	-0.000	-0.48	0.72	-1.88	0.11	-0.28	-0.10	0	-0.218	0.003	-0.013	0.000	0.000	0.003
0.088	-0.218	0.003	-0.000	-0.47	0.74	-1.88	0.11	-0.13	-0.19	0	-0.218	0.003	-0.017	0.000	0.000	0.004
0.096	-0.217	0.002	-0.000	-0.43	0.67	-1.88	-0.06	-0.00	-0.04	0	-0.218	0.003	-0.020	0.000	0.000	0.006
0.110	-0.218	0.003	-0.000	-0.45	0.73	-1.88	-0.06	0.06	-0.09	0	-0.218	0.003	-0.024	0.000	0.000	0.007
0.120	-0.218	0.003	-0.000	-0.45	0.73	-1.88	0.13	-0.07	0.05	0	-0.218	0.003	-0.028	0.000	0.000	0.010
0.130	-0.218	0.003	-0.000	-0.44	0.73	-1.88	0.14	-0.37	-0.04	0	-0.218	0.003	-0.032	0.000	0.000	0.012
0.141	-0.218	0.003	-0.000	-0.45	0.74	-1.87	0.07	0.16	-0.05	0	-0.218	0.003	-0.036	0.000	0.000	0.015
0.151	-0.217	0.003	-0.000	-0.43	0.66	-1.87	0.00	0.07	-0.19	0	-0.218	0.003	-0.041	0.000	0.000	0.018
0.161	-0.220	0.001	0.000	-0.37	0.82	-1.87	0.13	-0.13	-0.09	0	-0.218	0.003	-0.045	0.000	-0.000	0.021
0.172	-0.219	0.002	0.000	-0.42	0.75	-1.87	0.07	0.02	0.21	0	-0.218	0.003	-0.049	0.000	-0.000	0.025
0.187	-0.214	0.005	0.000	-0.56	0.52	-1.86	0.15	-0.12	-0.02	0	-0.218	0.003	-0.053	0.000	0.000	0.029
0.190	-0.214	0.006	0.000	-0.60	0.53	-1.86	0.14	-0.13	0.09	0	-0.217	0.003	-0.058	0.001	0.000	0.033
0.196	-0.213	0.004	0.000	-0.47	0.52	-1.86	0.10	-0.02	-0.17	0	-0.217	0.003	-0.062	0.001	0.000	0.038
0.210	-0.213	0.005	0.000	-0.51	0.53	-1.86	-0.07	-0.01	-0.31	0	-0.216	0.004	-0.066	0.001	0.000	0.043
0.221	-0.213	0.005	0.000	-0.50	0.55	-1.86	0.28	-0.02	0.15	0	-0.216	0.004	-0.071	0.001	0.001	0.049
0.229	-0.214	0.005	0.000	-0.51	0.60	-1.86	0.10	-0.10	-0.10	0	-0.216	0.004	-0.075	0.001	0.001	0.054
0.239	-0.211	0.002	0.000	-0.40	0.46	-1.86	0.19	-0.19	0.16	0	-0.215	0.004	-0.079	0.002	0.001	0.060
0.250	-0.211	0.003	0.000	-0.42	0.48	-1.85	0.02	0.14	0.04	0	-0.215	0.004	-0.083	0.002	0.000	0.067
0.260	-0.212	0.003	0.000	-0.44	0.53	-1.85	0.00	0.08	-0.04	0	-0.214	0.004	-0.087	0.002	0.000	0.073
0.271	-0.212	0.003	0.000	-0.43	0.52	-1.85	0.07	-0.22	0.07	0	-0.214	0.004	-0.091	0.002	0.000	0.080
0.278	-0.211	0.005	0.000	-0.51	0.53	-1.85	0.10	-0.06	0.26	0	-0.214	0.004	-0.095	0.002	0.000	0.087
0.292	-0.212	0.005	0.000	-0.49	0.58	-1.85	0.16	-0.11	0.10	0	-0.213	0.004	-0.100	0.002	0.001	0.095
0.300	-0.212	0.005	0.000	-0.49	0.58	-1.84	0.03	-0.05	0.05	0	-0.213	0.004	-0.104	0.003	0.001	0.103
0.311	-0.213	0.006	0.000	-0.56	0.61	-1.84	0.11	-0.27	-0.17	0	-0.213	0.004	-0.107	0.003	0.001	0.111
0.318	-0.213	0.006	0.000	-0.56	0.61	-1.84	-0.09	0.09	0.02	0	-0.213	0.005	-0.111	0.003	0.001	0.119
0.326	-0.213	0.005	0.000	-0.47	0.61	-1.84	0.12	-0.18	0.03	0	-0.213	0.005	-0.115	0.003	0.001	0.128
0.335	-0.212	0.005	0.000	-0.49	0.60	-1.84	-0.08	0.20	-0.17	0	-0.213	0.005	-0.119	0.003	0.001	0.137
0.351	-0.213	0.005	0.000	-0.48	0.64	-1.84	0.07	-0.02	-0.00	0	-0.213	0.005	-0.123	0.003	0.001	0.147
0.362	-0.212	0.005	0.000	-0.45	0.62	-1.83	0.21	0.01	0.25	0	-0.213	0.005	-0.127	0.003	0.001	0.156
0.371	-0.212	0.005	0.000	-0.48	0.61	-1.83	0.33	0.06	0.13	0	-0.213	0.005	-0.130	0.003	0.001	0.166
0.381	-0.215	0.001	0.000	-0.30	0.76	-1.83	0.25	-0.34	0.05	0	-0.213	0.004	-0.134	0.003	0.001	0.176
0.392	-0.212	0.002	0.000	-0.35	0.60	-1.83	0.20	-0.21	0.11	0	-0.213	0.004	-0.137	0.003	0.001	0.187
0.397	-0.214	0.002	0.000	-0.36	0.70	-1.82	0.20	-0.08	-0.08	0	-0.213	0.004	-0.141	0.002	0.000	0.197
