t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.017	-0.015	0.049	0.000	-1.53	2.75	0.06	-0.06	0.07	0.08	0	-0.015	0.049	0.000	0.000	0.000	-0.000
0.031	-0.015	0.049	0.000	-1.54	2.75	0.06	-0.11	-0.07	0.07	0	-0.015	0.049	-0.001	-0.000	0.000	0.000
0.033	-0.016	0.050	0.000	-1.56	2.79	0.06	-0.19	-0.06	-0.04	0	-0.015	0.049	-0.002	-0.000	0.000	0.000
0.050	-0.015	0.050	0.000	-1.57	2.74	0.05	-0.02	0.04	-0.22	0	-0.015	0.049	-0.004	-0.000	0.000	0.001
0.059	-0.015	0.050	0.000	-1.56	2.75	0.06	-0.00	0.13	-0.04	0	-0.015	0.049	-0.007	-0.000	0.000	0.001
0.070	-0.016	0.050	0.000	-1.56	2.78	0.06	0.06	-0.14	-0.05	0	-0.015	0.049	-0.010	-0.000	0.000	0.002
0.081	-0.015	0.049	0.000	-1.54	2.74	0.06	0.09	-0.30	0.01	0	-0.015	0.049	-0.013	-0.000	0.000	0.003
0.084	-0.015	0.049	0.000	-1.54	2.74	0.06	0.18	-0.01	-0.05	0	-0.015	0.049	-0.016	-0.000	0.000	0.004
0.101	-0.015	0.050	0.000	-1.56	2.74	0.06	-0.25	-0.16	-0.01	0	-0.015	0.049	-0.020	-0.000	0.000	0.006
0.110	-0.014	0.050	0.000	-1.57	2.71	0.05	-0.04	0.12	0.05	0	-0.015	0.049	-0.024	0.000	0.000	0.007
0.118	-0.015	0.050	0.000	-1.57	2.74	0.06	-0.01	-0.00	-0.06	0	-0.015	0.050	-0.028	0.000	0.000	0.010
0.130	-0.014	0.049	0.000	-1.54	2.71	0.06	-0.03	-0.03	0.04	0	-0.015	0.050	-0.032	0.000	0.000	0.012
0.135	-0.016	0.050	0.000	-1.58	2.78	0.06	-0.08	-0.05	-0.11	0	-0.015	0.050	-0.036	0.000	0.000	0.015
0.152	-0.015	0.050	0.000	-1.57	2.74	0.05	-0.05	-0.32	0.33	0	-0.015	0.050	-0.041	0.000	0.000	0.018
0.159	-0.014	0.049	0.000	-1.53	2.71	0.06	0.08	0.25	0.08	0	-0.015	0.050	-0.045	0.000	0.000	0.021
0.171	-0.014	0.049	0.000	-1.54	2.71	0.06	-0.02	-0.02	0.08	0	-0.015	0.050	-0.049	0.000	0.000	0.025
0.176	-0.015	0.049	0.000	-1.54	2.74	0.06	-0.13	-0.09	-0.21	0	-0.015	0.050	-0.053	0.000	0.000	0.029
0.185	-0.015	0.050	0.000	-1.57	2.74	0.06	-0.04	-0.04	-0.13	0	-0.015	0.050	-0.058	0.000	0.000	0.033
0.201	-0.016	0.052	0.000	-1.64	2.78	0.05	-0.07	-0.61	0.08	0	-0.015	0.050	-0.062	0.000	0.000	0.038
0.211	-0.015	0.050	0.000	-1.55	2.74	0.06	-0.10	0.03	-0.01	0	-0.015	0.050	-0.066	0.000	0.000	0.043
0.217	-0.015	0.050	0.000	-1.56	2.74	0.06	0.01	0.04	-0.03	0	-0.015	0.050	-0.071	0.000	0.000	0.049
0.236	-0.015	0.050	0.000	-1.55	2.75	0.06	-0.09	-0.27	-0.03	0	-0.015	0.050	-0.075	0.000	0.000	0.054
0.236	-0.014	0.049	0.000	-1.51	2.71	0.06	-0.10	0.03	0.06	0	-0.015	0.050	-0.079	0.000	0.000	0.060
0.251	-0.015	0.050	0.000	-1.56	2.73	0.05	-0.05	-0.02	0.07	0	-0.015	0.050	-0.083	0.000	0.000	0.067
0.261	-0.014	0.049	0.000	-1.53	2.71	0.06	-0.06	0.01	0.11	0	-0.015	0.050	-0.087	0.000	0.000	0.073
0.272	-0.016	0.049	0.000	-1.54	2.79	0.07	0.01	0.09	-0.16	0	-0.015	0.050	-0.091	0.000	0.000	0.080
