t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.028	-0.639	-0.035	0.000	-0.41	0.97	-0.14	0.23	0.12	0.10	0	-0.639	-0.035	0.000	0.000	-0.000	-0.000
0.039	-0.639	-0.035	0.000	-0.40	0.97	-0.14	-0.00	-0.12	-0.16	0	-0.639	-0.035	-0.001	-0.000	-0.000	0.000
0.048	-0.638	-0.035	0.000	-0.37	0.91	-0.15	0.07	-0.10	-0.00	0	-0.639	-0.035	-0.002	0.000	-0.000	0.000
0.059	-0.639	-0.035	0.000	-0.38	0.96	-0.14	0.07	-0.03	-0.01	0	-0.639	-0.035	-0.004	0.000	-0.000	0.001
0.066	-0.638	-0.035	0.000	-0.40	0.93	-0.15	0.07	-0.14	0.09	0	-0.639	-0.035	-0.007	0.000	-0.000	0.001
0.078	-0.638	-0.035	0.000	-0.38	0.92	-0.14	0.19	-0.04	0.03	0	-0.639	-0.035	-0.010	0.000	-0.000	0.002
0.088	-0.638	-0.035	0.000	-0.37	0.92	-0.14	0.21	-0.12	0.07	0	-0.639	-0.035	-0.013	0.000	-0.000	0.003
0.097	-0.639	-0.034	0.000	-0.43	0.96	-0.14	-0.01	-0.09	0.21	0	-0.639	-0.035	-0.016	0.000	-0.000	0.004
0.106	-0.638	-0.035	0.000	-0.37	0.91	-0.14	0.24	0.08	-0.11	0	-0.639	-0.035	-0.020	0.000	-0.000	0.006
0.118	-0.638	-0.035	0.000	-0.36	0.91	-0.14	0.16	-0.18	-0.02	0	-0.638	-0.035	-0.024	0.000	-0.000	0.007
0.127	-0.639	-0.035	0.000	-0.36	0.97	-0.14	0.22	-0.22	0.03	0	-0.639	-0.035	-0.028	0.000	-0.000	0.010
0.134	-0.637	-0.035	0.000	-0.40	0.88	-0.15	0.04	-0.06	0.20	0	-0.638	-0.035	-0.032	0.000	-0.000	0.012
0.147	-0.638	-0.034	0.000	-0.44	0.92	-0.15	-0.11	-0.22	0.07	0	-0.638	-0.035	-0.036	0.000	-0.000	0.015
0.157	-0.639	-0.035	0.000	-0.39	0.96	-0.14	0.26	-0.01	-0.09	0	-0.638	-0.035	-0.041	0.000	-0.000	0.018
0.168	-0.638	-0.035	0.000	-0.35	0.90	-0.14	0.06	-0.11	-0.18	0	-0.638	-0.035	-0.045	0.000	-0.000	0.021
0.175	-0.638	-0.035	0.000	-0.35	0.90	-0.14	0.18	0.15	-0.15	0	-0.638	-0.035	-0.049	0.000	-0.000	0.025
0.183	-0.638	-0.036	0.000	-0.35	0.93	-0.14	0.03	-0.32	0.04	0	-0.638	-0.035	-0.053	0.000	-0.000	0.029
0.191	-0.638	-0.036	0.000	-0.35	0.93	-0.14	-0.08	-0.12	0.17	0	-0.638	-0.035	-0.058	0.000	-0.000	0.033
0.207	-0.638	-0.034	0.000	-0.40	0.93	-0.14	-0.09	-0.10	0.08	0	-0.638	-0.035	-0.062	0.000	-0.000	0.038
0.217	-0.639	-0.035	0.000	-0.39	0.95	-0.14	0.06	0.15	0.05	0	-0.638	-0.035	-0.066	0.000	-0.000	0.043
0.224	-0.637	-0.035	0.000	-0.39	0.88	-0.15	-0.28	-0.17	-0.13	0	-0.638	-0.035	-0.071	0.000	-0.000	0.049
0.234	-0.638	-0.034	0.000	-0.44	0.93	-0.15	0.07	-0.05	0.03	0	-0.638	-0.035	-0.075	0.000	-0.000	0.054
0.244	-0.638	-0.034	0.000	-0.43	0.92	-0.15	0.03	0.09	-0.24	0	-0.638	-0.035	-0.079	0.000	0.000	0.060
0.255	-0.639	-0.035	0.000	-0.36	0.97	-0.13	-0.05	-0.07	0.12	0	-0.638	-0.035	-0.083	0.000	-0.000	0.067
0.263	-0.639	-0.035	0.000	-0.38	0.96	-0.14	-0.07	0.07	-0.24	0	-0.638	-0.035	-0.087	0.000	-0.000	0.073
0.277	-0.637	-0.035	0.000	-0.35	0.88	-0.14	0.20	-0.21	-0.01	0	-0.638	-0.035	-0.092	0.000	-0.000	0.080
0.283	-0.639	-0.035	0.000	-0.39	0.96	-0.14	0.06	-0.12	0.02	0	-0.638	-0.035	-0.096	0.000	-0.000	0.087
0.293	-0.638	-0.035	0.000	-0.35	0.92	-0.14	0.28	-0.14	0.13	0	-0.638	-0.035	-0.100	0.000	-0.000	0.095
0.308	-0.638	-0.035	0.000	-0.36	0.91	-0.14	0.21	0.05	0.07	0	-0.638	-0.035	-0.104	0.000	-0.000	0.103
0.315	-0.637	-0.035	0.000	-0.39	0.88	-0.15	-0.05	-0.26	0.12	0	-0.638	-0.035	-0.108	0.000	-0.000	0.111
0.327	-0.644	-0.037	0.000	-0.31	1.20	-0.09	0.13	-0.05	-0.10	0	-0.639	-0.035	-0.111	-0.000	-0.000	0.119
0.333	-0.644	-0.036	0.000	-0.35	1.15	-0.11	-0.05	-0.33	-0.13	0	-0.640	-0.035	-0.115	-0.000	-0.000	0.128
0.344	-0.642	-0.036	0.000	-0.34	1.08	-0.11	0.20	-0.10	-0.02	0	-0.640	-0.035	-0.119	-0.001	-0.000	0.137
0.357	-0.643	-0.036	0.000	-0.36	1.08	-0.12	0.01	-0.02	-0.13	0	-0.640	-0.035	-0.123	-0.001	-0.000	0.147
0.367	-0.643	-0.035	0.000	-0.37	1.11	-0.12	0.31	-0.23	0.20	0	-0.641	-0.035	-0.127	-0.001	-0.000	0.156
0.376	-0.645	-0.037	0.000	-0.32	1.19	-0.10	0.14	-0.08	0.13	0	-0.641	-0.036	-0.130	-0.001	-0.000	0.166
0.385	-0.648	-0.039	0.000	-0.24	1.27	-0.08	-0.02	-0.11	0.13	0	-0.642	-0.036	-0.134	-0.002	-0.001	0.176
0.393	-0.648	-0.038	0.000	-0.29	1.25	-0.08	0.09	0.19	-0.22	0	-0.643	-0.036	-0.138	-0.002	-0.001	0.187
0.409	-0.648	-0.038	0.000	-0.29	1.25	-0.08	0.29	-0.09	0.16	0	-0.643	-0.036	-0.141	-0.002	-0.001	0.197
0.415	-0.648	-0.039	0.000	-0.25	1.23	-0.09	0.15	-0.06	-0.20	0	-0.644	-0.037	-0.145	-0.003	-0.001	0.208
0.426	-0.648	-0.037	0.000	-0.34	1.21	-0.09	0.19	-0.21	0.05	0	-0.645	-0.037	-0.148	-0.003	-0.001	0.220
0.435	-0.649	-0.037	0.000	-0.34	1.21	-0.09	-0.18	-0.42	0.07	0	-0.645	-0.037	-0.151	-0.003	-0.001	0.231
0.448	-0.648	-0.038	0.000	-0.30	1.17	-0.10	-0.00	-0.15	0.20	0	-0.646	-0.037	-0.155	-0.003	-0.001	0.243
0.452	-0.651	-0.037	0.000	-0.34	1.29	-0.07	0.30	-0.01	0.11	0	-0.646	-0.037	-0.158	-0.004	-0.001	0.255
0.466	-0.649	-0.039	0.000	-0.27	1.16	-0.10	-0.26	-0.13	0.06	0	-0.647	-0.037	-0.161	-0.004	-0.001	0.267
0.477	-0.649	-0.038	0.000	-0.30	1.16	-0.10	0.18	-0.17	-0.10	0	-0.647	-0.037	-0.165	-0.004	-0.001	0.280
0.485	-0.648	-0.038	0.000	-0.33	1.12	-0.10	0.21	0.15	0.12	0	-0.647	-0.038	-0.168	-0.004	-0.001	0.292
0.499	-0.648	-0.038	0.000	-0.32	1.09	-0.11	-0.19	0.02	-0.12	0	-0.647	-0.038	-0.171	-0.004	-0.001	0.305
0.502	-0.649	-0.037	0.000	-0.38	1.10	-0.10	0.17	-0.03	-0.07	0	-0.648	-0.038	-0.174	-0.004	-0.001	0.319
0.516	-0.649	-0.037	0.000	-0.38	1.10	-0.10	0.11	-0.23	-0.04	0	-0.648	-0.037	-0.177	-0.004	-0.001	0.332
0.524	-0.649	-0.037	0.000	-0.37	1.10	-0.10	0.05	-0.29	-0.04	0	-0.648	-0.037	-0.180	-0.004	-0.001	0.346
0.536	-0.648	-0.039	0.000	-0.30	1.05	-0.12	0.08	0.01	-0.10	0	-0.648	-0.038	-0.183	-0.004	-0.001	0.360
0.544	-0.648	-0.043	0.000	-0.14	1.04	-0.13	0.06	-0.19	-0.16	0	-0.648	-0.038	-0.186	-0.004	-0.002	0.374
