t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.020	-0.184	-0.179	0.000	0.58	1.94	17.73	-0.06	-0.05	-0.11	0	-0.184	-0.179	0.000	-0.000	0.000	0.000
0.030	-0.181	-0.181	0.000	0.70	1.84	17.70	0.14	-0.04	0.04	0	-0.184	-0.179	-0.001	0.000	-0.000	0.000
0.041	-0.181	-0.181	0.000	0.70	1.84	17.69	-0.14	-0.21	-0.07	0	-0.184	-0.179	-0.002	0.000	-0.000	0.000
0.051	-0.179	-0.182	-0.000	0.74	1.79	17.67	0.08	-0.16	0.06	0	-0.183	-0.180	-0.004	0.001	-0.000	0.001
0.062	-0.179	-0.183	-0.000	0.75	1.78	17.65	0.24	0.07	0.12	0	-0.182	-0.180	-0.007	0.001	-0.000	0.001
0.072	-0.182	-0.181	0.000	0.60	1.92	17.64	0.14	-0.36	0.10	0	-0.182	-0.180	-0.010	0.001	-0.001	0.002
0.079	-0.182	-0.181	0.000	0.60	1.92	17.62	0.15	-0.13	0.05	0	-0.182	-0.180	-0.013	0.001	-0.001	0.003
0.088	-0.182	-0.181	0.000	0.57	1.90	17.60	-0.12	-0.13	0.03	0	-0.182	-0.180	-0.016	0.001	-0.001	0.004
0.103	-0.182	-0.182	0.000	0.60	1.96	17.59	0.27	-0.08	-0.07	0	-0.182	-0.181	-0.020	0.001	-0.001	0.006
0.108	-0.183	-0.178	0.000	0.41	1.95	17.57	0.08	-0.11	0.16	0	-0.182	-0.180	-0.024	0.001	-0.001	0.007
0.119	-0.183	-0.178	0.000	0.41	1.91	17.55	-0.09	-0.26	-0.12	0	-0.182	-0.180	-0.028	0.001	-0.001	0.010
0.131	-0.184	-0.178	0.000	0.35	1.99	17.53	0.06	0.12	0.10	0	-0.183	-0.180	-0.032	0.001	-0.000	0.012
0.140	-0.184	-0.178	0.000	0.35	1.95	17.52	-0.06	-0.22	0.03	0	-0.183	-0.180	-0.036	0.001	-0.000	0.015
0.150	-0.181	-0.179	0.000	0.43	1.86	17.50	-0.07	-0.27	0.02	0	-0.183	-0.180	-0.040	0.001	-0.000	0.018
0.163	-0.182	-0.178	0.000	0.39	1.91	17.48	0.25	-0.36	0.07	0	-0.183	-0.179	-0.045	0.001	-0.000	0.021
0.172	-0.184	-0.178	0.000	0.33	1.95	17.46	-0.07	0.12	-0.19	0	-0.183	-0.179	-0.049	0.001	-0.000	0.025
0.181	-0.183	-0.178	0.000	0.36	1.93	17.45	0.08	-0.10	0.01	0	-0.183	-0.179	-0.053	0.001	-0.000	0.029
0.192	-0.183	-0.180	0.000	0.41	1.97	17.43	0.10	-0.18	0.10	0	-0.183	-0.179	-0.057	0.001	-0.000	0.033
0.197	-0.183	-0.179	0.000	0.38	1.93	17.41	-0.02	-0.13	-0.11	0	-0.183	-0.179	-0.062	0.001	-0.000	0.038
0.213	-0.183	-0.179	0.000	0.36	1.93	17.39	0.04	0.16	0.14	0	-0.183	-0.179	-0.066	0.001	-0.000	0.043
0.218	-0.183	-0.179	0.000	0.36	1.93	17.38	-0.11	0.00	-0.04	0	-0.183	-0.179	-0.070	0.001	-0.000	0.049
