t	x	y	z	roll	pitch	yaw	g_x	g_y	g_z	thrust	eso_x	eso_y	eso_z	dist_x	dist_y	dist_z
0.025	-0.235	-0.113	0.000	0.58	1.83	-0.23	0.13	-0.37	-0.23	0	-0.235	-0.113	0.000	-0.000	-0.000	0.000
0.036	-0.237	-0.115	0.000	0.66	1.89	-0.20	-0.05	-0.00	0.29	0	-0.235	-0.114	-0.001	-0.000	-0.000	0.000
0.044	-0.236	-0.114	0.000	0.64	1.88	-0.21	0.25	-0.35	-0.07	0	-0.235	-0.114	-0.002	-0.000	-0.000	0.000
0.055	-0.236	-0.115	0.000	0.66	1.87	-0.20	0.07	-0.00	0.03	0	-0.236	-0.114	-0.004	-0.000	-0.000	0.001
0.065	-0.236	-0.114	0.000	0.65	1.87	-0.20	0.03	-0.44	-0.03	0	-0.236	-0.114	-0.007	-0.000	-0.000	0.001
0.076	-0.235	-0.116	0.000	0.71	1.82	-0.19	0.09	-0.19	0.06	0	-0.236	-0.114	-0.010	-0.000	-0.000	0.002
0.081	-0.237	-0.114	0.000	0.65	1.88	-0.20	-0.05	-0.26	-0.28	0	-0.236	-0.114	-0.013	-0.000	-0.000	0.003
0.092	-0.237	-0.114	0.000	0.64	1.88	-0.20	-0.14	-0.09	0.02	0	-0.236	-0.114	-0.016	-0.000	-0.000	0.004
0.101	-0.237	-0.114	0.000	0.66	1.87	-0.20	-0.06	-0.22	0.21	0	-0.236	-0.114	-0.020	-0.000	-0.000	0.006
0.114	-0.237	-0.111	0.000	0.54	1.88	-0.24	0.08	-0.19	-0.19	0	-0.236	-0.114	-0.024	-0.000	-0.000	0.007
0.125	-0.239	-0.114	0.000	0.67	1.97	-0.17	0.32	-0.01	0.18	0	-0.237	-0.114	-0.028	-0.001	-0.000	0.010
0.134	-0.244	-0.114	0.000	0.66	2.14	-0.13	-0.05	-0.13	-0.06	0	-0.237	-0.114	-0.032	-0.001	-0.000	0.012
0.145	-0.244	-0.113	0.000	0.63	2.13	-0.15	-0.09	-0.26	-0.01	0	-0.238	-0.114	-0.036	-0.001	-0.000	0.015
0.153	-0.244	-0.113	0.000	0.62	2.11	-0.15	-0.14	-0.15	-0.09	0	-0.239	-0.114	-0.040	-0.001	-0.000	0.018
0.164	-0.243	-0.115	0.000	0.70	2.08	-0.14	0.10	-0.15	-0.02	0	-0.239	-0.114	-0.045	-0.002	-0.000	0.021
0.178	-0.243	-0.115	0.000	0.70	2.06	-0.14	-0.05	-0.10	0.14	0	-0.240	-0.114	-0.049	-0.002	-0.000	0.025
0.180	-0.244	-0.114	0.000	0.67	2.06	-0.15	0.12	0.05	0.11	0	-0.240	-0.114	-0.053	-0.002	-0.000	0.029
0.195	-0.243	-0.113	0.000	0.65	2.00	-0.17	0.12	-0.13	0.03	0	-0.241	-0.114	-0.058	-0.002	-0.000	0.033
0.206	-0.243	-0.113	0.000	0.64	2.01	-0.17	0.04	-0.09	0.06	0	-0.241	-0.114	-0.062	-0.002	-0.000	0.038
0.217	-0.243	-0.114	0.000	0.69	1.99	-0.16	0.06	-0.39	0.16	0	-0.241	-0.114	-0.066	-0.002	-0.000	0.043
0.221	-0.243	-0.114	0.000	0.68	1.99	-0.16	-0.16	-0.16	0.08	0	-0.242	-0.114	-0.070	-0.002	-0.000	0.049
0.234	-0.245	-0.113	0.000	0.67	2.04	-0.15	0.05	-0.20	0.29	0	-0.242	-0.114	-0.075	-0.002	-0.000	0.054
0.241	-0.244	-0.115	0.000	0.72	1.98	-0.16	-0.13	-0.30	0.10	0	-0.242	-0.114	-0.079	-0.003	-0.000	0.060
0.252	-0.245	-0.113	0.000	0.66	2.02	-0.16	0.15	-0.22	-0.05	0	-0.243	-0.114	-0.083	-0.003	-0.000	0.067
0.262	-0.243	-0.114	0.000	0.68	1.94	-0.18	-0.08	-0.22	0.17	0	-0.243	-0.114	-0.087	-0.003	-0.000	0.073
0.275	-0.244	-0.114	0.000	0.70	1.94	-0.17	0.05	-0.28	-0.08	0	-0.243	-0.114	-0.091	-0.003	-0.000	0.080
0.284	-0.244	-0.113	0.000	0.65	1.93	-0.18	-0.04	-0.12	0.19	0	-0.243	-0.114	-0.095	-0.003	-0.000	0.087
0.296	-0.243	-0.118	0.000	0.87	1.90	-0.14	0.13	-0.13	0.25	0	-0.243	-0.114	-0.099	-0.003	-0.000	0.095
0.305	-0.244	-0.119	0.000	0.89	1.91	-0.14	-0.18	-0.44	-0.04	0	-0.243	-0.115	-0.103	-0.003	-0.000	0.103
0.316	-0.244	-0.116	0.000	0.76	1.93	-0.16	0.25	-0.17	0.09	0	-0.244	-0.115	-0.107	-0.003	-0.000	0.111
0.321	-0.244	-0.112	0.000	0.59	1.90	-0.21	0.15	-0.28	0.02	0	-0.244	-0.115	-0.111	-0.003	-0.000	0.119
0.335	-0.245	-0.111	0.000	0.54	1.94	-0.21	-0.15	-0.23	-0.17	0	-0.244	-0.114	-0.115	-0.003	-0.000	0.128
0.344	-0.245	-0.111	0.000	0.58	1.93	-0.21	0.10	-0.40	0.04	0	-0.244	-0.114	-0.119	-0.003	-0.000	0.137
0.352	-0.244	-0.112	0.000	0.60	1.87	-0.22	0.06	-0.26	0.00	0	-0.244	-0.114	-0.123	-0.003	0.000	0.147
0.362	-0.244	-0.112	0.000	0.63	1.87	-0.21	-0.14	-0.12	-0.15	0	-0.244	-0.113	-0.126	-0.003	0.000	0.156
0.375	-0.244	-0.111	0.000	0.57	1.89	-0.22	0.02	-0.03	0.00	0	-0.244	-0.113	-0.130	-0.003	0.000	0.166
0.384	-0.244	-0.112	0.000	0.64	1.87	-0.21	0.03	-0.38	-0.07	0	-0.244	-0.113	-0.134	-0.003	0.000	0.176
0.393	-0.244	-0.111	0.000	0.60	1.85	-0.22	-0.01	-0.18	-0.24	0	-0.244	-0.113	-0.137	-0.003	0.000	0.187
0.404	-0.244	-0.111	0.000	0.60	1.85	-0.22	-0.08	-0.15	0.25	0	-0.244	-0.113	-0.141	-0.003	0.000	0.197
0.414	-0.244	-0.112	0.000	0.63	1.85	-0.21	0.01	-0.16	-0.04	0	-0.244	-0.113	-0.144	-0.003	0.000	0.208
0.427	-0.248	-0.110	0.000	0.56	2.02	-0.19	-0.07	0.09	0.15	0	-0.245	-0.112	-0.148	-0.003	0.001	0.220
0.435	-0.247	-0.112	0.000	0.63	1.97	-0.18	0.27	-0.09	-0.10	0	-0.245	-0.112	-0.151	-0.003	0.001	0.231
0.445	-0.246	-0.111	0.000	0.61	1.90	-0.20	0.23	-0.18	-0.17	0	-0.245	-0.112	-0.155	-0.003	0.001	0.243
0.455	-0.249	-0.111	0.000	0.59	2.03	-0.18	0.18	-0.44	0.09	0	-0.246	-0.112	-0.158	-0.003	0.001	0.255
0.465	-0.248	-0.111	0.000	0.59	1.96	-0.19	-0.00	-0.23	0.08	0	-0.246	-0.112	-0.161	-0.003	0.001	0.267
0.477	-0.247	-0.111	0.000	0.60	1.91	-0.20	0.11	-0.24	0.10	0	-0.246	-0.112	-0.165	-0.003	0.001	0.280
0.484	-0.246	-0.106	0.000	0.39	1.86	-0.27	-0.14	-0.06	-0.09	0	-0.246	-0.111	-0.168	-0.003	0.001	0.292
0.493	-0.246	-0.105	0.000	0.37	1.89	-0.27	-0.09	-0.11	-0.14	0	-0.246	-0.110	-0.171	-0.003	0.001	0.305
