t,mode,px,py,pz,ref_px,ref_py,ref_pz,pos_error,yaw
21.392,CIRCLE,-0.4642671105961353,0.37888494508651976,0.5009853681067362,-0.4221639627510632,0.23208660251058943,0.5,0.15272000324715151,0.0027738308959950335
21.400000000000002,CIRCLE,-0.46365241969709536,0.3765528082334538,0.5009847860096472,-0.4208119555781632,0.22996796848802914,0.5,0.15271997384953329,0.0027738341933420813
21.408,CIRCLE,-0.4630260146241339,0.3742237909008877,0.500984204254684,-0.41944931611397634,0.22785615713098056,0.5,0.1527199447566092,0.002773829809842679
21.416,CIRCLE,-0.4623879111942045,0.3718979519255911,0.5009836228407746,-0.41807607878713365,0.22575122179675178,0.5,0.15271991596552503,0.0027738342800879313
21.424,CIRCLE,-0.46173812552631044,0.3695753500622443,0.5009830417617821,-0.4166922782940335,0.2236532156689212,0.5,0.15271988747338075,0.002773832977631231
21.432000000000002,CIRCLE,-0.46107667402747704,0.36725604398654255,0.500982461017442,-0.4152979495979641,0.22156219175599223,0.5,0.1527198592777688,0.002773834769115555
21.44,CIRCLE,-0.46040357340326793,0.3649400922908155,0.5009818806140142,-0.4138931279282224,0.21947820289005682,0.5,0.15271983137715253,0.0027738334272326888
21.448,CIRCLE,-0.4597188406535062,0.36262755348290165,0.5009813005317969,-0.4124778487792204,0.2174013017254563,0.5,0.1527198037699006,0.0027738362262761736
21.456,CIRCLE,-0.4590224930725585,0.36031848598397576,0.5009807207875462,-0.4110521479095909,0.21533154073745397,0.5,0.15271977645424734,0.002773837240282374
21.464000000000002,CIRCLE,-0.4583145482453872,0.35801294812847606,0.5009801413801573,-0.4096160613412826,0.21326897222090768,0.5,0.1527197494281767,0.0027738426038772966
21.472,CIRCLE,-0.4575950240511448,0.35571099816139296,0.5009795623081311,-0.4081696253586524,0.21121364828895162,0.5,0.15271972268959258,0.002773843612439505
21.48,CIRCLE,-0.4568639386595198,0.35341269423830135,0.5009789835698549,-0.4067128765075452,0.209165620871675,0.5,0.15271969623672693,0.0027738506593462456
21.488,CIRCLE,-0.4561213105368286,0.35111809442178055,0.5009784051648525,-0.4052458515943728,0.20712494171481316,0.5,0.1527196700682795,0.0027738564196133487
21.496000000000002,CIRCLE,-0.45536715843709225,0.34882725668245923,0.5009778270881321,-0.40376858768518276,0.20509166237843857,0.5,0.15271964418300651,0.0027738626395311583
21.504,CIRCLE,-0.45460150140534267,0.34654023889488167,0.5009772493390712,-0.40228112210472416,0.20306583423566094,0.5,0.15271961857845615,0.0027738694194366417
21.512,CIRCLE,-0.4538243587770951,0.3442570988376412,0.5009766719083074,-0.4007834924355013,0.20104750847132502,0.5,0.1527195932523767,0.0027738801379413084
21.52,CIRCLE,-0.45303575017809466,0.34197789419250396,0.5009760948042454,-0.3992757365168261,0.1990367360807202,0.5,0.1527195682035037,0.00277389827039847
21.528,CIRCLE,-0.4522356955230192,0.3397026825434246,0.5009755180233367,-0.3977578924438618,0.19703356786829124,0.5,0.15271954343151914,0.002773910940850265
21.536,CIRCLE,-0.4514242150099248,0.33743152137640725,0.5009749415785956,-0.39622999856665964,0.19503805444635403,0.5,0.1527195189366043,0.002773927621140659
21.544,CIRCLE,-0.4506013291328172,0.3351644680716816,0.5009743654602204,-0.39469209348919226,0.19305024623381972,0.5,0.15271949471788293,0.0027739415073655214
21.552,CIRCLE,-0.44976705867549877,0.3329015799053115,0.5009737896678743,-0.3931442160683751,0.19107019345491633,0.5,0.15271947077458625,0.0027739592120487456
