t,mode,px,py,pz,ref_px,ref_py,ref_pz,pos_error,yaw
0.41600000000000004,TAKEOFF,0.0,0.0,0.019990147473915153,0.0,0.0,0.5,0.48000985252608486,0.0
0.424,TAKEOFF,0.0,0.0,0.019990190790604927,0.0,0.0,0.5,0.48000980920939507,0.0
0.432,TAKEOFF,0.0,0.0,0.019990233036420193,0.0,0.0,0.5,0.48000976696357983,0.0
0.44,TAKEOFF,0.0,0.0,0.019990274573295573,0.0,0.0,0.5,0.48000972542670445,0.0
0.448,TAKEOFF,0.0,0.0,0.019990315690717967,0.0,0.0,0.5,0.48000968430928204,0.0
0.456,TAKEOFF,0.0,0.0,0.019990356620228272,0.0,0.0,0.5,0.4800096433797717,0.0
0.464,TAKEOFF,0.0,0.0,0.01999039754702031,0.0,0.0,0.5,0.4800096024529797,0.0
0.47200000000000003,TAKEOFF,0.0,0.0,0.019990438619218034,0.0,0.0,0.5,0.480009561380782,0.0
0.48,TAKEOFF,0.0,0.0,0.019990479955295723,0.0,0.0,0.5,0.48000952004470426,0.0
0.488,TAKEOFF,0.0,0.0,0.019990521650012905,0.0,0.0,0.5,0.4800094783499871,0.0
0.496,TAKEOFF,0.0,0.0,0.01999056377916128,0.0,0.0,0.5,0.4800094362208387,0.0
0.504,TAKEOFF,0.0,0.0,0.01999060640336148,0.0,0.0,0.5,0.4800093935966385,0.0
0.512,TAKEOFF,0.0,0.0,0.01999064957109983,0.0,0.0,0.5,0.4800093504289002,0.0
0.52,TAKEOFF,0.0,0.0,0.01999069332115724,0.0,0.0,0.5,0.4800093066788428,0.0
0.528,TAKEOFF,0.0,0.0,0.019990737684551927,0.0,0.0,0.5,0.48000926231544805,0.0
0.536,TAKEOFF,0.0,0.0,0.019990782686093257,0.0,0.0,0.5,0.4800092173139067,0.0
0.544,TAKEOFF,0.0,0.0,0.019990828345624552,0.0,0.0,0.5,0.48000917165437545,0.0
0.552,TAKEOFF,0.0,0.0,0.019990874679017136,0.0,0.0,0.5,0.4800091253209829,0.0
0.56,TAKEOFF,0.0,0.0,0.019990921698965405,0.0,0.0,0.5,0.4800090783010346,0.0
0.5680000000000001,TAKEOFF,0.0,0.0,0.019990969415622742,0.0,0.0,0.5,0.48000903058437727,0.0
0.5760000000000001,TAKEOFF,0.0,0.0,0.01999101783711015,0.0,0.0,0.5,0.48000898216288984,0.0
0.584,TAKEOFF,0.0,0.0,0.01999106696992306,0.0,0.0,0.5,0.48000893303007697,0.0
0.592,TAKEOFF,0.0,0.0,0.019991116819256735,0.0,0.0,0.5,0.48000888318074325,0.0
0.6,TAKEOFF,0.0,0.0,0.01999116738926651,0.0,0.0,0.5,0.4800088326107335,0.0
0.608,TAKEOFF,0.0,0.0,0.01999121868327595,0.0,0.0,0.5,0.48000878131672403,0.0
0.616,TAKEOFF,0.0,0.0,0.019991270703943357,0.0,0.0,0.5,0.48000872929605665,0.0
0.624,TAKEOFF,0.0,0.0,0.01999132345339492,0.0,0.0,0.5,0.48000867654660506,0.0
0.632,TAKEOFF,0.0,0.0,0.019991376933331237,0.0,0.0,0.5,0.48000862306666875,0.0
0.64,TAKEOFF,0.0,0.0,0.019991431145112495,0.0,0.0,0.5,0.4800085688548875,0.0
0.648,TAKEOFF,0.0,0.0,0.01999148608982662,0.0,0.0,0.5,0.4800085139101734,0.0
0.656,TAKEOFF,0.0,0.0,0.019991541768343772,0.0,0.0,0.5,0.4800084582316562,0.0
0.664,TAKEOFF,0.0,0.0,0.019991598181359923,0.0,0.0,0.5,0.4800084018186401,0.0
0.672,TAKEOFF,0.0,0.0,0.019991655329431746,0.0,0.0,0.5,0.48000834467056824,0.0
0.68,TAKEOFF,0.0,0.0,0.019991713213004476,0.0,0.0,0.5,0.48000828678699553,0.0
0.6880000000000001,TAKEOFF,0.0,0.0,0.019991771832434235,0.0,0.0,0.5,0.4800082281675658,0.0
0.6960000000000001,TAKEOFF,0.0,0.0,0.019991831188005852,0.0,0.0,0.5,0.48000816881199415,0.0
0.704,TAKEOFF,0.0,0.0,0.01999189127994715,0.0,0.0,0.5,0.48000810872005284,0.0
0.712,TAKEOFF,0.0,0.0,0.019991952108440344,0.0,0.0,0.5,0.48000804789155965,0.0
0.72,TAKEOFF,0.0,0.0,0.019992013673631178,0.0,0.0,0.5,0.4800079863263688,0.0
0.728,TAKEOFF,0.0,0.0,0.019992075975636223,0.0,0.0,0.5,0.48000792402436376,0.0
