# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.129	-0.203	0.078	0.003	-0.58	-3.24	2.51
0.232	-0.202	0.077	0.002	-0.49	-3.33	2.49
0.332	-0.201	0.076	0.002	-0.41	-3.39	2.46
0.429	-0.201	0.075	0.001	-0.40	-3.36	2.44
0.533	-0.200	0.074	0.001	-0.40	-3.35	2.42
0.631	-0.199	0.073	0.002	-0.42	-3.34	2.39
0.730	-0.200	0.073	0.002	-0.50	-3.26	2.37
0.833	-0.201	0.072	0.001	-0.48	-3.24	2.35
0.931	-0.196	0.075	0.001	-0.57	-3.36	2.32
1.029	-0.201	0.074	0.002	-0.50	-3.11	2.30
1.132	-0.201	0.074	0.003	-0.51	-3.15	2.27
1.230	-0.200	0.074	0.002	-0.48	-3.20	2.25
1.329	-0.202	0.079	0.003	-0.63	-3.15	2.24
1.432	-0.002	-0.000	0.002	-0.30	-0.37	-0.00
1.532	-0.010	-0.002	0.001	0.10	0.18	0.00
1.631	-0.010	-0.002	0.003	-0.40	-1.89	-0.01
1.733	0.002	0.000	0.002	-0.71	-3.60	-0.03
1.833	0.000	-0.000	0.003	-0.63	-3.21	-0.02
1.929	-0.004	0.004	0.003	-0.83	-2.94	-0.04
2.033	-0.003	-0.009	0.001	-0.16	-3.10	0.03
2.130	-0.003	-0.007	0.002	-0.43	-3.13	-0.00
2.229	-0.002	-0.009	0.002	-0.43	-3.17	-0.00
2.328	-0.002	-0.008	0.002	-0.51	-3.17	-0.01
2.431	-0.002	-0.011	0.003	-0.44	-3.18	-0.00
2.529	-0.002	-0.011	0.003	-0.51	-3.18	-0.01
2.632	-0.002	-0.011	0.002	-0.53	-3.20	-0.01
2.738	-0.001	-0.010	0.002	-0.57	-3.23	-0.01
2.830	-0.003	-0.011	0.001	-0.55	-3.16	-0.01
2.929	-0.004	-0.010	0.000	-0.60	-3.10	-0.02
3.028	-0.003	-0.010	0.001	-0.59	-3.16	-0.01
3.131	-0.011	-0.012	0.001	-0.48	-2.87	-0.01
3.235	-0.013	-0.012	0.002	-0.53	-2.95	-0.01
3.329	-0.012	-0.010	0.002	-0.62	-3.17	-0.01
3.439	-0.011	-0.011	0.002	-0.55	-3.26	-0.01
3.531	-0.015	-0.011	0.001	-0.55	-3.08	-0.02
3.630	-0.017	-0.011	0.001	-0.43	-2.93	-0.15
3.728	-0.024	-0.010	0.001	-0.42	-2.44	-0.14
3.832	-0.032	-0.007	0.000	-0.45	-1.80	-0.28
3.929	-0.029	-0.010	0.001	-0.39	1.75	-0.15
4.032	-0.014	-0.017	0.002	-0.60	5.44	0.06
