# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.129	-0.021	-0.112	0.002	-0.69	-2.90	-0.86
0.229	-0.022	-0.113	0.002	-0.64	-3.06	-0.85
0.330	-0.022	-0.114	0.002	-0.60	-3.22	-0.85
0.429	-0.014	-0.108	0.002	-0.82	-3.61	-0.86
0.530	-0.016	-0.111	0.002	-0.60	-3.39	-0.84
0.629	-0.016	-0.112	0.003	-0.59	-3.34	-0.83
0.729	-0.015	-0.111	0.002	-0.60	-3.37	-0.82
0.828	-0.012	-0.109	0.002	-0.68	-3.46	-0.82
0.930	-0.014	-0.108	0.002	-0.71	-3.28	-0.81
1.029	-0.013	-0.111	0.002	-0.55	-3.26	-0.80
1.129	-0.013	-0.112	0.003	-0.54	-3.25	-0.79
1.227	-0.013	-0.109	0.002	-0.66	-3.25	-0.78
1.325	0.000	0.000	0.000	0.00	0.00	0.00
1.430	-0.009	0.002	0.001	-0.80	1.42	0.01
1.527	-0.014	0.004	0.003	-0.75	-1.41	0.01
1.630	-0.022	0.001	0.003	-0.17	-1.93	0.02
1.727	-0.017	0.002	0.002	-0.44	-3.30	-0.01
1.825	-0.023	-0.000	0.002	-0.39	-3.15	-0.01
1.929	-0.023	-0.007	0.002	-0.03	-3.46	0.03
2.027	-0.006	-0.001	0.001	-0.55	-4.25	-0.05
2.126	-0.020	-0.006	0.001	-0.37	-3.40	-0.01
2.229	-0.020	-0.005	0.002	-0.53	-3.41	-0.04
2.326	-0.020	-0.005	0.001	-0.61	-3.43	-0.05
2.425	-0.015	-0.011	0.001	-0.41	-3.60	-0.02
2.526	-0.016	-0.010	0.002	-0.54	-3.51	-0.04
2.625	-0.021	-0.022	0.003	-0.18	-3.24	0.00
2.728	-0.020	-0.021	0.004	-0.48	-3.31	-0.02
2.826	-0.018	-0.024	0.003	-0.41	-3.41	-0.02
2.925	-0.019	-0.018	0.004	-0.79	-3.32	-0.04
3.028	-0.020	-0.018	0.003	-0.78	-3.28	-0.04
3.126	-0.020	-0.017	0.002	-0.84	-3.28	-0.04
3.229	-0.020	-0.018	0.002	-0.78	-3.25	-0.04
3.331	-0.019	-0.018	0.001	-0.70	-3.25	-0.03
3.430	-0.019	-0.017	0.001	-0.71	-3.25	-0.03
3.528	-0.019	-0.018	0.002	-0.66	-3.23	-0.02
3.627	-0.018	-0.017	0.002	-0.64	-2.99	-0.02
3.726	-0.026	-0.019	0.001	-0.45	-2.48	-0.42
3.825	-0.031	-0.022	0.001	-0.34	-1.92	-0.80
3.927	-0.031	-0.025	0.001	-0.33	0.24	-0.51
4.027	-0.024	-0.024	0.002	-0.86	5.02	-0.31
4.129	-0.009	-0.023	0.003	-1.68	3.48	-0.27
4.227	0.016	-0.026	0.002	-1.16	2.63	-0.57
4.328	0.028	-0.022	0.009	-0.26	4.65	-1.03
4.427	0.023	-0.019	0.024	-0.03	3.40	-1.81
4.525	0.020	-0.021	0.028	1.28	0.66	-2.68
4.635	0.014	-0.028	0.046	-0.36	0.24	-3.93
4.729	0.004	-0.029	0.070	0.07	-1.30	-5.25
4.826	-0.009	-0.034	0.089	-1.00	-0.79	-6.16
4.927	-0.017	-0.036	0.101	-0.43	-1.54	-6.62
5.027	-0.020	-0.036	0.111	-0.61	-1.96	-6.98
5.128	-0.022	-0.032	0.129	-0.09	-1.11	-6.77
5.225	-0.026	-0.031	0.146	0.28	-0.64	-6.06
5.326	-0.016	-0.031	0.173	0.12	-0.36	-5.25
5.426	-0.020	-0.031	0.206	0.26	0.40	-4.57
5.527	-0.022	-0.033	0.239	0.30	0.14	-4.08
5.624	-0.012	-0.039	0.264	-0.02	0.21	-3.66
5.727	-0.005	-0.041	0.294	-0.27	0.34	-3.23
