# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.125	-0.171	0.250	0.003	-0.57	-3.36	-0.29
0.227	-0.175	0.245	0.003	-0.45	-3.10	-0.26
0.325	-0.174	0.245	0.003	-0.56	-3.12	-0.25
0.423	-0.175	0.246	0.002	-0.65	-3.11	-0.23
0.525	-0.176	0.245	0.002	-0.68	-3.06	-0.22
0.627	-0.174	0.245	0.003	-0.67	-3.13	-0.23
0.725	-0.173	0.248	0.003	-0.85	-3.18	-0.17
0.826	-0.173	0.249	0.002	-0.82	-3.15	-0.18
0.924	-0.172	0.250	0.003	-0.75	-3.19	-0.18
1.026	-0.175	0.252	0.003	-0.72	-3.02	-0.22
1.124	-0.170	0.247	0.003	-0.47	-3.20	-0.25
1.227	-0.170	0.248	0.003	-0.60	-3.14	-0.21
1.326	-0.172	0.252	0.003	-0.74	-3.08	-0.16
1.424	-0.174	0.249	0.003	-0.63	-3.04	-0.19
1.526	-0.001	-0.002	0.005	-0.09	-0.27	0.00
1.626	-0.001	-0.002	0.003	-0.70	-2.00	-0.01
1.724	-0.003	0.001	0.002	-1.26	-2.18	-0.02
1.823	-0.004	0.002	0.003	-1.02	-2.54	-0.01
1.926	-0.003	0.001	0.002	-0.86	-2.84	0.01
2.030	0.005	0.007	0.003	-1.18	-3.50	-0.02
2.125	0.006	0.006	0.004	-0.90	-3.33	0.01
2.225	0.006	0.007	0.004	-0.83	-3.20	0.02
2.325	0.006	0.011	0.004	-0.98	-3.12	-0.00
2.435	0.001	0.014	0.004	-0.99	-2.87	0.00
2.525	0.002	0.013	0.003	-0.80	-2.98	0.03
2.622	0.002	0.012	0.003	-0.66	-3.03	0.04
2.722	0.003	0.014	0.003	-0.67	-3.10	0.04
2.825	0.008	0.011	0.002	-0.56	-3.29	0.05
2.924	0.004	0.011	0.002	-0.56	-3.09	0.05
3.025	0.006	0.005	0.003	-0.34	-3.15	0.07
3.126	0.004	0.008	0.002	-0.55	-3.06	0.06
3.226	0.009	0.004	0.003	-0.43	-3.28	0.06
3.329	0.003	0.001	0.002	-0.40	-2.98	0.07
3.437	0.004	0.006	0.001	-0.71	-3.07	0.05
3.523	0.005	0.004	0.003	-0.59	-3.14	0.06
3.622	0.007	0.011	0.003	-0.75	-3.19	0.05
3.720	0.004	0.013	0.004	-0.75	-2.85	-0.04
3.824	0.002	0.008	0.001	-0.51	-2.54	-0.70
3.926	0.000	0.002	0.000	-0.27	-1.37	-1.18
4.025	0.002	-0.001	0.001	-0.19	1.17	-1.11
4.123	0.033	-0.000	0.001	-0.58	5.97	-1.01
4.223	0.051	0.005	0.002	-1.12	5.43	-0.82
