# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.138	0.371	-0.327	0.005	-0.42	-2.79	0.36
0.243	0.361	-0.321	0.005	-0.33	-2.40	0.09
0.344	0.364	-0.322	0.006	-0.10	-2.63	0.04
0.438	0.355	-0.323	0.006	0.02	-2.32	-0.04
0.539	0.349	-0.328	0.004	0.21	-2.31	-0.18
0.638	0.354	-0.331	0.004	0.30	-2.69	-0.49
0.741	0.350	-0.332	0.005	0.15	-2.61	-0.36
0.840	0.349	-0.334	0.005	0.08	-2.65	-0.38
0.939	0.351	-0.335	0.004	0.03	-2.80	-0.46
1.041	0.350	-0.335	0.005	-0.06	-2.81	-0.44
1.138	0.349	-0.334	0.005	-0.19	-2.75	-0.41
1.242	0.352	-0.328	0.005	-0.41	-2.89	-0.39
1.340	0.355	-0.329	0.004	-0.24	-2.97	-0.36
1.441	-0.003	-0.001	0.005	0.06	0.07	0.00
1.541	-0.007	0.011	0.005	-3.17	-0.65	-0.03
1.640	-0.002	0.013	0.005	-1.46	-2.59	0.01
1.741	0.000	0.014	0.005	-0.72	-2.87	0.05
1.839	-0.000	0.014	0.003	-0.31	-2.72	0.08
1.936	-0.011	0.002	0.004	0.61	-2.17	0.16
2.040	-0.010	0.005	0.005	0.24	-2.53	0.12
2.141	-0.009	0.001	0.005	0.38	-2.69	0.12
2.236	-0.005	0.003	0.004	0.07	-2.93	0.07
2.341	-0.005	0.002	0.004	0.04	-2.89	0.07
2.439	-0.003	0.004	0.005	-0.06	-2.95	0.05
2.539	0.000	-0.010	0.004	0.44	-3.03	0.10
2.640	-0.002	-0.010	0.004	0.20	-2.83	0.09
2.740	0.001	-0.008	0.004	-0.03	-2.91	0.07
2.841	-0.004	-0.007	0.005	-0.12	-2.57	0.06
2.940	-0.004	-0.007	0.004	-0.17	-2.63	0.06
3.040	-0.005	-0.007	0.004	-0.20	-2.66	0.06
3.140	-0.004	-0.008	0.004	-0.14	-2.73	0.06
3.240	-0.005	-0.008	0.005	-0.18	-2.69	0.06
3.336	0.001	-0.005	0.005	-0.19	-2.92	0.07
3.435	0.001	-0.005	0.004	-0.19	-2.85	0.07
3.538	0.002	-0.005	0.004	-0.11	-2.75	0.07
3.640	0.002	0.000	0.005	-0.22	-2.53	0.04
3.738	0.001	0.000	0.003	-0.15	-2.28	-0.38
3.836	0.011	0.004	0.002	-0.19	-2.26	-0.49
3.939	0.025	-0.001	0.002	0.22	2.18	-0.82
4.036	0.049	-0.010	0.003	0.20	8.88	-0.58
4.135	0.055	-0.013	0.002	-2.93	4.90	-0.22
4.240	0.036	-0.018	0.003	-0.81	5.83	-0.54
4.393	0.021	-0.011	0.011	-1.59	-0.14	-0.69
4.448	0.018	-0.011	0.026	-0.87	-3.00	-1.03
4.543	0.012	-0.014	0.038	0.32	-2.69	-0.63
4.637	-0.002	-0.008	0.061	0.06	-1.41	-0.11
4.736	-0.005	-0.004	0.072	0.58	-0.91	0.17
4.835	-0.009	-0.001	0.076	0.44	-0.39	0.30
