# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.141	0.043	0.102	0.001	-0.53	-3.03	0.08
0.240	0.043	0.102	0.002	-0.51	-3.02	0.07
0.338	0.043	0.102	0.002	-0.52	-2.97	0.07
0.438	0.040	0.105	0.001	-0.63	-2.84	0.11
0.536	0.042	0.108	0.001	-0.71	-2.96	0.11
0.640	0.043	0.108	0.001	-0.61	-3.00	0.09
0.739	0.044	0.109	0.001	-0.56	-3.02	0.08
0.841	0.043	0.109	0.002	-0.51	-3.00	0.06
0.941	0.043	0.114	0.002	-0.61	-2.97	0.08
1.040	0.041	0.118	0.002	-0.62	-2.90	0.08
1.141	0.049	0.117	0.002	-0.50	-3.17	0.07
1.236	0.048	0.120	0.002	-0.54	-3.08	0.07
1.340	-0.000	-0.000	0.003	-0.01	0.00	0.00
1.441	-0.002	-0.000	0.002	-0.07	-0.54	0.00
1.537	-0.003	-0.001	0.002	-0.14	-1.66	0.00
1.637	-0.003	-0.000	0.002	-0.36	-2.21	-0.01
1.740	-0.002	0.002	0.002	-0.71	-2.67	-0.03
1.841	-0.003	-0.001	0.002	-0.43	-2.77	-0.01
1.940	-0.002	-0.001	0.002	-0.38	-2.94	0.00
2.038	-0.001	-0.001	0.003	-0.42	-2.99	-0.00
2.136	-0.002	0.001	0.003	-0.56	-2.95	-0.02
2.239	-0.001	-0.001	0.003	-0.49	-3.03	-0.00
2.338	-0.002	-0.000	0.003	-0.51	-3.00	-0.01
2.441	-0.002	-0.000	0.002	-0.52	-3.00	-0.01
2.538	0.001	-0.000	0.001	-0.52	-3.11	-0.01
2.639	-0.000	0.000	0.002	-0.53	-3.04	-0.01
2.736	-0.015	0.000	0.002	-0.52	-2.60	-0.01
2.838	-0.012	0.002	0.002	-0.61	-2.94	-0.02
2.937	-0.006	0.003	0.002	-0.64	-3.29	-0.01
3.039	-0.007	0.006	0.001	-0.67	-3.18	-0.01
3.137	-0.010	-0.006	0.001	-0.27	-3.03	0.01
3.239	-0.015	-0.004	0.002	-0.44	-2.88	0.00
3.336	-0.013	0.014	0.002	-1.00	-3.01	-0.03
3.437	-0.013	0.013	0.001	-0.73	-3.06	-0.01
3.535	-0.014	0.014	0.002	-0.64	-2.98	-0.01
3.638	-0.012	0.012	0.002	-0.44	-2.84	-0.55
3.737	-0.014	0.014	0.001	-0.36	-2.54	-1.19
3.837	-0.013	0.019	0.001	-0.40	-1.26	-1.66
