# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
0.134	-0.196	-0.102	0.001	-0.63	-2.89	-5.74
0.232	-0.202	-0.097	0.000	-0.62	-2.57	-5.72
0.335	-0.203	-0.097	0.001	-0.46	-2.61	-5.68
0.433	-0.199	-0.097	0.000	-0.35	-2.79	-5.64
0.531	-0.219	-0.095	-0.000	-0.33	-2.02	-5.56
0.633	-0.228	-0.084	0.001	-0.61	-2.10	-5.44
0.733	-0.227	-0.079	0.001	-0.62	-2.51	-5.40
0.831	-0.222	-0.075	0.000	-0.58	-2.87	-5.35
0.932	-0.225	-0.074	0.001	-0.44	-2.84	-5.32
1.033	-0.226	-0.073	0.001	-0.34	-2.86	-5.28
1.132	-0.226	-0.082	0.001	-0.02	-2.97	-5.24
1.230	-0.236	-0.087	0.001	0.07	-2.64	-5.14
1.330	-0.234	-0.090	0.000	0.01	-2.89	-5.14
1.431	-0.000	-0.000	1.436	-0.02	0.00	0.00
1.532	-0.003	0.001	0.000	-0.30	-0.14	-0.00
1.630	0.006	0.001	0.001	-0.40	-3.10	-0.02
1.730	0.014	0.003	0.000	-0.65	-3.66	-0.03
1.831	0.014	0.022	-0.001	-2.12	-3.04	-0.14
1.928	0.007	0.017	0.000	-0.85	-2.21	-0.06
2.032	0.009	0.029	0.001	-1.28	-2.58	-0.07
2.133	0.009	0.027	0.001	-0.65	-2.65	-0.03
2.231	0.000	0.027	0.001	-0.43	-2.22	-0.02
2.332	0.013	0.032	0.000	-0.38	-2.95	-0.01
2.431	0.013	0.031	0.000	-0.24	-2.86	-0.00
2.528	0.026	0.018	0.000	0.14	-3.24	0.01
2.631	0.026	0.023	0.000	-0.25	-2.99	-0.00
2.732	0.027	0.013	-0.000	0.08	-2.93	0.03
2.830	0.038	0.007	0.001	0.08	-3.15	0.02
2.932	0.038	0.005	0.001	-0.09	-2.91	0.02
3.030	0.038	0.002	0.000	-0.17	-2.81	0.02
3.132	0.039	-0.001	0.000	-0.17	-2.74	0.02
3.229	0.039	-0.002	0.000	-0.29	-2.74	0.01
3.330	0.033	-0.002	0.000	-0.37	-2.53	0.01
3.433	0.031	-0.005	0.000	-0.40	-2.51	0.02
3.532	0.034	-0.021	0.000	0.14	-2.74	0.02
3.631	0.031	-0.016	0.001	-0.35	-2.62	0.00
3.732	0.031	-0.019	0.000	-0.33	-2.48	-0.47
3.831	0.038	-0.017	0.001	-0.37	-2.36	-0.61
3.930	0.035	-0.014	0.001	-0.95	-0.86	0.41
4.029	0.036	-0.023	0.002	-0.48	4.46	1.66
4.132	0.045	-0.027	0.003	-2.28	3.94	1.76
4.229	0.054	-0.029	0.003	-1.34	3.46	1.26
4.328	0.055	-0.025	0.002	-0.88	2.57	0.53
4.429	0.056	-0.021	0.012	-0.45	1.69	-0.27
4.532	0.046	-0.012	0.026	0.43	0.56	-1.58
4.628	0.034	-0.008	0.043	0.83	-0.45	-2.80
4.728	0.030	-0.006	0.058	0.11	-1.55	-3.88
4.831	0.027	-0.006	0.080	0.59	-2.14	-4.69
4.931	0.028	-0.008	0.099	-0.01	-1.15	-5.39
5.031	0.029	-0.019	0.116	-0.02	-0.90	-5.78
5.127	0.034	-0.025	0.123	-0.62	0.13	-5.87
5.226	0.044	-0.030	0.138	-0.86	0.57	-5.92
5.330	0.050	-0.034	0.160	-0.60	1.08	-5.86
5.428	0.056	-0.037	0.187	-0.40	1.15	-5.59
5.527	0.061	-0.039	0.216	-0.15	1.27	-4.89
5.629	0.062	-0.046	0.251	-0.13	0.83	-3.97
5.727	0.062	-0.052	0.276	-0.20	0.44	-3.17
5.831	0.062	-0.055	0.303	-0.44	0.14	-2.43
5.926	0.061	-0.051	0.333	-0.64	-0.06	-1.72
6.030	0.060	-0.052	0.363	-0.27	-0.26	-1.16
6.128	0.063	-0.057	0.393	-0.02	-0.22	-0.58
6.229	0.073	-0.063	0.425	0.01	0.01	-0.01
6.331	0.072	-0.065	0.456	-0.29	0.34	0.40
6.429	0.071	-0.066	0.480	-0.18	0.25	0.59
6.533	0.071	-0.064	0.498	-0.41	0.02	0.64
6.630	0.069	-0.067	0.511	-0.12	-0.02	0.72
6.731	0.042	-0.058	0.518	-0.21	0.12	0.95
6.832	0.040	-0.056	0.524	0.22	-0.64	1.14
6.929	0.032	-0.055	0.537	0.31	-0.86	1.20
7.028	0.027	-0.060	0.543	0.38	-1.04	1.24
7.127	0.028	-0.065	0.547	0.15	-0.68	1.18
7.226	0.032	-0.070	0.548	-0.08	-0.39	1.10
7.330	0.037	-0.079	0.551	-0.30	-0.03	1.04
7.430	0.044	-0.083	0.552	-0.48	0.25	0.99
7.528	0.052	-0.085	0.556	-0.46	0.32	0.92
7.626	0.054	-0.086	0.557	-0.28	0.55	0.75
7.729	0.055	-0.087	0.558	-0.15	0.42	0.63
7.830	0.056	-0.088	0.556	-0.23	0.21	0.54
7.927	0.050	-0.084	0.553	0.02	0.23	0.42
8.026	0.045	-0.084	0.551	0.06	-0.07	0.34
8.130	0.046	-0.058	0.554	-8.04	-0.02	0.17
8.229	0.047	-0.047	0.575	-10.06	1.00	0.27
8.328	0.040	-0.013	0.577	-9.68	2.22	0.27
8.428	0.030	0.031	0.562	-6.05	3.39	0.14
8.534	0.025	0.085	0.542	-2.83	4.29	-0.06
8.628	0.019	0.117	0.532	0.51	4.56	-0.23
8.728	-0.000	0.162	0.536	2.30	4.46	-0.34
8.829	-0.029	0.207	0.548	3.14	4.00	-0.35
8.929	-0.054	0.236	0.553	3.58	3.69	-0.36
9.027	-0.097	0.263	0.556	3.56	3.45	-0.40
9.128	-0.134	0.287	0.556	3.31	2.86	-0.60
9.228	-0.176	0.301	0.553	3.18	2.48	-0.79
9.327	-0.233	0.312	0.551	3.07	1.93	-0.76
9.429	-0.279	0.313	0.549	3.27	1.36	-0.68
9.527	-0.334	0.312	0.549	3.43	0.81	-0.52
9.627	-0.386	0.311	0.549	3.66	0.06	-0.22
9.727	-0.435	0.310	0.550	3.98	-0.33	-0.08
9.827	-0.486	0.307	0.550	4.29	-0.72	-0.01
9.927	-0.529	0.296	0.550	4.68	-1.42	0.13
10.029	-0.589	0.273	0.550	4.92	-1.59	0.41
10.136	-0.631	0.243	0.552	4.81	-2.43	0.58
10.227	-0.671	0.207	0.550	4.26	-2.77	0.49
10.327	-0.704	0.169	0.550	3.67	-3.40	0.25
10.427	-0.733	0.122	0.548	2.93	-3.73	-0.01
10.527	-0.752	0.080	0.545	2.17	-3.73	-0.11
10.628	-0.771	0.035	0.539	2.11	-3.63	-0.24
10.727	-0.781	-0.021	0.543	1.58	-4.02	-0.41
10.828	-0.785	-0.067	0.548	1.02	-4.22	-0.33
10.928	-0.784	-0.119	0.550	0.08	-4.33	0.33
11.028	-0.782	-0.166	0.542	-0.46	-4.46	1.18
11.127	-0.776	-0.215	0.534	-1.20	-4.67	1.67
11.227	-0.762	-0.265	0.530	-1.06	-4.80	1.13
11.328	-0.746	-0.316	0.527	-0.94	-3.57	-0.18
11.427	-0.727	-0.359	0.526	-2.10	-4.17	-1.64
11.523	-0.716	-0.392	0.526	-4.85	-3.29	-2.80
11.624	-0.689	-0.429	0.527	-1.19	-4.39	-4.80
11.726	-0.683	-0.455	0.533	-5.26	-2.45	-5.24
11.830	-0.657	-0.480	0.540	-2.74	-5.28	-5.07
11.923	-0.638	-0.510	0.548	-6.11	-2.46	-2.59
12.028	-0.623	-0.512	0.551	-1.92	-3.47	-2.43
12.122	-0.579	-0.533	0.556	-5.15	-2.23	-1.76
12.229	-0.549	-0.541	0.560	-6.85	-1.98	-0.39
12.323	-0.546	-0.530	0.560	-5.54	-2.03	0.03
12.429	-0.525	-0.515	0.554	-7.19	0.06	0.10
12.529	-0.517	-0.489	0.546	-5.97	-1.87	0.07
12.626	-0.508	-0.463	0.538	-4.50	-1.46	0.10
12.722	-0.496	-0.427	0.527	-2.92	-1.08	-0.24
12.826	-0.493	-0.383	0.520	-2.51	0.69	-0.31
12.926	-0.485	-0.343	0.512	-1.15	-0.68	-0.10
13.027	-0.470	-0.312	0.507	-1.66	1.61	-2.14
13.125	-0.466	-0.274	0.504	2.98	1.80	-5.44
13.227	-0.449	-0.240	0.506	8.79	0.01	-5.87
13.326	-0.441	-0.215	0.509	8.28	0.73	-5.33
13.423	-0.422	-0.215	0.509	5.94	0.47	-3.99
13.522	-0.402	-0.227	0.506	2.85	1.13	-2.68
13.624	-0.386	-0.237	0.505	0.35	1.77	-2.00
13.724	-0.367	-0.250	0.504	-0.65	2.06	-1.34
13.827	-0.353	-0.267	0.503	-2.08	1.37	-0.30
13.925	-0.334	-0.279	0.504	-2.56	1.10	0.76
14.024	-0.310	-0.286	0.506	-1.93	1.14	1.72
14.125	-0.290	-0.289	0.511	-1.61	1.24	2.25
14.225	-0.267	-0.287	0.513	-0.87	1.51	2.23
14.321	-0.249	-0.277	0.511	0.28	1.80	2.35
14.425	-0.227	-0.277	0.512	0.33	2.01	2.79
14.523	-0.210	-0.272	0.508	0.08	1.57	3.23
14.625	-0.188	-0.271	0.509	0.34	1.60	2.97
