# time(s)	x(m)	y(m)	z(m)	roll(deg)	pitch(deg)	yaw(deg)
14.725	-0.176	-0.265	0.510	-0.21	1.25	3.11
14.825	-0.150	-0.265	0.510	-0.10	1.27	3.43
14.924	-0.130	-0.264	0.511	-0.17	1.37	3.54
15.022	-0.111	-0.260	0.505	-0.14	1.60	3.46
15.124	-0.098	-0.260	0.497	-0.02	1.70	3.29
15.223	-0.082	-0.254	0.485	0.01	1.50	3.05
15.326	-0.072	-0.247	0.470	0.15	1.16	2.72
15.426	-0.059	-0.242	0.450	0.24	0.92	2.34
15.532	-0.050	-0.231	0.431	0.44	0.92	2.06
15.622	-0.046	-0.218	0.410	0.66	0.72	1.83
15.721	-0.044	-0.204	0.387	0.64	0.58	1.70
15.824	-0.039	-0.200	0.366	0.99	0.46	1.57
15.927	-0.035	-0.196	0.344	0.77	0.22	1.37
16.021	-0.028	-0.220	0.323	0.31	0.11	1.10
16.151	-0.025	-0.221	0.300	-0.26	0.28	0.94
16.225	-0.037	-0.234	0.279	-0.33	0.15	0.84
16.323	-0.040	-0.239	0.259	-0.64	-0.01	0.75
16.420	-0.036	-0.233	0.236	-0.79	-0.26	0.76
16.524	-0.031	-0.216	0.213	-0.38	-0.24	0.79
16.624	-0.025	-0.208	0.188	0.53	0.13	0.83
16.723	-0.029	-0.206	0.164	0.83	0.71	0.89
16.822	-0.024	-0.199	0.139	0.52	-0.06	0.98
16.920	-0.020	-0.195	0.116	0.84	0.49	1.05
17.026	-0.016	-0.192	0.101	0.83	0.63	1.13
